comparison_type,condition,reference_condition,direction,baseline,reference_baseline,target,descriptor_unit,domains,improved_domains,metadata_equal_domain_standardized_mae,candidate_equal_domain_standardized_mae,equal_domain_standardized_improvement,relative_improvement,reference_equal_domain_physical_mae,candidate_equal_domain_physical_mae,equal_domain_physical_improvement,bootstrap_estimate,ci95_low,ci95_high,simultaneous_low,simultaneous_high,bootstrap_seed,bootstrap_resamples
baseline_vs_metadata,normal,normal,improvement,train_mean,metadata_only,projected_damage_area,mm^2,7,1,0.6430339127117569,0.8229794195460503,-0.17994550683429322,-0.2798382842289605,111.83817212772426,144.53857098189138,-32.7003988541671,-0.17994550683429322,-0.3434311967396037,0.08278721196349167,-0.3606562207895135,0.19972654712723298,20260811,100000
baseline_vs_metadata,normal,normal,improvement,profile_ridge,metadata_only,projected_damage_area,mm^2,7,1,0.6430339127117569,0.9181371484279913,-0.27510323571623424,-0.42782072652449765,111.83817212772426,162.64003319552532,-50.801861067801035,-0.27510323571623424,-0.8059076553662702,0.1551142433524286,-1.0198381371082175,0.27335252873193905,20260812,100000
baseline_vs_metadata,normal,normal,improvement,profile_extra_trees,metadata_only,projected_damage_area,mm^2,7,3,0.6430339127117569,0.6030788352232391,0.0399550774885179,0.06213525709712912,111.83817212772426,105.84429309036999,5.993879037354288,0.0399550774885179,-0.12842025800182144,0.2659073009795162,-0.1637473570462393,0.3580954092237184,20260813,100000
baseline_vs_metadata,normal,normal,improvement,frozen_rgb,metadata_only,projected_damage_area,mm^2,7,0,0.6430339127117569,0.9534283443171566,-0.3103944316053995,-0.48270305106681877,111.83817212772426,166.8353695908381,-54.99719746311383,-0.3103944316053995,-0.37768258909215463,-0.24921417683233912,-0.4024361611335777,-0.2294584242017629,20260814,100000
baseline_vs_metadata,normal,normal,improvement,combined,metadata_only,projected_damage_area,mm^2,7,0,0.6430339127117569,0.9489866955377756,-0.30595278282601873,-0.4757957189781428,111.83817212772426,165.384463587405,-53.54629145968072,-0.30595278282601873,-0.4643770685348052,-0.2110734362268937,-0.5365881428824123,-0.20004252797460792,20260815,100000
baseline_vs_metadata,normal,normal,improvement,nested_selected_surface,metadata_only,projected_damage_area,mm^2,7,3,0.6430339127117569,0.6030788352232391,0.0399550774885179,0.06213525709712912,111.83817212772426,105.84429309036999,5.993879037354288,0.0399550774885179,-0.12842025800182144,0.26695367945604465,-0.16487281894287836,0.3606628529096449,20260816,100000
baseline_vs_metadata,surface_shuffle,surface_shuffle,improvement,train_mean,metadata_only,projected_damage_area,mm^2,7,1,0.6430339127117569,0.8229794195460503,-0.17994550683429322,-0.2798382842289605,111.83817212772426,144.53857098189138,-32.7003988541671,-0.17994550683429322,-0.3433201572722361,0.08272399285459865,-0.3606562207895135,0.19983758659460063,20260817,100000
baseline_vs_metadata,surface_shuffle,surface_shuffle,improvement,profile_ridge,metadata_only,projected_damage_area,mm^2,7,1,0.6430339127117569,0.848661356671545,-0.20562744395978796,-0.3197769820453645,111.83817212772426,149.59908081103393,-37.760908683309644,-0.20562744395978796,-0.41457781840234903,0.09580247978271353,-0.45315693130306706,0.2287714438762414,20260818,100000
baseline_vs_metadata,surface_shuffle,surface_shuffle,improvement,profile_extra_trees,metadata_only,projected_damage_area,mm^2,7,1,0.6430339127117569,0.8004049109147504,-0.1573709982029934,-0.24473203526597784,111.83817212772426,140.6923337900202,-28.85416166229592,-0.1573709982029934,-0.3401555725988327,0.12623547390933915,-0.36930181846809107,0.25518151649170984,20260819,100000
baseline_vs_metadata,surface_shuffle,surface_shuffle,improvement,frozen_rgb,metadata_only,projected_damage_area,mm^2,7,1,0.6430339127117569,1.1160483682899793,-0.4730144555782224,-0.7355979929323782,111.83817212772426,196.67705705096574,-84.8388849232415,-0.4730144555782224,-0.7104925251066184,-0.10046252584937976,-0.7416772244885858,0.0646095889591311,20260820,100000
