condition,baseline,target,descriptor_unit,specimens,domains,pooled_mae,pooled_rmse,pooled_r2,physical_mae,physical_rmse,physical_r2,equal_domain_mae
normal,combined,damage_eccentricity,1,292,7,1.0864056338654067,1.4286597178761966,-1.0040760535998432,0.22243950870218024,0.29140278735423353,-1.0040760535998432,1.1679155171494617
normal,combined,damage_height,mm,292,7,1.1305441119798028,1.5734455413942818,-1.3780861103551998,12.811537458334566,17.689673783593914,-1.3780861103551998,1.387622842494317
normal,combined,damage_radial_spread,mm,292,7,1.0647435073444378,1.5245058822407551,-1.2564938639223282,3.466736536386372,4.948475099540043,-1.2564938639223282,1.193002724184505
normal,combined,damage_width,mm,292,7,1.0998241245514242,1.4894291438143452,-1.1026865437015476,12.561815417399654,16.880132814905085,-1.1026865437015476,1.1671787099214892
normal,combined,equivalent_damage_diameter,mm,292,7,0.7232902169113758,0.9580623637802645,0.09628674255371017,5.0966506009089825,6.7382906368004525,0.09628674255371017,0.8448344364147193
normal,combined,projected_damage_area,mm^2,292,7,0.7942521248399168,1.1133988719276742,-0.19363942970102888,139.32217499554008,193.67784892811227,-0.19363942970102888,0.9489866955377756
normal,frozen_rgb,damage_eccentricity,1,292,7,1.230513577505605,1.5457348126098522,-1.3379696677533421,0.2514064252916197,0.3147429698755402,-1.3379696677533421,1.3240602279730955
normal,frozen_rgb,damage_height,mm,292,7,1.1119457462166318,1.5454304998641188,-1.3128183735277124,12.657780754968188,17.445234047013425,-1.3128183735277124,1.316673853151184
normal,frozen_rgb,damage_radial_spread,mm,292,7,1.0134737797141502,1.3599868877010886,-0.8098929297981088,3.3226515342076812,4.431806116830955,-0.8098929297981088,1.1348617910140073
normal,frozen_rgb,damage_width,mm,292,7,0.9922476927474819,1.2837868221334179,-0.5894690342899183,11.443554868716705,14.676233994362672,-0.5894690342899183,1.0197148387262587
normal,frozen_rgb,equivalent_damage_diameter,mm,292,7,0.7657060212755153,1.0022978181871551,0.009051476851882678,5.397782766721444,7.0560225450724605,0.009051476851882678,0.8085273456989841
normal,frozen_rgb,projected_damage_area,mm^2,292,7,0.8548779931745689,1.1766030733187869,-0.34447636148161376,150.28921504141763,205.5511733394022,-0.34447636148161376,0.9534283443171566
normal,metadata_only,damage_eccentricity,1,292,7,0.7364157543646763,0.9587408338331542,0.1114082895293409,0.15003158392908858,0.1940384205962152,0.1114082895293409,0.7594501621300954
normal,metadata_only,damage_height,mm,292,7,0.7557692148314265,1.0645968324305102,-0.04999090595034272,8.500578208147983,11.754355049288131,-0.04999090595034272,0.790002341189826
normal,metadata_only,damage_radial_spread,mm,292,7,0.7015787828224316,0.9983059355131307,0.06535075230976639,2.2647486078802475,3.184774162154091,0.06535075230976639,0.7328611446005476
normal,metadata_only,damage_width,mm,292,7,0.6977099579077403,0.9462328083809604,0.17294482578849535,7.916981977971231,10.586583643646884,0.17294482578849535,0.7239941904872577
normal,metadata_only,equivalent_damage_diameter,mm,292,7,0.5466123150192108,0.7369973405203326,0.4712253499974838,3.83350099183414,5.154300392375721,0.4712253499974838,0.6360101051193343
