condition,baseline,target,descriptor_unit,dataset_id,specimens,standardized_mae,standardized_rmse,standardized_r2,physical_mae,physical_rmse,physical_r2
normal,combined,damage_eccentricity,1,6zt73pcnxv,14,1.9763176103330886,2.22725692867294,-3.00810237455402,0.40443431794985546,0.4557866266723762,-3.00810237455402
normal,combined,damage_eccentricity,1,74t7kcdgkr,47,1.188199677432913,1.6103392595365404,-1.0988993942637246,0.23094806680472274,0.312998518643943,-1.0988993942637246
normal,combined,damage_eccentricity,1,cgtnjyggtm,49,1.1280403224733835,1.3297850216939535,-3.2522082067581213,0.24200746780703142,0.2852893637013277,-3.2522082067581213
normal,combined,damage_eccentricity,1,w68dtmpfyf,43,0.9742783292853825,1.1725622430990175,-1.1005614530004575,0.20533901447827455,0.24712935531368146,-1.1005614530004575
normal,combined,damage_eccentricity,1,xcmzfsbd9t,59,1.053553560761958,1.4946416577667492,-1.569194154638125,0.21133134847223642,0.29980880781247066,-1.569194154638125
normal,combined,damage_eccentricity,1,yfxyg8jm46,42,0.9745707771011523,1.2845770835161454,-1.980000089305598,0.20682424603187574,0.27261405021636226,-1.980000089305598
normal,combined,damage_eccentricity,1,ykhs7s2dck,38,0.8804483426583543,1.233145301244088,-1.2612215210426307,0.1734890924106736,0.24298672478316982,-1.2612215210426307
normal,combined,damage_height,mm,6zt73pcnxv,14,3.5509575411433763,4.00547040223038,-7.388400101054868,39.852313981974895,44.953301261888335,-7.388400101054868
normal,combined,damage_height,mm,74t7kcdgkr,47,1.1054284735107367,1.346584377365762,-0.3134667603601555,12.145240728876868,14.794798412339889,-0.3134667603601555
normal,combined,damage_height,mm,cgtnjyggtm,49,0.7407545744983267,0.955855514335292,-3.389023246864104,9.12512069791807,11.774880963762175,-3.389023246864104
normal,combined,damage_height,mm,w68dtmpfyf,43,0.852325548881449,1.2597497957176467,-0.8993377305835164,9.89720390624445,14.628214084899541,-0.8993377305835164
normal,combined,damage_height,mm,xcmzfsbd9t,59,0.9893131618839317,1.3279617537965873,-1.3829772012887749,11.641486225106226,15.62644576046246,-1.3829772012887749
normal,combined,damage_height,mm,yfxyg8jm46,42,0.7749562142517581,1.0545350328815801,-2.675383909934512,9.34281832293136,12.713401152466076,-2.675383909934512
normal,combined,damage_height,mm,ykhs7s2dck,38,1.6996243832906424,1.9822592724145862,-0.4363205197443636,17.375091810998722,20.264440302229573,-0.4363205197443636
normal,combined,damage_radial_spread,mm,6zt73pcnxv,14,2.356671518126137,2.7632903507444944,-3.8447252691461786,7.658108121822633,8.9794339666042,-3.8447252691461786
normal,combined,damage_radial_spread,mm,74t7kcdgkr,47,1.0217859295939626,1.3117614224207432,0.025841499651282684,3.1713821534677744,4.071397583568005,0.025841499651282684
normal,combined,damage_radial_spread,mm,cgtnjyggtm,49,0.7298545587308491,0.9621677145789859,-2.8415236092072838,2.573692801720163,3.392900806656027,-2.8415236092072838
normal,combined,damage_radial_spread,mm,w68dtmpfyf,43,0.7193555354488976,1.0651077662310573,-0.7838885505869546,2.4331616663630826,3.6026405019901637,-0.7838885505869546
normal,combined,damage_radial_spread,mm,xcmzfsbd9t,59,1.2652106412872677,2.0031970919859545,-3.334638608810252,4.187268528656129,6.629666133248857,-3.334638608810252
normal,combined,damage_radial_spread,mm,yfxyg8jm46,42,0.683955322465656,0.8812120242367886,-2.2249688218246435,2.3749743657294675,3.0599308165191412,-2.2249688218246435
