specimen_key,dataset_id,capture_group_id,method,method_alias,seed,target_mpa,author_target_mpa,target_difference_mpa,state_count,action_count,final_cost,unused_budget,zero_prediction_mpa,final_prediction_mpa,final_absolute_error_mpa,prediction_at_early_budget_mpa,early_left_error_area_mpa,left_error_area_mpa,trajectory_objective_mpa,old_trapezoid_area_mpa,corrected_minus_old_area_mpa
74t7kcdgkr:c8-24,74t7kcdgkr,cg_9393eeb13d9e0e91,CENTER_FIRST,CENTER_FIRST,0,259.8502197265625,259.85022005159,-3.25027485814644e-07,16,15,0.23467633805912738,0.015323661940872618,189.85572814941406,208.80223083496094,51.04798889160156,201.01678466796875,66.13108935740063,57.4881068955868,70.2501041184872,56.89677771805066,0.5913291775361458
74t7kcdgkr:c8-24,74t7kcdgkr,cg_9393eeb13d9e0e91,GEOMETRY_SPREAD,GEOMETRY_SPREAD,0,259.8502197265625,259.85022005159,-3.25027485814644e-07,17,16,0.24999890097812946,1.0990218705375643e-06,189.85572814941406,208.00584411621094,51.84437561035156,211.9087677001953,55.36590924694088,54.359137987521926,67.32023189010981,53.79796420734497,0.5611737801769578
74t7kcdgkr:c8-24,74t7kcdgkr,cg_9393eeb13d9e0e91,LEARNED_STATIC,V2_SURFACE_DEPENDENT_LEARNED_CONTROL,1,259.8502197265625,259.85022005159,-3.25027485814644e-07,17,16,0.24925816023738873,0.0007418397626112738,189.85572814941406,215.52935791015625,44.32086181640625,213.45510864257812,54.239416304681704,47.30482159381568,58.385037047917244,46.50773749336722,0.7970841004484583
74t7kcdgkr:c8-24,74t7kcdgkr,cg_9393eeb13d9e0e91,LEARNED_STATIC,V2_SURFACE_DEPENDENT_LEARNED_CONTROL,2,259.8502197265625,259.85022005159,-3.25027485814644e-07,17,16,0.24999890097812946,1.0990218705375643e-06,189.85572814941406,212.2859649658203,47.56425476074219,212.18478393554688,56.21051886161404,49.800756360414674,61.691820050600214,49.10431751788271,0.6964388425319612
74t7kcdgkr:c8-24,74t7kcdgkr,cg_9393eeb13d9e0e91,LEARNED_STATIC,V2_SURFACE_DEPENDENT_LEARNED_CONTROL,3,259.8502197265625,259.85022005159,-3.25027485814644e-07,17,16,0.24925816023738873,0.0007418397626112738,189.85572814941406,207.96786499023438,51.882354736328125,207.80242919921875,53.2668603684664,52.36492173051189,65.33551041459393,51.80313743925864,0.5617842912532467
74t7kcdgkr:c8-24,74t7kcdgkr,cg_9393eeb13d9e0e91,NO_VLM_FEEDBACK,NO_VLM_FEEDBACK,1,259.8502197265625,259.85022005159,-3.25027485814644e-07,17,16,0.24925816023738873,0.0007418397626112738,189.85572814941406,216.0238037109375,43.826416015625,210.3082733154297,52.42483881345725,47.12198394644587,58.078587950352116,46.30907989652881,0.8129040499170657
74t7kcdgkr:c8-24,74t7kcdgkr,cg_9393eeb13d9e0e91,NO_VLM_FEEDBACK,NO_VLM_FEEDBACK,2,259.8502197265625,259.85022005159,-3.25027485814644e-07,17,16,0.24944279591163865,0.0005572040883613516,189.85572814941406,216.23239135742188,43.617828369140625,211.74871826171875,52.571342896594494,47.03037647764241,57.93483356992758,46.21084827919899,0.8195281984434217
74t7kcdgkr:c8-24,74t7kcdgkr,cg_9393eeb13d9e0e91,NO_VLM_FEEDBACK,NO_VLM_FEEDBACK,3,259.8502197265625,259.85022005159,-3.25027485814644e-07,17,16,0.24944279591163865,0.0005572040883613516,189.85572814941406,206.09881591796875,53.75140380859375,207.22515869140625,52.63195241745101,54.37897160772518,67.81682255987361,53.87550162164756,0.5034699860776186
74t7kcdgkr:c8-24,74t7kcdgkr,cg_9393eeb13d9e0e91,RANDOM,RANDOM,1,259.8502197265625,259.85022005159,-3.25027485814644e-07,17,16,0.24999890097812946,1.0990218705375643e-06,189.85572814941406,206.27911376953125,53.57110595703125,204.97811889648438,54.887979092369996,54.95595503551643,68.34873152477425,54.447310821871945,0.5086442136444873
74t7kcdgkr:c8-24,74t7kcdgkr,cg_9393eeb13d9e0e91,RANDOM,RANDOM,2,259.8502197265625,259.85022005159,-3.25027485814644e-07,16,15,0.2350456094076272,0.014954390592372802,189.85572814941406,207.49664306640625,52.35357666015625,197.99246215820312,64.84587743869626,56.89116655845488,69.97956072349393,56.33598435747897,0.5551822009759064
