task,method,stop_system,episode_count,first_success_observed_count,sustained_success_observed_count,regressed_after_first_success_count,outcome_category_counts
CHARACTERIZE,BC_NO_US_FEEDBACK_S1,S_BC_CAL,24,0,0,0,"{""FALSE_STOP_NEVER_SUCCESS"": 24}"
CHARACTERIZE,BC_NO_US_FEEDBACK_S1,S_RULE,24,0,0,0,"{""FALSE_STOP_NEVER_SUCCESS"": 24}"
CHARACTERIZE,BC_NO_VLM_S1,S_BC_CAL,24,0,0,0,"{""FALSE_STOP_NEVER_SUCCESS"": 22, ""NO_STOP_NO_SUSTAINED_SUCCESS"": 2}"
CHARACTERIZE,BC_NO_VLM_S1,S_RULE,24,0,0,0,"{""FALSE_STOP_NEVER_SUCCESS"": 24}"
CHARACTERIZE,BC_S1,S_BC_CAL,24,0,0,0,"{""FALSE_STOP_NEVER_SUCCESS"": 23, ""NO_STOP_NO_SUSTAINED_SUCCESS"": 1}"
CHARACTERIZE,BC_S1,S_RULE,24,0,0,0,"{""FALSE_STOP_NEVER_SUCCESS"": 24}"
CHARACTERIZE,BC_S2,S_BC_CAL,24,0,0,0,"{""FALSE_STOP_NEVER_SUCCESS"": 23, ""NO_STOP_NO_SUSTAINED_SUCCESS"": 1}"
CHARACTERIZE,BC_S2,S_RULE,24,0,0,0,"{""FALSE_STOP_NEVER_SUCCESS"": 24}"
CHARACTERIZE,BC_S3,S_BC_CAL,24,0,0,0,"{""FALSE_STOP_NEVER_SUCCESS"": 24}"
CHARACTERIZE,BC_S3,S_RULE,24,0,0,0,"{""FALSE_STOP_NEVER_SUCCESS"": 24}"
CHARACTERIZE,R_BALANCED_P8,S_BC_CAL,24,0,0,0,"{""FALSE_STOP_NEVER_SUCCESS"": 21, ""NO_STOP_NO_SUSTAINED_SUCCESS"": 3}"
CHARACTERIZE,R_BALANCED_P8,S_RULE,24,0,0,0,"{""FALSE_STOP_NEVER_SUCCESS"": 24}"
LOCATE,BC_NO_US_FEEDBACK_S1,S_BC_CAL,24,6,6,1,"{""FALSE_STOP_NEVER_SUCCESS"": 18, ""FALSE_STOP_WITH_LATER_SUCCESS"": 5, ""SUCCESS_WITH_POSTSUSTAINED_DELAY"": 1}"
LOCATE,BC_NO_US_FEEDBACK_S1,S_RULE,24,6,6,1,"{""FALSE_STOP_NEVER_SUCCESS"": 18, ""FALSE_STOP_WITH_LATER_SUCCESS"": 1, ""SUCCESS_WITH_POSTSUSTAINED_DELAY"": 5}"
LOCATE,BC_NO_VLM_S1,S_BC_CAL,24,12,6,12,"{""FALSE_STOP_NEVER_SUCCESS"": 18, ""SUCCESS_WITH_POSTSUSTAINED_DELAY"": 6}"
LOCATE,BC_NO_VLM_S1,S_RULE,24,12,6,12,"{""FALSE_STOP_NEVER_SUCCESS"": 17, ""FALSE_STOP_WITH_LATER_SUCCESS"": 2, ""SUCCESS_BEFORE_LATER_REGRESSION"": 5}"
LOCATE,BC_S1,S_BC_CAL,24,9,6,9,"{""FALSE_STOP_NEVER_SUCCESS"": 18, ""FALSE_STOP_WITH_LATER_SUCCESS"": 1, ""SUCCESS_WITH_POSTSUSTAINED_DELAY"": 5}"
LOCATE,BC_S1,S_RULE,24,9,6,9,"{""FALSE_STOP_NEVER_SUCCESS"": 16, ""FALSE_STOP_WITH_LATER_SUCCESS"": 2, ""SUCCESS_BEFORE_LATER_REGRESSION"": 5, ""SUCCESS_WITH_POSTSUSTAINED_DELAY"": 1}"
LOCATE,BC_S2,S_BC_CAL,24,8,6,8,"{""FALSE_STOP_NEVER_SUCCESS"": 18, ""SUCCESS_WITH_POSTSUSTAINED_DELAY"": 6}"
LOCATE,BC_S2,S_RULE,24,8,6,8,"{""FALSE_STOP_NEVER_SUCCESS"": 17, ""FALSE_STOP_WITH_LATER_SUCCESS"": 1, ""SUCCESS_BEFORE_LATER_REGRESSION"": 6}"
LOCATE,BC_S3,S_BC_CAL,24,7,6,1,"{""FALSE_STOP_NEVER_SUCCESS"": 18, ""SUCCESS_WITH_POSTSUSTAINED_DELAY"": 6}"
LOCATE,BC_S3,S_RULE,24,7,6,1,"{""FALSE_STOP_NEVER_SUCCESS"": 18, ""SUCCESS_WITH_POSTSUSTAINED_DELAY"": 6}"
LOCATE,R_BALANCED_P8,S_BC_CAL,24,11,6,11,"{""FALSE_STOP_NEVER_SUCCESS"": 18, ""SUCCESS_WITH_POSTSUSTAINED_DELAY"": 6}"
LOCATE,R_BALANCED_P8,S_RULE,24,11,6,11,"{""FALSE_STOP_NEVER_SUCCESS"": 17, ""FALSE_STOP_WITH_LATER_SUCCESS"": 2, ""SUCCESS_BEFORE_LATER_REGRESSION"": 3, ""SUCCESS_WITH_POSTSUSTAINED_DELAY"": 2}"
