stage,model,stratum,metric,outer_domain,control_mode,real_metric,control_metric,control_minus_real
p2,deepsets,clean_nonpriv,p2_auebc,74t7kcdgkr,positions_only,0.10005706424313379,0.13804450424357417,0.03798744000044038
p2,deepsets,clean_nonpriv,p2_auebc,cgtnjyggtm,positions_only,0.14024812059090178,0.11633968017050036,-0.02390844042040141
p2,deepsets,clean_nonpriv,p2_auebc,w68dtmpfyf,positions_only,0.09058769494615136,0.04839950261065438,-0.042188192335496984
p2,deepsets,clean_nonpriv,p2_auebc,xcmzfsbd9t,positions_only,0.11827407852265487,0.08861490174950036,-0.029659176773154508
p2,deepsets,clean_nonpriv,p2_auebc,yfxyg8jm46,positions_only,0.1497505614587266,0.14289953346793705,-0.006851027990789543
p2,deepsets,clean_nonpriv,p2_auebc,ykhs7s2dck,positions_only,0.15134405751757926,0.10898387075300342,-0.04236018676457584
p2,deepsets,clean_nonpriv,p2_auebc,74t7kcdgkr,shuffled,0.10005706424313379,0.11879776930073968,0.01874070505760589
p2,deepsets,clean_nonpriv,p2_auebc,cgtnjyggtm,shuffled,0.14024812059090178,0.12116053452862778,-0.019087586062273995
p2,deepsets,clean_nonpriv,p2_auebc,w68dtmpfyf,shuffled,0.09058769494615136,0.09096110996818922,0.0003734150220378596
p2,deepsets,clean_nonpriv,p2_auebc,xcmzfsbd9t,shuffled,0.11827407852265487,0.15676744627714756,0.03849336775449269
p2,deepsets,clean_nonpriv,p2_auebc,yfxyg8jm46,shuffled,0.1497505614587266,0.13740397827399026,-0.012346583184736332
p2,deepsets,clean_nonpriv,p2_auebc,ykhs7s2dck,shuffled,0.15134405751757926,0.14969093095785474,-0.0016531265597245215
p2,deepsets,clean_nonpriv,p2_auebc,74t7kcdgkr,static,0.10005706424313379,0.14439115757880003,0.044334093335666236
p2,deepsets,clean_nonpriv,p2_auebc,cgtnjyggtm,static,0.14024812059090178,0.12591999544659294,-0.01432812514430884
p2,deepsets,clean_nonpriv,p2_auebc,w68dtmpfyf,static,0.09058769494615136,0.07899111350274729,-0.011596581443404072
