method,equal_domain_mae
surface_only,0.1881207810617217
sparse_only_0.25,0.09011592076510834
surface_sparse_0.25,0.13451371200896975
sparse_only_0.5,0.0900766482791094
surface_sparse_0.5,0.13104831320502175
surface_full,0.12848935652346993
