effect_id,sparse_method,fusion_method,point_estimate,relative_improvement,domain_effects,improved_domains,leave_one_domain_effects,ordinary_lower,ordinary_upper,simultaneous_lower,simultaneous_upper,bootstrap_indices_sha256,bootstrap_draws_sha256
sparse_only_0.25_minus_surface_sparse_0.25,sparse_only_0.25,surface_sparse_0.25,-0.044397791243861395,-0.49267422301089797,"[[""74t7kcdgkr"",-0.008961406740491423],[""cgtnjyggtm"",0.00234010529825851],[""w68dtmpfyf"",-0.007463399772774562],[""xcmzfsbd9t"",-0.02795361418354593],[""yfxyg8jm46"",-0.010383114765328938],[""ykhs7s2dck"",-0.21396531729928606]]",1,"[[""74t7kcdgkr"",-0.05148506814453539],[""cgtnjyggtm"",-0.053745370552285385],[""w68dtmpfyf"",-0.05178466953807877],[""xcmzfsbd9t"",-0.04768662665592449],[""yfxyg8jm46"",-0.051200726539567885],[""ykhs7s2dck"",-0.010484286032776468]]",-0.11412939427115887,-0.004931851742475411,-0.11754443000628743,-0.0035476020585893755,7f29dc5d3b2daef8cbd78b2fec3e5440097c2f9e74c4ce80ccb5796119c65663,036bd55d39141c493931076cf83a5cc742c738fc3d1f1a2a1bf19be41161c4ea
sparse_only_0.5_minus_surface_sparse_0.5,sparse_only_0.5,surface_sparse_0.5,-0.04097166492591235,-0.4548533466627056,"[[""74t7kcdgkr"",0.001383975659986443],[""cgtnjyggtm"",0.004887993802097257],[""w68dtmpfyf"",-0.010591473342885405],[""xcmzfsbd9t"",-0.030123570978360506],[""yfxyg8jm46"",-0.010709800158220525],[""ykhs7s2dck"",-0.20067711453809137]]",2,"[[""74t7kcdgkr"",-0.04944279304309211],[""cgtnjyggtm"",-0.050143596671514266],[""w68dtmpfyf"",-0.04704770324251774],[""xcmzfsbd9t"",-0.04314128371542272],[""yfxyg8jm46"",-0.04702403787945071],[""ykhs7s2dck"",-0.009030575003476548]]",-0.10632945349145966,-0.002023837650619037,-0.11014908498516811,-0.0008755527391379527,7f29dc5d3b2daef8cbd78b2fec3e5440097c2f9e74c4ce80ccb5796119c65663,9763e37c65de27d873ba88ebaeebe783b59d0689977597dbbf39e67ec548e121
