method,outer_domain,inner_domain,pca_dimension,mae,fit_sample_count,query_sample_count,fit_domains,pca_state_sha256,ridge_state_sha256,state_sha256
sparse_only_0.25,74t7kcdgkr,cgtnjyggtm,8,0.1318879714713673,182,49,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",cd9cbcc79e4de8136b17b945d65a1c27eadf712743fa736b73daabe484dcfeca,5aaaef79f394eb71c1086beeab2e50cbafd3c9f935f838d2e4e8e02bb316d692,2327f74bf122255a62a7187efe98c0f1694856acc421e08f6e9ba345eed68810
sparse_only_0.25,74t7kcdgkr,cgtnjyggtm,16,0.12875689805472634,182,49,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",867407d3ad77a22988c45e447850a80285a2b6a8c7efb008b1bb8929829f0941,8af2c66a2d94bff26bec1565894a1f34cf690e049cc3bb897a0a6e4600d44f2f,a0ca2d6e360945d11a70ba1fdad6be9e9ab3059c887ece85d5ea853da676d449
sparse_only_0.25,74t7kcdgkr,cgtnjyggtm,32,0.13362811789892187,182,49,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",e3d756fa36ee6616a857ccdd4b344ac258b3cd758eacd032b63b65602777f5fe,281549a032e57f09d2abbc1b6cd7f93771b520c69115236961c9486d2f482988,52203e3017656553e81e93882c7dd7130470c4f510b89664ca0e49760c8378ed
sparse_only_0.25,74t7kcdgkr,w68dtmpfyf,8,0.10139140312490229,188,43,"[""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",d127daa94dfe42744187bd3d19d3c02f535d92870b243d9adbdda4f50dfc1926,9233ac77fb1398e2f685fc0ac5e04ad5f32ecb348efc103d0839351bab03e434,1afad31c352fb121ff8a4422b55605d0c165b7837fe8e750e4602cec40d0816d
sparse_only_0.25,74t7kcdgkr,w68dtmpfyf,16,0.10296838130730401,188,43,"[""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",ef153782cabb13dc2e7e5b059e2006490ce27e387f8de73366558b7f4b8e71fa,8f85ad64c5d6cc133ac4776020f0fb76f7eef990de7ab08a505a9967e83ffa15,bd426dc321915e4ce82ddc1a9c005ff952fc803b7284f5cde2aab50426fd6df3
sparse_only_0.25,74t7kcdgkr,w68dtmpfyf,32,0.10413323504811907,188,43,"[""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",972e9836d94a6b229906d7460847a4f3fcf0e44b2fb57775377f0261f2221417,fad20674d284fba2ccf4f5bc28c69e1943f465e50cb39ef7dc69a3fe3267a72a,432ff3ee0d87696ededa096d65e232291d36eb00966bae99709a5547cf1653d1
sparse_only_0.25,74t7kcdgkr,xcmzfsbd9t,8,0.061438971379600346,172,59,"[""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",e7500f73bbd99b79b3756056ab968d0b9ff33379ffbc38559b65b3c030dc764f,8b6efdfe07bcb659a388090e7eadc241a2905715f6ed6e1322a57e371a6ca1e4,fba996946baa845fb17cb7968805ca280960be4eaf81d7744f7f6929607889dc
sparse_only_0.25,74t7kcdgkr,xcmzfsbd9t,16,0.06513625218818622,172,59,"[""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",23cd543fe696a1402d5c49c668ccb87459041732599762e2a0db996e06c2c586,380ec6b979dd29c048080a3952567181ba912465de4e1dce7617b429907fc19a,9eb62c8949cb52ee7c4a3d6a56553eafe7166385d828c79372a47c5c0b15a622
sparse_only_0.25,74t7kcdgkr,xcmzfsbd9t,32,0.09102851525128118,172,59,"[""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",20a90d7f9d03c61c9a33804d306b4f5daadc11ba5a4e9ff81da447aee61f3f47,7c096fd8adcad29a89a7b523a40be721c9dced8cdbbc1e635997705ce1802d67,72ed8a5e07b8f519049b0cde3d00f94aec526ecdc4c33a9a114f44e697898efc
sparse_only_0.25,74t7kcdgkr,yfxyg8jm46,8,0.12524311116811873,189,42,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",9e9f707eca70f53742b51c8f846d041732fe2fbdc105657bddf7155123ab1b7e,67f95385e5cb5aa98b37528ce8b673ec117e5fb77c5d6f14329d572ae06eee9f,f3a7fd0c35858f728de99e601ff8317672b114cd1c00adce9c7bc2faa84056c7
