method,outer_domain,selected_pca_dimension,inner_equal_domain_mae,dimension_scores,outer_fit_sample_count,outer_fit_domains,state_sha256
dinov2_spatial_destroyed,w68dtmpfyf,16,0.1760322103949514,"[[8,0.177359943434025],[16,0.1760322103949514],[32,0.18060936801291194]]",233,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",be984d34c82323f6997adf43d9992c0c99e87499026e29281a30bff8febb4a65
dinov2_spatial_destroyed,xcmzfsbd9t,32,0.20461532245383923,"[[8,0.21364635077940966],[16,0.2086435789916584],[32,0.20461532245383923]]",217,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",7ec3e442ee11313c02722d4b12a2562fa3e264b67840088aa05a99ace4c2a9b5
dinov2_spatial_destroyed,yfxyg8jm46,32,0.13573562313268872,"[[8,0.15035090631705172],[16,0.14632442815498758],[32,0.13573562313268872]]",234,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",88144945e657e9343de495eef7b0db522b0314806285192b325d04de2041f7a4
dinov2_spatial_destroyed,ykhs7s2dck,32,0.12172413790514514,"[[8,0.1279388690843418],[16,0.12522423091104426],[32,0.12172413790514514]]",238,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",f85a46e53da7e699e482d72cc8f93d004da416cb0116c825bafd8722ee1b6a8e
ddpm_spatial,74t7kcdgkr,16,0.1696584174389717,"[[8,0.1777264773010018],[16,0.1696584174389717],[32,0.18122026054183132]]",231,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",6ab0bb62d99051dd797e8d34ae9f573bf6d899ca95ce18dfc50db489219082a7
ddpm_spatial,cgtnjyggtm,32,0.2398999356745341,"[[8,0.2639178658180999],[16,0.2615931320259207],[32,0.2398999356745341]]",227,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",c8c9ce0eb5abf700ff3148ccfe6b5a1731d7b1f2f99416c6869c32e4f0684128
ddpm_spatial,w68dtmpfyf,32,0.21021485599073114,"[[8,0.21074896468942214],[16,0.21882950314384947],[32,0.21021485599073114]]",233,"[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",cc189c24609c795ddff90e227211698146ce8a83824e88700048c6843b599b51
ddpm_spatial,xcmzfsbd9t,32,0.2168034857527233,"[[8,0.22776705810552528],[16,0.2357067045530823],[32,0.2168034857527233]]",217,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",3989009489d2beda5aad680f4db7b6ad87998754822fc6066d30e9a98842c6ce
ddpm_spatial,yfxyg8jm46,32,0.15017989100764745,"[[8,0.1512316211375996],[16,0.1583583201471494],[32,0.15017989100764745]]",234,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",f36d657db5c286b0ca6ab906dd797cea00ad57fdc4ef5cf953486d78fa8b4110
ddpm_spatial,ykhs7s2dck,32,0.13346301450366224,"[[8,0.1350782907605534],[16,0.1352187660543467],[32,0.13346301450366224]]",238,"[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",f5252598cfdb3f3bc6f2366eb309cd0085aa0c349a6d5a317c854b985b522ccd
