method,dataset_id,specimen_count,mae
resnet_global,74t7kcdgkr,45,0.058736787700541755
resnet_global,cgtnjyggtm,49,0.12469936856113768
resnet_global,w68dtmpfyf,43,0.1059023306876731
resnet_global,xcmzfsbd9t,59,0.090589419972691
resnet_global,yfxyg8jm46,42,0.12702193559341912
resnet_global,ykhs7s2dck,38,0.26398629662535694
dinov2_global,74t7kcdgkr,45,0.121295154001008
dinov2_global,cgtnjyggtm,49,0.1321538751803915
dinov2_global,w68dtmpfyf,43,0.1056508286821417
dinov2_global,xcmzfsbd9t,59,0.09677417440302347
dinov2_global,yfxyg8jm46,42,0.1425021471129114
dinov2_global,ykhs7s2dck,38,0.311627531136991
dinov2_spatial,74t7kcdgkr,45,0.08280064553643038
dinov2_spatial,cgtnjyggtm,49,0.13049364738636748
dinov2_spatial,w68dtmpfyf,43,0.10572484589076463
dinov2_spatial,xcmzfsbd9t,59,0.10408723696612704
dinov2_spatial,yfxyg8jm46,42,0.14031741922876179
dinov2_spatial,ykhs7s2dck,38,0.3613600275676318
dinov2_spatial_destroyed,74t7kcdgkr,45,0.13784457359488345
dinov2_spatial_destroyed,cgtnjyggtm,49,0.12489075194425278
dinov2_spatial_destroyed,w68dtmpfyf,43,0.1124914680312033
dinov2_spatial_destroyed,xcmzfsbd9t,59,0.098232773616656
dinov2_spatial_destroyed,yfxyg8jm46,42,0.15693727211412797
dinov2_spatial_destroyed,ykhs7s2dck,38,0.3625665492223144
ddpm_spatial,74t7kcdgkr,45,0.1507068222687532
ddpm_spatial,cgtnjyggtm,49,0.1301059386705647
ddpm_spatial,w68dtmpfyf,43,0.12199597606745338
ddpm_spatial,xcmzfsbd9t,59,0.1392513248942715
ddpm_spatial,yfxyg8jm46,42,0.17417895203006561
ddpm_spatial,ykhs7s2dck,38,0.4713464825421852
ddpm_spatial_destroyed,74t7kcdgkr,45,0.14831106983653264
ddpm_spatial_destroyed,cgtnjyggtm,49,0.12742884629081244
ddpm_spatial_destroyed,w68dtmpfyf,43,0.12964418144812337
ddpm_spatial_destroyed,xcmzfsbd9t,59,0.1142303172277183
ddpm_spatial_destroyed,yfxyg8jm46,42,0.18440679949546318
ddpm_spatial_destroyed,ykhs7s2dck,38,0.4935353709816967
resdiff_fusion,74t7kcdgkr,45,0.11642332378099127
resdiff_fusion,cgtnjyggtm,49,0.12752337892726126
resdiff_fusion,w68dtmpfyf,43,0.1008437980544616
resdiff_fusion,xcmzfsbd9t,59,0.09628916979365017
resdiff_fusion,yfxyg8jm46,42,0.1598012582311361
resdiff_fusion,ykhs7s2dck,38,0.3279233759418643
resdiff_fusion_destroyed,74t7kcdgkr,45,0.09773738201163709
resdiff_fusion_destroyed,cgtnjyggtm,49,0.1267646012358007
resdiff_fusion_destroyed,w68dtmpfyf,43,0.10504911350715328
resdiff_fusion_destroyed,xcmzfsbd9t,59,0.08381894098830975
resdiff_fusion_destroyed,yfxyg8jm46,42,0.1540568375912842
resdiff_fusion_destroyed,ykhs7s2dck,38,0.31287484941515215
