method,outer_domain,inner_domain,pca_dimension,mae,fit_sample_count,query_sample_count,fit_domains,pca_state_sha256,ridge_state_sha256,state_sha256
dinov2_global,74t7kcdgkr,ykhs7s2dck,8,0.3475319446243355,193,38,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",4321d3bc4ca07d208483ae128791eb02d2d3e8e74ef09689cc2fd38bc3e7b6dd,6ada395ca122b3840d8f494e24a44d37b2aa62f4fd657fad75b6757de39ddb9b,6d51d0cfce08a7d6ed07ea1770b16f8ac417d59ffe6851dff36a4d3b191fa5de
dinov2_global,74t7kcdgkr,ykhs7s2dck,16,0.32242623092959827,193,38,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",4321d3bc4ca07d208483ae128791eb02d2d3e8e74ef09689cc2fd38bc3e7b6dd,e5fb2b8c8d94e1cd6066ab5947021aa73c6b8f73b4b98157f8ff13e5ef404c19,6088f798a7167c1d8ffa37b46f6dc822b4c689a9e0d80e71859464016fa24de8
dinov2_global,74t7kcdgkr,ykhs7s2dck,32,0.24115603446796108,193,38,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",4321d3bc4ca07d208483ae128791eb02d2d3e8e74ef09689cc2fd38bc3e7b6dd,633585daba02a3c5189bb3fdc7be5fe8366be1638f7f771fb07f9b5d81e6ee20,f5de21f0e3204e74547c45cd614d196ab052f8db9061f2f4fc5e65037554c7bd
dinov2_global,cgtnjyggtm,74t7kcdgkr,8,0.16231695546035924,182,45,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",8482db5f646a0ce56cee57db34e5e0e392540dbddd9d2ff9b35cb5165af3e03f,15d146f32b6042c4f11bb8126a3a9d2dc30e7f9bc62d40ea43fc81db7cc9a72c,c223ec11e3f31b7a225b7341770c676209e722db17a3ad8c64c86aaccbdae39c
dinov2_global,cgtnjyggtm,74t7kcdgkr,16,0.12279488944896953,182,45,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",8482db5f646a0ce56cee57db34e5e0e392540dbddd9d2ff9b35cb5165af3e03f,211ee5648d2d28e4077ba87a70eb28ad690c088c5290b75437205c08e473e43e,433619dc5afbf11fd74511f25857858cd9448893b1ecceef83e60f9a3ac171c1
dinov2_global,cgtnjyggtm,74t7kcdgkr,32,0.09441901117916891,182,45,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",8482db5f646a0ce56cee57db34e5e0e392540dbddd9d2ff9b35cb5165af3e03f,de8952f044eaf8265d59fdf611e0fbfe714afc29f75884c632e368b81940499f,ee827c2f2d9688046d772f09f7280d509104aae475d93c75ee5d66ab687797fe
dinov2_global,cgtnjyggtm,w68dtmpfyf,8,0.16354647354552126,184,43,"[""74t7kcdgkr"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",0a1448c1f766017fe0c9e3c99245514ca933d3e4fbe4d6fe6df5f1086c614d14,2410bb5d818cdb2a55a41bd64ff0236730d62e5389158d54b8e743de18b6d80b,af3a04af667c90c9694c395d66a1ad3a5d84f308ca2240f999991f5b4727d8d0
dinov2_global,cgtnjyggtm,w68dtmpfyf,16,0.16044670231061584,184,43,"[""74t7kcdgkr"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",0a1448c1f766017fe0c9e3c99245514ca933d3e4fbe4d6fe6df5f1086c614d14,ed17ce8a882af047298d65c69f8954b29367efcb72bfd204d6ae0f2fd45d86b3,1b0092c7ef724869ccee5d20e9521cc0a9f838a62b016785bebe7d4737845d11
dinov2_global,cgtnjyggtm,w68dtmpfyf,32,0.12532252310258532,184,43,"[""74t7kcdgkr"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",0a1448c1f766017fe0c9e3c99245514ca933d3e4fbe4d6fe6df5f1086c614d14,36018e97c19b7398c85cf12a0664063bfd3ce12b401e662e51e7bb1a4d9bf99a,fab98f45bca8e897c34eea912f01486548a5342134ded864c4cab15e07ba570e
dinov2_global,cgtnjyggtm,xcmzfsbd9t,8,0.10453658391882836,168,59,"[""74t7kcdgkr"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",8cc09f03bdf769f8cc249626992ec84d00ddecedb9e4059cb1b19b6b68eb8cd8,bcd1a1ea65ab653d03c1fd575a8b64400af1fbd705cc3c3f9e2938118eaf1d4e,50feadb27bf66dbfd14672af4da357b76f3378c02ecdb156a037e5c621918a17
