figure,file,source,row_key,mode
Fig1,figures/Fig1_framework.pdf,src/cmc_bbdm/cai_agent_v3/models.py; src/cmc_bbdm/cai_agent_v3/policy.py; src/cmc_bbdm/cai_agent_v3/feature_bank.py,code-defined workflow,NEW_DETERMINISTIC_SCHEMATIC
Fig2,figures/Fig2_mae.pdf,results/cai_agent_v3/paper_evidence/r1_e2a11154/figures/F1_mae_cost.pdf,cost_error_event_curves.csv,UNCHANGED
Fig3,figures/Fig4_timing.pdf,analysis/timing_contributions.csv,9methods x4stages,NEW_SAVED_DATA_PLOT
Fig4,figures/Fig4_case_process.pdf,results/cai_agent_v3/paper_evidence/r1_e2a11154/case_figure_reuse.csv,74t7kcdgkr:c8-16; measured_1 and measured_8,UNCHANGED_IMAGE_ASSEMBLY_R2
Fig5,figures/Fig6_quality.pdf,results/cai_agent_v3/paper_evidence/r1_e2a11154/figures/F4_equal_quality.pdf,equal_quality_grid.csv; primary grid,UNCHANGED
FigS1,figures/FigS1_rmse.pdf,figures/reuse_manifest.json,figures/FigS1_rmse.pdf,UNCHANGED
FigS2,figures/FigS2_r2.pdf,figures/reuse_manifest.json,figures/FigS2_r2.pdf,UNCHANGED
FigS3,figures/FigS3_gap.pdf,figures/reuse_manifest.json,figures/FigS3_gap.pdf,UNCHANGED
FigS4,figures/Fig3_contrasts.pdf,results/cai_agent_v3/paper_evidence/r1_e2a11154/figures/F5_mechanism_effects.pdf,mechanism_area_intervals.csv,UNCHANGED
FigS5,figures/74t7kcdgkr_c8-16_surface_cues.png,figures/reuse_manifest.json,figures/74t7kcdgkr_c8-16_surface_cues.png,UNCHANGED
FigS6,figures/74t7kcdgkr_c8-16_measured_16.png,figures/reuse_manifest.json,figures/74t7kcdgkr_c8-16_measured_16.png,UNCHANGED
FigS7,figures/74t7kcdgkr_c8-16_prediction.png,figures/reuse_manifest.json,figures/74t7kcdgkr_c8-16_prediction.png,UNCHANGED
FigS8,figures/w68dtmpfyf_q16-29_surface_cues.png,figures/reuse_manifest.json,figures/w68dtmpfyf_q16-29_surface_cues.png,UNCHANGED
FigS9,figures/w68dtmpfyf_q16-29_measured_16.png,figures/reuse_manifest.json,figures/w68dtmpfyf_q16-29_measured_16.png,UNCHANGED
FigS10,figures/w68dtmpfyf_q16-29_prediction.png,figures/reuse_manifest.json,figures/w68dtmpfyf_q16-29_prediction.png,UNCHANGED
FigS11,figures/cgtnjyggtm_q24-48_surface_cues.png,figures/reuse_manifest.json,figures/cgtnjyggtm_q24-48_surface_cues.png,UNCHANGED
FigS12,figures/cgtnjyggtm_q24-48_measured_16.png,figures/reuse_manifest.json,figures/cgtnjyggtm_q24-48_measured_16.png,UNCHANGED
FigS13,figures/cgtnjyggtm_q24-48_prediction.png,figures/reuse_manifest.json,figures/cgtnjyggtm_q24-48_prediction.png,UNCHANGED
