method,role,domain_count,specimen_count,cai_auebc,p_a_cai_auebc,next_action_regret,one_step_cai_utility,spearman,ndcg_10,recall_5,top_10_percent_overlap,top_1_oracle_match
c0_mvd_m1_o2,frozen_old_deployable_reference,6,276,0.09202411704871961,0.09027229526829932,0.015083156595862604,0.0047504636561091235,0.05150773345853967,0.6876884535291307,0.333016757095045,0.33523568002591025,0.22082205595324222
c1_center_prior,no_image_center_control,6,276,0.09297750098818386,0.08961456951767932,0.015849220866240885,0.003984399385730843,0.07931473540548288,0.7065852611011888,0.3761456094077063,0.3644349434718778,0.18933032476706402
c2_global_context,global_surface_context_control,6,276,0.09218686262516539,0.09100642382914942,0.015495180805086967,0.004338439446884762,0.04409132926733339,0.6967142097268547,0.3440144128426126,0.3271956085292498,0.21209013235769128
c3_shuffled_global,shuffled_global_context_control,6,276,0.09215226616746115,0.09097882111569766,0.015495180805086967,0.004338439446884762,0.04403534340876991,0.6966971244597325,0.3440144128426126,0.3271956085292498,0.21209013235769128
c3_shuffled_surface,shuffled_surface_control,6,276,0.09202411704871961,0.09027229526829932,0.015083156595862604,0.0047504636561091235,0.05150773345853967,0.6876884535291307,0.333016757095045,0.33523568002591025,0.22082205595324222
c4_wrong_orientation,wrong_orientation_control,6,276,0.09202411704871961,0.09027229526829932,0.015083156595862604,0.0047504636561091235,0.05150773345853967,0.6876884535291307,0.333016757095045,0.33523568002591025,0.22082205595324222
c5_spatial_derangement,spatial_derangement_control,6,276,0.09202411559372488,0.09027229443262196,0.015083156595862604,0.0047504636561091235,0.05150773345853967,0.6876884535291307,0.333016757095045,0.33523568002591025,0.22082205595324222
mechanical_oracle_diagnostic,evaluation_only_oracle_diagnostic,6,276,0.08004811062516848,0.07387058569639751,0.0,0.019833620251971728,0.9999999999999999,1.0,1.0,1.0,1.0
old_refit_diagnostic,same_target_old_state_diagnostic,6,276,0.09220493189421282,0.09102265678361805,0.014600570573162809,0.005233049678808919,0.04586960474503338,0.7058580431251914,0.35557903869295276,0.3393433247585987,0.23930101671143278
proposed,source_selected_registered_surface_method,6,276,0.09202411587521975,0.09027229541608589,0.015083156595862604,0.0047504636561091235,0.05150773345853967,0.6876884535291307,0.333016757095045,0.33523568002591025,0.22082205595324222
