dataset_id,specimen_id,surface_path,surface_sha256,transform_sha256
74t7kcdgkr,c8-10t,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-10t.png,3180ac8f58ece64ab33ba77aff88e3d4a5dca55a350cd9738feab53d772e1b79,c55f88636412e792ddde58f457a8891bd884a0057bccd7f392e5f7f0bc1e3278
74t7kcdgkr,c8-11,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-11.png,46773728bd6f2cadee11d8e7d384719930d6f2b92c7fa1bae46dbce3a95ed811,d884ab0e299bca712735d00feef8fc254477deaf7967177e25e49b95065b5c14
74t7kcdgkr,c8-12,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-12.png,34505c44d206fb8bea8f8ef69c936745f99d0ea5522729fcc09385075a4c72ec,e8c6469ffe3398cae132723c3490ab963831c662fde21361a217acf2216efe6b
74t7kcdgkr,c8-12t,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-12t.png,870ebb51c5ebc4165e5c35563664017e287b7318ff5032aa1e23b25e76b19e8d,a7927d33f62b280a7a2bb2e6838161b7d683c1bdf7d672a1fabe834e0401962f
74t7kcdgkr,c8-13,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-13.png,b3825d1dfcd6a49cca2e45224b9763bba870223cd93a9af68b4540bed21d162a,243a84eea651818a4541aceff239933893962ae5c5ffd9b2d9149ef7a689b6b0
74t7kcdgkr,c8-14,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-14.png,efe859284f43600acf564be72ea5ac98068fc77d3731dfb37ec95a0fb38873af,30dfa12e4603e56264fc106e8248eef642b6f2a727c337367d7a41c661c54d45
74t7kcdgkr,c8-15,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-15.png,559b8c4abab9391aaf95c7c1c12fa0100fab1c94d162a4d736fc24052b97cb5b,66c7da22bf7b41188ae117e515cdf466488979040282ba8d94e90c331ec48b24
74t7kcdgkr,c8-16,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-16.png,bf5971dfb981f6c3302d850db26b26785c575f3d51249a5e6625919bd101845a,735ce7621fdae4731b5a3cbf0d5c63f60576421b2b5e2a6ef0d3c082eeeffef6
74t7kcdgkr,c8-17,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-17.png,803e4d6b272d2f25ddb3b6e6a1245ac16a376af36cb72ccc5332f5d9940b951e,882249b92608123e7179709644e71ce8adc7adf090289c5e152c14e0cb4923df
74t7kcdgkr,c8-18,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-18.png,b5d2533252e978dfd07525f8ad1a7478eec213c848f075b62016a14ed44189e6,2dba8fa0a431b43d656f7aea091161b46e2b98e46f04b1a1a1807a147a92da34
74t7kcdgkr,c8-19,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-19.png,1eb1caa9ea96baa33c52e4f3411c714991996620639480a3bf638acfb347b504,f099c98278ef2553e008249200eff45b77646ef77a200ab9c057789a3ecba104
74t7kcdgkr,c8-2,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-2.png,fba37c14b99ff92f65675a2c8fb574d3cd7fb506cfd8178361e624381c9bfc0d,b99c447288685fdd152fa0c78229b55bfc8954a9933e0ba747c17c11ff023efd
74t7kcdgkr,c8-20,data/public/hasebe/raw/74t7kcdgkr/v1/impacted surface image/c8-20.png,8f24fb36b7af0b5f7123d76c97e6e1bbe423a48e0c7a7599e91175a5ccc0972d,6a4a4b8d94fae88d7930702fcd1e9bd6b9ba8bccae8cecc62fe748afe5776f1a
