array_name,authority_state_sha256,dtype,encoder_provenance,feature_bank_state_sha256,feature_manifest_sha256,sha256,shape,transform_sha256
global,8bfada2b4dcf55b6791caf788278d8ee07da9a09147e8b6f3e017b998fccd823,float32,"{""architecture"":""torchvision_resnet18_post_avgpool_pre_fc"",""batch_size"":128,""device"":""cuda:0"",""model_state_sha256"":""f67ab11df7d4cfdefb099ab0a09f453e7b2d78c262f2c7f1470cf2843e4047e7"",""output_dimension"":512,""torch"":""2.12.1+cu130"",""torchvision"":""0.27.1+cu130"",""transform_sha256"":""2b275ebbc220e6a0376d305d0996f4ffe80509fc8b27223fd919331a100acbe5"",""weights"":""ImageNet1K_V1"",""weights_sha256"":""f37072fd47e89c5e827621c5baffa7500819f7896bbacec160b1a16c560e07ec""}",01c17be6447b3b567db63005a056b0e1f8b73be82be9ee18d7a82a192c938a47,0106cbb00fd5e07c216d8852fcc7077e5c66bcc3af9b6895d0c2ffabfd48cc8b,7776822bb6aa3bad4ac182806faa313225131895e4ee73b329d36e26bbf1cfda,276x512,2b275ebbc220e6a0376d305d0996f4ffe80509fc8b27223fd919331a100acbe5
local_correct,8bfada2b4dcf55b6791caf788278d8ee07da9a09147e8b6f3e017b998fccd823,float32,"{""architecture"":""torchvision_resnet18_post_avgpool_pre_fc"",""batch_size"":128,""device"":""cuda:0"",""model_state_sha256"":""f67ab11df7d4cfdefb099ab0a09f453e7b2d78c262f2c7f1470cf2843e4047e7"",""output_dimension"":512,""torch"":""2.12.1+cu130"",""torchvision"":""0.27.1+cu130"",""transform_sha256"":""2b275ebbc220e6a0376d305d0996f4ffe80509fc8b27223fd919331a100acbe5"",""weights"":""ImageNet1K_V1"",""weights_sha256"":""f37072fd47e89c5e827621c5baffa7500819f7896bbacec160b1a16c560e07ec""}",01c17be6447b3b567db63005a056b0e1f8b73be82be9ee18d7a82a192c938a47,0106cbb00fd5e07c216d8852fcc7077e5c66bcc3af9b6895d0c2ffabfd48cc8b,d5133a43ae1a9053d42c29f23e20649fc871b0f0718c26f87c495f86e1e4b00c,276x64x512,2b275ebbc220e6a0376d305d0996f4ffe80509fc8b27223fd919331a100acbe5
local_wrong_orientation,8bfada2b4dcf55b6791caf788278d8ee07da9a09147e8b6f3e017b998fccd823,float32,"{""architecture"":""torchvision_resnet18_post_avgpool_pre_fc"",""batch_size"":128,""device"":""cuda:0"",""model_state_sha256"":""f67ab11df7d4cfdefb099ab0a09f453e7b2d78c262f2c7f1470cf2843e4047e7"",""output_dimension"":512,""torch"":""2.12.1+cu130"",""torchvision"":""0.27.1+cu130"",""transform_sha256"":""2b275ebbc220e6a0376d305d0996f4ffe80509fc8b27223fd919331a100acbe5"",""weights"":""ImageNet1K_V1"",""weights_sha256"":""f37072fd47e89c5e827621c5baffa7500819f7896bbacec160b1a16c560e07ec""}",01c17be6447b3b567db63005a056b0e1f8b73be82be9ee18d7a82a192c938a47,0106cbb00fd5e07c216d8852fcc7077e5c66bcc3af9b6895d0c2ffabfd48cc8b,dc2ad11858680b48cd0363cb59c17e0218fc934b1e14465b22697dc17222e7be,276x64x512,2b275ebbc220e6a0376d305d0996f4ffe80509fc8b27223fd919331a100acbe5
