candidate_bank_state_sha256,cumulative_actions,dataset_id,effective_budget,measured_count,method,native_count,nominal_checkpoint,outer_domain,p_a_absolute_error,p_a_prediction,p_a_predictor_state_sha256,p_b_absolute_error,p_b_prediction,p_b_predictor_state_sha256,plan_state_sha256,ranking_state_sha256,score_evaluation_state_sha256,specimen_id,target
e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,9,74t7kcdgkr,0.06175184086163315,28094,c2_global_context,454950,0.0625,74t7kcdgkr,0.1770730701300154,0.5589167888547456,e8148811dbeac7805dddc6dcdb8f8bb895b6226888738fe3b17be016aecb0f18,0.23928765599057122,0.49670220299418977,99f6aa7ba74b59c0c5f9d6d903ec85dee0bc0038e008610c01027837488cf74c,d22e906a4509aecc8d44f71259b9e7d11dd5e58a67f0cfe89bc43ec67742d55d,2e6ec7e0932965c48397f50c6c70d6cae9de195e1a7ef4c767f44c3b0712578d,53194cc05451ca4743b7b89a69681e4e504e0c5d95a039f65c21f522665e7b57,c8-10t,0.735989858984761
e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,18,74t7kcdgkr,0.09245191779316408,42061,c2_global_context,454950,0.09375,74t7kcdgkr,0.17042668841782815,0.5655631705669328,e8148811dbeac7805dddc6dcdb8f8bb895b6226888738fe3b17be016aecb0f18,0.2316242127426168,0.5043656462421442,9166639abe1a8eff567e3156b88a214f6721167fe48bec528bc655ee22972179,d22e906a4509aecc8d44f71259b9e7d11dd5e58a67f0cfe89bc43ec67742d55d,2e6ec7e0932965c48397f50c6c70d6cae9de195e1a7ef4c767f44c3b0712578d,53194cc05451ca4743b7b89a69681e4e504e0c5d95a039f65c21f522665e7b57,c8-10t,0.735989858984761
e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,27,74t7kcdgkr,0.12289702165073085,55912,c2_global_context,454950,0.125,74t7kcdgkr,0.16893675500541405,0.5670531039793469,e8148811dbeac7805dddc6dcdb8f8bb895b6226888738fe3b17be016aecb0f18,0.2397933848972862,0.4961964740874748,d783d7fd5b28216bf7c784d6f67646d637f0f0b60b3d75f38f52bc2e1802a940,d22e906a4509aecc8d44f71259b9e7d11dd5e58a67f0cfe89bc43ec67742d55d,2e6ec7e0932965c48397f50c6c70d6cae9de195e1a7ef4c767f44c3b0712578d,53194cc05451ca4743b7b89a69681e4e504e0c5d95a039f65c21f522665e7b57,c8-10t,0.735989858984761
e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,45,74t7kcdgkr,0.1847148038245961,84036,c2_global_context,454950,0.1875,74t7kcdgkr,0.16159812458891276,0.5743917343958482,e8148811dbeac7805dddc6dcdb8f8bb895b6226888738fe3b17be016aecb0f18,0.20686345101652825,0.5291264079682327,fa41197c233a19620a75da2f60fc631f3efe31c5d0126d17426e6c73e351a688,d22e906a4509aecc8d44f71259b9e7d11dd5e58a67f0cfe89bc43ec67742d55d,2e6ec7e0932965c48397f50c6c70d6cae9de195e1a7ef4c767f44c3b0712578d,53194cc05451ca4743b7b89a69681e4e504e0c5d95a039f65c21f522665e7b57,c8-10t,0.735989858984761
e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,63,74t7kcdgkr,0.24703813605890756,112390,c2_global_context,454950,0.25,74t7kcdgkr,0.16724913956053222,0.5687407194242288,e8148811dbeac7805dddc6dcdb8f8bb895b6226888738fe3b17be016aecb0f18,0.19986178233118923,0.5361280766535718,e3cc5c90514284a564373dab9753e42c7a08d07334fdde726ea50e8a91326be9,d22e906a4509aecc8d44f71259b9e7d11dd5e58a67f0cfe89bc43ec67742d55d,2e6ec7e0932965c48397f50c6c70d6cae9de195e1a7ef4c767f44c3b0712578d,53194cc05451ca4743b7b89a69681e4e504e0c5d95a039f65c21f522665e7b57,c8-10t,0.735989858984761
e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,9,74t7kcdgkr,0.06175184086163315,28094,c3_shuffled_global,454950,0.0625,74t7kcdgkr,0.1770730701300154,0.5589167888547456,e8148811dbeac7805dddc6dcdb8f8bb895b6226888738fe3b17be016aecb0f18,0.23928765599057122,0.49670220299418977,99f6aa7ba74b59c0c5f9d6d903ec85dee0bc0038e008610c01027837488cf74c,ac89734430445815fec4fecd97ff5d0845fbc00d93a53a38715f95e0c1a31420,d9606ae71bdb0f803ca4802bbb990afe2f1c8b5118a02bc408ebe842fc549eb8,53194cc05451ca4743b7b89a69681e4e504e0c5d95a039f65c21f522665e7b57,c8-10t,0.735989858984761
e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,18,74t7kcdgkr,0.09245191779316408,42061,c3_shuffled_global,454950,0.09375,74t7kcdgkr,0.17042668841782815,0.5655631705669328,e8148811dbeac7805dddc6dcdb8f8bb895b6226888738fe3b17be016aecb0f18,0.2316242127426168,0.5043656462421442,9166639abe1a8eff567e3156b88a214f6721167fe48bec528bc655ee22972179,ac89734430445815fec4fecd97ff5d0845fbc00d93a53a38715f95e0c1a31420,d9606ae71bdb0f803ca4802bbb990afe2f1c8b5118a02bc408ebe842fc549eb8,53194cc05451ca4743b7b89a69681e4e504e0c5d95a039f65c21f522665e7b57,c8-10t,0.735989858984761
e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,27,74t7kcdgkr,0.12289702165073085,55912,c3_shuffled_global,454950,0.125,74t7kcdgkr,0.16893675500541405,0.5670531039793469,e8148811dbeac7805dddc6dcdb8f8bb895b6226888738fe3b17be016aecb0f18,0.2397933848972862,0.4961964740874748,d783d7fd5b28216bf7c784d6f67646d637f0f0b60b3d75f38f52bc2e1802a940,ac89734430445815fec4fecd97ff5d0845fbc00d93a53a38715f95e0c1a31420,d9606ae71bdb0f803ca4802bbb990afe2f1c8b5118a02bc408ebe842fc549eb8,53194cc05451ca4743b7b89a69681e4e504e0c5d95a039f65c21f522665e7b57,c8-10t,0.735989858984761
e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,45,74t7kcdgkr,0.1847148038245961,84036,c3_shuffled_global,454950,0.1875,74t7kcdgkr,0.16159812458891276,0.5743917343958482,e8148811dbeac7805dddc6dcdb8f8bb895b6226888738fe3b17be016aecb0f18,0.20686345101652825,0.5291264079682327,fa41197c233a19620a75da2f60fc631f3efe31c5d0126d17426e6c73e351a688,ac89734430445815fec4fecd97ff5d0845fbc00d93a53a38715f95e0c1a31420,d9606ae71bdb0f803ca4802bbb990afe2f1c8b5118a02bc408ebe842fc549eb8,53194cc05451ca4743b7b89a69681e4e504e0c5d95a039f65c21f522665e7b57,c8-10t,0.735989858984761
e44d7b8e1ef1b1f715eeddc3ab9af485d1a993e0acfd792d86086a282b2fa0c0,63,74t7kcdgkr,0.24703813605890756,112390,c3_shuffled_global,454950,0.25,74t7kcdgkr,0.16724913956053222,0.5687407194242288,e8148811dbeac7805dddc6dcdb8f8bb895b6226888738fe3b17be016aecb0f18,0.19986178233118923,0.5361280766535718,e3cc5c90514284a564373dab9753e42c7a08d07334fdde726ea50e8a91326be9,ac89734430445815fec4fecd97ff5d0845fbc00d93a53a38715f95e0c1a31420,d9606ae71bdb0f803ca4802bbb990afe2f1c8b5118a02bc408ebe842fc549eb8,53194cc05451ca4743b7b89a69681e4e504e0c5d95a039f65c21f522665e7b57,c8-10t,0.735989858984761
