schema_version,analysis,task,metric,treatment,comparator,effect_direction,dataset_id,estimate,physical_specimen_count,wins,ties,losses,seed_effect_min,seed_effect_max,reference_version,formal_estimate
1,H_PLAN_BC_3SEED_VS_REGISTERED_RULE,LOCATE,planner_ausc_any,BC_3SEED,R_BALANCED_P4,BC_MINUS_RULE_POSITIVE_IS_BETTER,74t7kcdgkr,0.08172025313180745,4,3,0,1,0.016545607045476085,0.15492493294264306,PROXY_LEGACY,
1,H_PLAN_BC_3SEED_VS_REGISTERED_RULE,LOCATE,planner_ausc_any,BC_3SEED,R_BALANCED_P4,BC_MINUS_RULE_POSITIVE_IS_BETTER,cgtnjyggtm,0.1766434040370736,4,3,0,1,0.1162039784591713,0.2961116606220463,PROXY_LEGACY,
1,H_PLAN_BC_3SEED_VS_REGISTERED_RULE,LOCATE,planner_ausc_any,BC_3SEED,R_BALANCED_P4,BC_MINUS_RULE_POSITIVE_IS_BETTER,w68dtmpfyf,0.09837326446129607,4,3,0,1,-0.010238487745906133,0.16376305088471257,PROXY_LEGACY,
1,H_PLAN_BC_3SEED_VS_REGISTERED_RULE,LOCATE,planner_ausc_any,BC_3SEED,R_BALANCED_P4,BC_MINUS_RULE_POSITIVE_IS_BETTER,xcmzfsbd9t,0.11039317561610797,4,2,0,2,0.043267013742210855,0.19212470411427812,PROXY_LEGACY,
1,H_PLAN_BC_3SEED_VS_REGISTERED_RULE,LOCATE,planner_ausc_any,BC_3SEED,R_BALANCED_P4,BC_MINUS_RULE_POSITIVE_IS_BETTER,yfxyg8jm46,0.01634062351174126,4,3,0,1,-0.059479063633366275,0.08288493241015499,PROXY_LEGACY,
1,H_PLAN_BC_3SEED_VS_REGISTERED_RULE,LOCATE,planner_ausc_any,BC_3SEED,R_BALANCED_P4,BC_MINUS_RULE_POSITIVE_IS_BETTER,ykhs7s2dck,0.1668273070300766,4,3,0,1,0.03789317507418394,0.2589493350917683,PROXY_LEGACY,
1,H_PLAN_BC_3SEED_VS_REGISTERED_RULE,LOCATE,planner_ausc_any,BC_3SEED,R_BALANCED_P8,BC_MINUS_RULE_POSITIVE_IS_BETTER,74t7kcdgkr,0.05435874289367093,4,3,0,1,-0.010815903192660431,0.12756342270450655,PROXY_LEGACY,
1,H_PLAN_BC_3SEED_VS_REGISTERED_RULE,LOCATE,planner_ausc_any,BC_3SEED,R_BALANCED_P8,BC_MINUS_RULE_POSITIVE_IS_BETTER,cgtnjyggtm,0.1765483386452723,4,3,0,1,0.11610891306736998,0.29601659523024504,PROXY_LEGACY,
1,H_PLAN_BC_3SEED_VS_REGISTERED_RULE,LOCATE,planner_ausc_any,BC_3SEED,R_BALANCED_P8,BC_MINUS_RULE_POSITIVE_IS_BETTER,w68dtmpfyf,0.061395574605267955,4,3,0,1,-0.04721617760193425,0.12678536102868446,PROXY_LEGACY,
1,H_PLAN_BC_3SEED_VS_REGISTERED_RULE,LOCATE,planner_ausc_any,BC_3SEED,R_BALANCED_P8,BC_MINUS_RULE_POSITIVE_IS_BETTER,xcmzfsbd9t,0.11304463210507465,4,3,0,1,0.04591847023117754,0.1947761606032448,PROXY_LEGACY,
