schema_version,cohort,dataset_id,specimen_id,specimen_key,domain_rank,selection_seed,selection_sha256,prior_pilot_member,registered_cscan_sha256,surface_sha256,annotation_path,reference_version,review_state,formal_eligible,evaluation_status
1,ADDITIONAL_BC_CONFIRM_24,74t7kcdgkr,c8-8t,74t7kcdgkr:c8-8t,0,bc-cscan-path-b-confirm-v1,0e671bdb3efc419c7407061ccad527071c4178c5ecb2864a18e7029bbce5295a,False,184e5d418e958c2d3b94056f8334ef86614cbc20c9480d7843a9887375ce547b,47e954202acbcb218b708527073ed58754a255f35ea468285ae9594635378883,confirmation_annotation_queue/74t7kcdgkr__c8-8t.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,74t7kcdgkr,c8-12,74t7kcdgkr:c8-12,1,bc-cscan-path-b-confirm-v1,1360695f250665b55919a8708cadcb85cd356022809a160232502c794e6c25ed,False,89f4ee717122fd03ef0261c42911fa721f4b5ce4467b63904c966d9302fd43d9,34505c44d206fb8bea8f8ef69c936745f99d0ea5522729fcc09385075a4c72ec,confirmation_annotation_queue/74t7kcdgkr__c8-12.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,74t7kcdgkr,c8-40,74t7kcdgkr:c8-40,2,bc-cscan-path-b-confirm-v1,182e09cdac59397fb35a149fca391462588eee2d521e6e14e8c82cb603c6cf1a,False,269311a4880e08b174ecc3e3e5f33d2e193a8831b608a42eaacf254ccc65cbf1,8b16881f313d080d9fad5df285e71615f7d959ad158262c64b8e84692689eec6,confirmation_annotation_queue/74t7kcdgkr__c8-40.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,74t7kcdgkr,c8-34,74t7kcdgkr:c8-34,3,bc-cscan-path-b-confirm-v1,22f92426fe74ecfe02760641ba6d3aa9d48ae99a17fbc3835d8cfb2569c88017,False,64b4e82a60948c242f6b3a14780755bebec469e9df4acf900426644c634736da,b56fe29ff98b91801ed5c1455008a9ec40699aa50e66496c4dbac3f199bc7f73,confirmation_annotation_queue/74t7kcdgkr__c8-34.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,cgtnjyggtm,q24-50,cgtnjyggtm:q24-50,0,bc-cscan-path-b-confirm-v1,03a5ecaec5f38e9a7637ae4ec480730cb1b71f73e39032a029f6b7c035d2c45b,False,7186613586d221bcb3c009e0559d2dea5c95deabd1c87fd33ad69b7228e4550c,bd766dbf12e804a9e5f995e31534529aae455b7f5e99eb584696343ff87f2b17,confirmation_annotation_queue/cgtnjyggtm__q24-50.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,cgtnjyggtm,q24-39,cgtnjyggtm:q24-39,1,bc-cscan-path-b-confirm-v1,08eb8893aeabb6c86d9ed16c52f503a6f061ddd503ee625858d577426e2081a7,False,4769f3c54777c305a1b1398f627a6734c7eff184edb72f733f68fd8d53e6db21,cc6dc3d37cb1af3667e0c488dbe7edf9f1737f85d40b19ac0881e701b66940ad,confirmation_annotation_queue/cgtnjyggtm__q24-39.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,cgtnjyggtm,q24-22,cgtnjyggtm:q24-22,2,bc-cscan-path-b-confirm-v1,094ed97e4da476f9322d12273136533c9e61737503ec131d30831b4e4bb3948b,False,a9b218f122c59f9d7f606a59de8f23e1906fafb7a85ff36dada72148bc85e22c,f9b68fa0afaccc50af654d8209a5ffd8653bc2b1de801ba95edc060f86433496,confirmation_annotation_queue/cgtnjyggtm__q24-22.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,cgtnjyggtm,q24-25,cgtnjyggtm:q24-25,3,bc-cscan-path-b-confirm-v1,0cb7fe186e3111c606f4ddfb5c59fab9d2daf6c8465bf0982b9e68ff7e1d3725,False,15d565c6c97b81bc13e1d422b5cf5d210f4ac91b52bf99318db3712b5c076720,27c94f8ef0c925784ca7fa296135c927dad9d539bdc20288780ec9cca2a84329,confirmation_annotation_queue/cgtnjyggtm__q24-25.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,w68dtmpfyf,q16-17,w68dtmpfyf:q16-17,0,bc-cscan-path-b-confirm-v1,1e7f61b12bc95648cd583ab945196b58347e646194623bc0997696514dac974d,False,ce71ffa29a4fe161b7786033e21ae247445063b529c377ffb501877d580bbb55,bb54f28526f49f77855739805c2c083bc37604f6bc5e1c6a6f9be56250a33cd6,confirmation_annotation_queue/w68dtmpfyf__q16-17.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
1,ADDITIONAL_BC_CONFIRM_24,w68dtmpfyf,q16-35,w68dtmpfyf:q16-35,1,bc-cscan-path-b-confirm-v1,1edf3a191a002243ad13928d33049df37400d953f9ae1d23e9af3365f3664d47,False,b549a6bc288be7d5e4287c25c4405d83a744339a3c3be3e0f3f1adb607983f4a,9cece85ba679071dfb215e8543b13c6ac02d5851abc482cfa5815ed726321325,confirmation_annotation_queue/w68dtmpfyf__q16-35.json,REVIEWED_V1_PENDING,pending,False,ADDITIONAL_CONFIRMATION_PENDING_REFERENCE
