axis,grouping,group_value,condition_id,coarse_rank,specimen_count,domain_count,equal_domain_mae,full_equal_domain_mae,relative_gap,noninferior_05
sampling,domain,74t7kcdgkr,sampling:density=1,0,45,1,0.052003607090763716,0.052003607090763716,0.0,True
sampling,domain,74t7kcdgkr,sampling:density=0.75,1,45,1,0.05158021807051683,0.052003607090763716,-0.008141531788514733,True
sampling,domain,74t7kcdgkr,sampling:density=0.625,2,45,1,0.050271906873153034,0.052003607090763716,-0.033299617362854916,True
sampling,domain,74t7kcdgkr,sampling:density=0.5,3,45,1,0.051842501614072625,0.052003607090763716,-0.0030979673469555546,True
sampling,domain,74t7kcdgkr,sampling:density=0.375,4,45,1,0.047870484459962656,0.052003607090763716,-0.07947761438139045,True
sampling,domain,74t7kcdgkr,sampling:density=0.25,5,45,1,0.05168350924828841,0.052003607090763716,-0.006155300764360883,True
sampling,domain,74t7kcdgkr,sampling:density=0.1875,6,45,1,0.05194556482919425,0.052003607090763716,-0.0011161199158390422,True
sampling,domain,74t7kcdgkr,sampling:density=0.125,7,45,1,0.05296319515616348,0.052003607090763716,0.018452336656666235,True
sampling,domain,74t7kcdgkr,sampling:density=0.0625,8,45,1,0.056148624386427495,0.052003607090763716,0.07970634207025928,False
sampling,domain,cgtnjyggtm,sampling:density=1,0,49,1,0.12486849958988919,0.12486849958988919,0.0,True
sampling,domain,cgtnjyggtm,sampling:density=0.75,1,49,1,0.12713992705117957,0.12486849958988919,0.01819055621514254,True
sampling,domain,cgtnjyggtm,sampling:density=0.625,2,49,1,0.12543843462510326,0.12486849958988919,0.004564281921268565,True
sampling,domain,cgtnjyggtm,sampling:density=0.5,3,49,1,0.13040575293423998,0.12486849958988919,0.04434467750102722,True
sampling,domain,cgtnjyggtm,sampling:density=0.375,4,49,1,0.13297303523247708,0.12486849958988919,0.0649045649559814,False
sampling,domain,cgtnjyggtm,sampling:density=0.25,5,49,1,0.1287134288353459,0.12486849958988919,0.03079182706675243,True
sampling,domain,cgtnjyggtm,sampling:density=0.1875,6,49,1,0.1256903478209235,0.12486849958988919,0.006581709828608062,True
sampling,domain,cgtnjyggtm,sampling:density=0.125,7,49,1,0.1371152957486761,0.12486849958988919,0.09807754717170125,False
sampling,domain,cgtnjyggtm,sampling:density=0.0625,8,49,1,0.12137738358404099,0.12486849958988919,-0.027958340312522534,True
sampling,domain,w68dtmpfyf,sampling:density=1,0,43,1,0.09660573834513045,0.09660573834513045,0.0,True
sampling,domain,w68dtmpfyf,sampling:density=0.75,1,43,1,0.09716029352242293,0.09660573834513045,0.0057403958273296585,True
sampling,domain,w68dtmpfyf,sampling:density=0.625,2,43,1,0.09833366688086352,0.09660573834513045,0.017886396453592912,True
sampling,domain,w68dtmpfyf,sampling:density=0.5,3,43,1,0.09892212874336609,0.09660573834513045,0.023977772313692025,True
sampling,domain,w68dtmpfyf,sampling:density=0.375,4,43,1,0.09763133861645594,0.09660573834513045,0.010616349389737767,True
sampling,domain,w68dtmpfyf,sampling:density=0.25,5,43,1,0.0973833853782284,0.09660573834513045,0.008049698148569151,True
sampling,domain,w68dtmpfyf,sampling:density=0.1875,6,43,1,0.0937912351611234,0.09660573834513045,-0.029133913080318652,True
sampling,domain,w68dtmpfyf,sampling:density=0.125,7,43,1,0.09982327659070157,0.09660573834513045,0.03330587085910208,True
sampling,domain,w68dtmpfyf,sampling:density=0.0625,8,43,1,0.09591215873425771,0.09660573834513045,-0.0071794866718463135,True
sampling,domain,xcmzfsbd9t,sampling:density=1,0,59,1,0.07511512755876237,0.07511512755876237,0.0,True
sampling,domain,xcmzfsbd9t,sampling:density=0.75,1,59,1,0.07433649343074042,0.07511512755876237,-0.010365876399701657,True
sampling,domain,xcmzfsbd9t,sampling:density=0.625,2,59,1,0.07687173458054868,0.07511512755876237,0.02338552937172489,True
sampling,domain,xcmzfsbd9t,sampling:density=0.5,3,59,1,0.07953266323366459,0.07511512755876237,0.05881020000194215,False
sampling,domain,xcmzfsbd9t,sampling:density=0.375,4,59,1,0.0801338608338813,0.07511512755876237,0.0668138820797819,False
sampling,domain,xcmzfsbd9t,sampling:density=0.25,5,59,1,0.0767516692559288,0.07511512755876237,0.021787112001988795,True
sampling,domain,xcmzfsbd9t,sampling:density=0.1875,6,59,1,0.07664424173176936,0.07511512755876237,0.020356940375435784,True
sampling,domain,xcmzfsbd9t,sampling:density=0.125,7,59,1,0.07708202710725119,0.07511512755876237,0.02618513224183916,True
sampling,domain,xcmzfsbd9t,sampling:density=0.0625,8,59,1,0.08007407557812596,0.07511512755876237,0.06601796709303609,False
sampling,domain,yfxyg8jm46,sampling:density=1,0,42,1,0.1274307438735015,0.1274307438735015,0.0,True
sampling,domain,yfxyg8jm46,sampling:density=0.75,1,42,1,0.1257657753082634,0.1274307438735015,-0.013065674064422605,True
sampling,domain,yfxyg8jm46,sampling:density=0.625,2,42,1,0.12791851950441374,0.1274307438735015,0.003827770411482856,True
sampling,domain,yfxyg8jm46,sampling:density=0.5,3,42,1,0.12815006464119583,0.1274307438735015,0.005644797682483826,True
sampling,domain,yfxyg8jm46,sampling:density=0.375,4,42,1,0.1339792743071003,0.1274307438735015,0.051388936723930634,False
sampling,domain,yfxyg8jm46,sampling:density=0.25,5,42,1,0.13226041469369032,0.1274307438735015,0.037900358056319305,True
sampling,domain,yfxyg8jm46,sampling:density=0.1875,6,42,1,0.13055222830964242,0.1274307438735015,0.02449553648717262,True
sampling,domain,yfxyg8jm46,sampling:density=0.125,7,42,1,0.12533981051107895,0.1274307438735015,-0.016408390148755503,True
sampling,domain,yfxyg8jm46,sampling:density=0.0625,8,42,1,0.1372286603029861,0.1274307438735015,0.07688816789150077,False
sampling,domain,ykhs7s2dck,sampling:density=1,0,38,1,0.06179111148763878,0.06179111148763878,0.0,True
