schema_version,task,stop_system,analysis_scope,metric,treatment,comparator,effect_direction,estimate,ci_lower,ci_upper,confidence_level,physical_specimen_count,domain_count,bootstrap_replicates,bootstrap_draws_sha256,reference_version
1,CHARACTERIZE,S_BC_CAL,EXPLORATORY_FROZEN_COHORT_DIAGNOSTIC,gap,BC_3SEED,R_BALANCED_P8,BC_MINUS_P8,0.019528518031615743,-0.00833251646684951,0.0483076190043691,0.95,24,6,5000,ec9e3bcc4bb6cbabe76d6d2f612d42a2272f1581a37ed78e25fd49439515c3b2,PROXY_LEGACY
1,CHARACTERIZE,S_BC_CAL,EXPLORATORY_FROZEN_COHORT_DIAGNOSTIC,gap_completion_contribution,BC_3SEED,R_BALANCED_P8,BC_MINUS_P8,0.028226238171802087,0.006014200637045068,0.0511738559683793,0.95,24,6,5000,ec9e3bcc4bb6cbabe76d6d2f612d42a2272f1581a37ed78e25fd49439515c3b2,PROXY_LEGACY
1,CHARACTERIZE,S_BC_CAL,EXPLORATORY_FROZEN_COHORT_DIAGNOSTIC,gap_false_stop_contribution,BC_3SEED,R_BALANCED_P8,BC_MINUS_P8,0.009270035779267563,0.0027179116142189,0.01717089255840079,0.95,24,6,5000,ec9e3bcc4bb6cbabe76d6d2f612d42a2272f1581a37ed78e25fd49439515c3b2,PROXY_LEGACY
1,CHARACTERIZE,S_BC_CAL,EXPLORATORY_FROZEN_COHORT_DIAGNOSTIC,gap_exhaustion_contribution,BC_3SEED,R_BALANCED_P8,BC_MINUS_P8,-0.017967755919453904,-0.03759057771916328,0.0,0.95,24,6,5000,ec9e3bcc4bb6cbabe76d6d2f612d42a2272f1581a37ed78e25fd49439515c3b2,PROXY_LEGACY
1,CHARACTERIZE,S_RULE,EXPLORATORY_FROZEN_COHORT_DIAGNOSTIC,planner_ausc,BC_3SEED,R_BALANCED_P8,BC_MINUS_P8,0.04032361574185169,0.01886958690652782,0.06144894218624288,0.95,24,6,5000,ec9e3bcc4bb6cbabe76d6d2f612d42a2272f1581a37ed78e25fd49439515c3b2,PROXY_LEGACY
1,CHARACTERIZE,S_RULE,EXPLORATORY_FROZEN_COHORT_DIAGNOSTIC,autonomous_ausc,BC_3SEED,R_BALANCED_P8,BC_MINUS_P8,-0.000650241937931609,-0.0394718142674806,0.04319111969508359,0.95,24,6,5000,ec9e3bcc4bb6cbabe76d6d2f612d42a2272f1581a37ed78e25fd49439515c3b2,PROXY_LEGACY
1,CHARACTERIZE,S_RULE,EXPLORATORY_FROZEN_COHORT_DIAGNOSTIC,gap,BC_3SEED,R_BALANCED_P8,BC_MINUS_P8,0.04097385767978331,-0.005852262805970111,0.08340794960462662,0.95,24,6,5000,ec9e3bcc4bb6cbabe76d6d2f612d42a2272f1581a37ed78e25fd49439515c3b2,PROXY_LEGACY
1,CHARACTERIZE,S_RULE,EXPLORATORY_FROZEN_COHORT_DIAGNOSTIC,gap_completion_contribution,BC_3SEED,R_BALANCED_P8,BC_MINUS_P8,0.08035632950208367,0.05244542141559981,0.10815729562854286,0.95,24,6,5000,ec9e3bcc4bb6cbabe76d6d2f612d42a2272f1581a37ed78e25fd49439515c3b2,PROXY_LEGACY
1,CHARACTERIZE,S_RULE,EXPLORATORY_FROZEN_COHORT_DIAGNOSTIC,gap_false_stop_contribution,BC_3SEED,R_BALANCED_P8,BC_MINUS_P8,-0.039382471822300376,-0.0866112881757458,-0.006999334481200621,0.95,24,6,5000,ec9e3bcc4bb6cbabe76d6d2f612d42a2272f1581a37ed78e25fd49439515c3b2,PROXY_LEGACY
1,CHARACTERIZE,S_RULE,EXPLORATORY_FROZEN_COHORT_DIAGNOSTIC,gap_exhaustion_contribution,BC_3SEED,R_BALANCED_P8,BC_MINUS_P8,0.0,0.0,0.0,0.95,24,6,5000,ec9e3bcc4bb6cbabe76d6d2f612d42a2272f1581a37ed78e25fd49439515c3b2,PROXY_LEGACY
