schema_version,dataset_id,specimen_id,specimen_key,task,method,seed,reference_version,analysis_scope,comparator,diverged,common_prefix_action_count,first_divergence_step,bc_action,p8_action,bc_pre_divergence_cost,p8_pre_divergence_cost,bc_pre_divergence_success,p8_pre_divergence_success,divergence_before_either_s_bc_stop
1,74t7kcdgkr,c8-5,74t7kcdgkr:c8-5,LOCATE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,4,4,"[37, 0, 1]","[45, -1, 0]",0.0013400626522798468,0.0013400626522798468,False,False,True
1,74t7kcdgkr,c8-7,74t7kcdgkr:c8-7,CHARACTERIZE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,5,5,"[30, -1, 0]","[43, -1, 0]",0.0015140967629655412,0.0015140967629655412,False,False,True
1,74t7kcdgkr,c8-7,74t7kcdgkr:c8-7,CHARACTERIZE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[35, -1, 0]","[27, -1, 0]",0.0,0.0,False,False,True
1,74t7kcdgkr,c8-7,74t7kcdgkr:c8-7,CHARACTERIZE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[35, -1, 0]","[27, -1, 0]",0.0,0.0,False,False,True
1,74t7kcdgkr,c8-7,74t7kcdgkr:c8-7,LOCATE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,5,5,"[30, -1, 0]","[43, -1, 0]",0.0015140967629655412,0.0015140967629655412,False,False,True
1,74t7kcdgkr,c8-7,74t7kcdgkr:c8-7,LOCATE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[35, -1, 0]","[27, -1, 0]",0.0,0.0,False,False,True
1,74t7kcdgkr,c8-7,74t7kcdgkr:c8-7,LOCATE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[35, -1, 0]","[27, -1, 0]",0.0,0.0,False,False,True
1,cgtnjyggtm,q24-21,cgtnjyggtm:q24-21,CHARACTERIZE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,1,1,"[44, -1, 0]","[36, -1, 0]",0.0002659632926695241,0.0002659632926695241,False,False,True
1,cgtnjyggtm,q24-21,cgtnjyggtm:q24-21,CHARACTERIZE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,1,1,"[44, -1, 0]","[36, -1, 0]",0.0002659632926695241,0.0002659632926695241,False,False,True
1,cgtnjyggtm,q24-21,cgtnjyggtm:q24-21,CHARACTERIZE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,1,1,"[44, -1, 0]","[36, -1, 0]",0.0002659632926695241,0.0002659632926695241,False,False,True
1,cgtnjyggtm,q24-21,cgtnjyggtm:q24-21,LOCATE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,1,1,"[44, -1, 0]","[36, -1, 0]",0.0002659632926695241,0.0002659632926695241,False,False,True
1,cgtnjyggtm,q24-21,cgtnjyggtm:q24-21,LOCATE,BC_S2,2,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,1,1,"[44, -1, 0]","[36, -1, 0]",0.0002659632926695241,0.0002659632926695241,False,False,True
1,cgtnjyggtm,q24-21,cgtnjyggtm:q24-21,LOCATE,BC_S3,3,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,1,1,"[44, -1, 0]","[36, -1, 0]",0.0002659632926695241,0.0002659632926695241,False,False,True
1,cgtnjyggtm,q24-37,cgtnjyggtm:q24-37,CHARACTERIZE,BC_S1,1,PROXY_LEGACY,COMMON_HISTORY_DIVERGENCE,R_BALANCED_P8,True,0,0,"[27, -1, 0]","[35, -1, 0]",0.0,0.0,False,False,True
