schema_version,dataset_id,specimen_id,specimen_key,task,analysis_scope,reference_version,no_reliable_cue,surface_cue_cells,surface_ring_cells,target_pixel_count,surface_pixel_count,intersection_pixel_count,union_pixel_count,target_coverage_by_surface,surface_precision_proxy,surface_target_iou,overlap_group
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,LOCATE,PROXY_SPATIAL_RELATION,PROXY_LEGACY,False,"[35,36,59,60]","[26,27,28,29,34,37,42,43,44,45,50,51,52,53,58,61]",4703,28730,340,33093,0.07229428024665108,0.011834319526627219,0.010274076088598797,CUE_OVERLAP
1,74t7kcdgkr,c8-24,74t7kcdgkr:c8-24,CHARACTERIZE,PROXY_SPATIAL_RELATION,PROXY_LEGACY,False,"[35,36,59,60]","[26,27,28,29,34,37,42,43,44,45,50,51,52,53,58,61]",10521,28730,1020,38231,0.09694895922440833,0.03550295857988166,0.026679919437106014,CUE_OVERLAP
1,74t7kcdgkr,c8-41,74t7kcdgkr:c8-41,LOCATE,PROXY_SPATIAL_RELATION,PROXY_LEGACY,False,"[0,1,2,3,63]","[4,8,9,10,11,12,54,55,62]",4703,35449,836,39316,0.17775887731235382,0.02358317583006573,0.021263607691525077,CUE_OVERLAP
1,74t7kcdgkr,c8-41,74t7kcdgkr:c8-41,CHARACTERIZE,PROXY_SPATIAL_RELATION,PROXY_LEGACY,False,"[0,1,2,3,63]","[4,8,9,10,11,12,54,55,62]",8798,35449,1105,43142,0.12559672652875653,0.03117154221557731,0.0256130916508275,CUE_OVERLAP
1,74t7kcdgkr,c8-5,74t7kcdgkr:c8-5,LOCATE,PROXY_SPATIAL_RELATION,PROXY_LEGACY,False,"[35,36,37,38]","[26,27,28,29,30,31,34,39,42,43,44,45,46,47]",3881,7353,0,11234,0.0,0.0,0.0,CUE_DISJOINT
1,74t7kcdgkr,c8-5,74t7kcdgkr:c8-5,CHARACTERIZE,PROXY_SPATIAL_RELATION,PROXY_LEGACY,False,"[35,36,37,38]","[26,27,28,29,30,31,34,39,42,43,44,45,46,47]",6367,7353,1837,11883,0.28851892571069576,0.24983000135998912,0.15459059160144745,CUE_OVERLAP
1,74t7kcdgkr,c8-7,74t7kcdgkr:c8-7,LOCATE,PROXY_SPATIAL_RELATION,PROXY_LEGACY,False,"[27,28,35,36]","[18,19,20,21,26,29,34,37,42,43,44,45]",21168,7395,0,28563,0.0,0.0,0.0,CUE_DISJOINT
1,74t7kcdgkr,c8-7,74t7kcdgkr:c8-7,CHARACTERIZE,PROXY_SPATIAL_RELATION,PROXY_LEGACY,False,"[27,28,35,36]","[18,19,20,21,26,29,34,37,42,43,44,45]",28152,7395,2326,33221,0.08262290423415743,0.3145368492224476,0.0700159537641853,CUE_OVERLAP
1,cgtnjyggtm,q24-21,cgtnjyggtm:q24-21,LOCATE,PROXY_SPATIAL_RELATION,PROXY_LEGACY,False,"[35,36,44,45]","[26,27,28,29,34,37,38,42,43,46,51,52,53,54]",37213,28560,0,65773,0.0,0.0,0.0,CUE_DISJOINT
1,cgtnjyggtm,q24-21,cgtnjyggtm:q24-21,CHARACTERIZE,PROXY_SPATIAL_RELATION,PROXY_LEGACY,False,"[35,36,44,45]","[26,27,28,29,34,37,38,42,43,46,51,52,53,54]",100006,28560,9526,119040,0.09525428474291542,0.33354341736694676,0.08002352150537634,CUE_OVERLAP
