schema_version,dataset_id,specimen_id,specimen_key,task,analysis_scope,reference_version,no_reliable_cue,surface_cue_cells,surface_ring_cells,target_pixel_count,surface_pixel_count,intersection_pixel_count,union_pixel_count,target_coverage_by_surface,surface_precision_proxy,surface_target_iou,overlap_group
1,w68dtmpfyf,q16-21,w68dtmpfyf:q16-21,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,43,44]","[26,27,28,29,34,37,42,45,50,51,52,53]",24410,28560,9150,43820,0.37484637443670626,0.32037815126050423,0.20880876312186217,CUE_OVERLAP
1,w68dtmpfyf,q16-3,w68dtmpfyf:q16-3,CHARACTERIZE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,43,44]","[26,27,28,29,34,37,42,45,50,51,52,53]",32441,28560,17797,43204,0.5485959125797601,0.6231442577030812,0.4119294509767614,CUE_OVERLAP
1,w68dtmpfyf,q16-3,w68dtmpfyf:q16-3,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,43,44]","[26,27,28,29,34,37,42,45,50,51,52,53]",32441,28560,17797,43204,0.5485959125797601,0.6231442577030812,0.4119294509767614,CUE_OVERLAP
1,w68dtmpfyf,q16-31,w68dtmpfyf:q16-31,CHARACTERIZE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,49,50]","[26,27,28,29,34,37,40,41,42,43,44,45,48,51,56,57,58,59]",19738,28392,8547,39583,0.4330225960077009,0.3010355029585799,0.21592602885076928,CUE_OVERLAP
1,w68dtmpfyf,q16-31,w68dtmpfyf:q16-31,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,49,50]","[26,27,28,29,34,37,40,41,42,43,44,45,48,51,56,57,58,59]",19738,28392,8547,39583,0.4330225960077009,0.3010355029585799,0.21592602885076928,CUE_OVERLAP
1,w68dtmpfyf,q16-36,w68dtmpfyf:q16-36,CHARACTERIZE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,37]","[26,27,28,29,30,34,38,42,43,44,45,46]",22047,21336,9156,34227,0.4152945979044768,0.42913385826771655,0.26750810763432376,CUE_OVERLAP
1,w68dtmpfyf,q16-36,w68dtmpfyf:q16-36,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,37]","[26,27,28,29,30,34,38,42,43,44,45,46]",22047,21336,9156,34227,0.4152945979044768,0.42913385826771655,0.26750810763432376,CUE_OVERLAP
1,xcmzfsbd9t,c24-20,xcmzfsbd9t:c24-20,CHARACTERIZE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,59,60]","[26,27,28,29,34,37,42,43,44,45,50,51,52,53,58,61]",1454,7482,983,7953,0.6760660247592847,0.1313819834268912,0.12360115679617754,CUE_OVERLAP
1,xcmzfsbd9t,c24-20,xcmzfsbd9t:c24-20,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,59,60]","[26,27,28,29,34,37,42,43,44,45,50,51,52,53,58,61]",1454,7482,983,7953,0.6760660247592847,0.1313819834268912,0.12360115679617754,CUE_OVERLAP
1,xcmzfsbd9t,c24-39,xcmzfsbd9t:c24-39,CHARACTERIZE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,37]","[26,27,28,29,30,34,38,42,43,44,45,46]",47247,21336,13828,54755,0.2926746671746354,0.6481064866891638,0.25254314674458955,CUE_OVERLAP
1,xcmzfsbd9t,c24-39,xcmzfsbd9t:c24-39,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,37]","[26,27,28,29,30,34,38,42,43,44,45,46]",47247,21336,13828,54755,0.2926746671746354,0.6481064866891638,0.25254314674458955,CUE_OVERLAP
1,xcmzfsbd9t,c24-49,xcmzfsbd9t:c24-49,CHARACTERIZE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,37,38]","[26,27,28,29,30,31,34,39,42,43,44,45,46,47]",13717,28392,6769,35340,0.4934752496901655,0.23841222879684418,0.19153933220147143,CUE_OVERLAP
1,xcmzfsbd9t,c24-49,xcmzfsbd9t:c24-49,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,37,38]","[26,27,28,29,30,31,34,39,42,43,44,45,46,47]",13717,28392,6769,35340,0.4934752496901655,0.23841222879684418,0.19153933220147143,CUE_OVERLAP
1,xcmzfsbd9t,c24-54,xcmzfsbd9t:c24-54,CHARACTERIZE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,37,38,39,40]","[26,27,28,29,30,31,32,33,34,41,42,43,44,45,46,47,48,49]",24989,42588,8583,58994,0.34347112729601026,0.20153564384333614,0.1454893718005221,CUE_OVERLAP
1,xcmzfsbd9t,c24-54,xcmzfsbd9t:c24-54,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,37,38,39,40]","[26,27,28,29,30,31,32,33,34,41,42,43,44,45,46,47,48,49]",24989,42588,8583,58994,0.34347112729601026,0.20153564384333614,0.1454893718005221,CUE_OVERLAP
1,yfxyg8jm46,c16-15,yfxyg8jm46:c16-15,CHARACTERIZE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[36,37]","[27,28,29,30,35,38,43,44,45,46]",26501,14280,2727,38054,0.10290177729142297,0.19096638655462184,0.07166132338256162,CUE_OVERLAP
1,yfxyg8jm46,c16-15,yfxyg8jm46:c16-15,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[36,37]","[27,28,29,30,35,38,43,44,45,46]",26501,14280,2727,38054,0.10290177729142297,0.19096638655462184,0.07166132338256162,CUE_OVERLAP
1,yfxyg8jm46,c16-19,yfxyg8jm46:c16-19,CHARACTERIZE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,37,59,60,61]","[26,27,28,29,30,34,38,42,43,44,45,46,50,51,52,53,54,58,62]",31575,42926,12183,62318,0.3858432304038005,0.2838140054978335,0.1954972881029558,CUE_OVERLAP
1,yfxyg8jm46,c16-19,yfxyg8jm46:c16-19,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,37,59,60,61]","[26,27,28,29,30,34,38,42,43,44,45,46,50,51,52,53,54,58,62]",31575,42926,12183,62318,0.3858432304038005,0.2838140054978335,0.1954972881029558,CUE_OVERLAP
1,yfxyg8jm46,c16-38,yfxyg8jm46:c16-38,CHARACTERIZE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,59,60]","[26,27,28,29,34,37,42,43,44,45,50,51,52,53,58,61]",10951,28730,1975,37706,0.1803488265911789,0.06874347372084928,0.05237893173500239,CUE_OVERLAP
1,yfxyg8jm46,c16-38,yfxyg8jm46:c16-38,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,59,60]","[26,27,28,29,34,37,42,43,44,45,50,51,52,53,58,61]",10951,28730,1975,37706,0.1803488265911789,0.06874347372084928,0.05237893173500239,CUE_OVERLAP
1,yfxyg8jm46,c16-4,yfxyg8jm46:c16-4,CHARACTERIZE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,37]","[26,27,28,29,30,34,38,42,43,44,45,46]",24387,21336,9206,36517,0.3774962069955304,0.43147731533558303,0.25210176082372593,CUE_OVERLAP
1,yfxyg8jm46,c16-4,yfxyg8jm46:c16-4,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,37]","[26,27,28,29,30,34,38,42,43,44,45,46]",24387,21336,9206,36517,0.3774962069955304,0.43147731533558303,0.25210176082372593,CUE_OVERLAP
1,ykhs7s2dck,q8-19,ykhs7s2dck:q8-19,CHARACTERIZE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[5,13,47,55]","[4,6,12,14,20,21,22,38,39,46,54,62,63]",11227,28392,0,39619,0.0,0.0,0.0,CUE_DISJOINT
1,ykhs7s2dck,q8-19,ykhs7s2dck:q8-19,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[5,13,47,55]","[4,6,12,14,20,21,22,38,39,46,54,62,63]",11227,28392,0,39619,0.0,0.0,0.0,CUE_DISJOINT
1,ykhs7s2dck,q8-31,ykhs7s2dck:q8-31,CHARACTERIZE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,37,38]","[26,27,28,29,30,31,34,39,42,43,44,45,46,47]",22889,28392,12034,39247,0.525754729345974,0.4238517892364046,0.30662216220348054,CUE_OVERLAP
1,ykhs7s2dck,q8-31,ykhs7s2dck:q8-31,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,37,38]","[26,27,28,29,30,31,34,39,42,43,44,45,46,47]",22889,28392,12034,39247,0.525754729345974,0.4238517892364046,0.30662216220348054,CUE_OVERLAP
1,ykhs7s2dck,q8-33,ykhs7s2dck:q8-33,CHARACTERIZE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,37]","[26,27,28,29,30,34,38,42,43,44,45,46]",25962,21336,10133,37165,0.39030120945998,0.47492500937382826,0.2726489977129019,CUE_OVERLAP
1,ykhs7s2dck,q8-33,ykhs7s2dck:q8-33,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,37]","[26,27,28,29,30,34,38,42,43,44,45,46]",25962,21336,10133,37165,0.39030120945998,0.47492500937382826,0.2726489977129019,CUE_OVERLAP
1,ykhs7s2dck,q8-4,ykhs7s2dck:q8-4,CHARACTERIZE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,59,60]","[26,27,28,29,34,37,42,43,44,45,50,51,52,53,58,61]",7024,28730,3964,31790,0.5643507972665148,0.13797424295161853,0.12469329977980496,CUE_OVERLAP
1,ykhs7s2dck,q8-4,ykhs7s2dck:q8-4,LOCATE,REVIEWED_SPATIAL_RELATION,REVIEWED_02339eda86d486c3,False,"[35,36,59,60]","[26,27,28,29,34,37,42,43,44,45,50,51,52,53,58,61]",7024,28730,3964,31790,0.5643507972665148,0.13797424295161853,0.12469329977980496,CUE_OVERLAP
