schema_version,task,analysis_scope,reference_version,metric,treatment,comparator,estimate,ci_lower,ci_upper,confidence_level,physical_specimen_count,domain_count,bootstrap_replicates,bootstrap_draws_sha256
1,LOCATE,REVIEWED_PLANNER_EFFECT,REVIEWED_02339eda86d486c3,planner_ausc,BC_3SEED,R_BALANCED_P8,0.01804367740500334,-0.005032257693198783,0.04230722647699502,0.95,24,6,5000,ec9e3bcc4bb6cbabe76d6d2f612d42a2272f1581a37ed78e25fd49439515c3b2
1,LOCATE,REVIEWED_PLANNER_EFFECT,REVIEWED_02339eda86d486c3,planner_ausc,BC_3SEED,R_BALANCED_P8,0.01804367740500334,-0.00826279896297359,0.04567531135004124,0.975,24,6,5000,ec9e3bcc4bb6cbabe76d6d2f612d42a2272f1581a37ed78e25fd49439515c3b2
1,CHARACTERIZE,REVIEWED_PLANNER_EFFECT,REVIEWED_02339eda86d486c3,planner_ausc,BC_3SEED,R_BALANCED_P8,0.0,0.0,0.0,0.95,24,6,5000,ec9e3bcc4bb6cbabe76d6d2f612d42a2272f1581a37ed78e25fd49439515c3b2
1,CHARACTERIZE,REVIEWED_PLANNER_EFFECT,REVIEWED_02339eda86d486c3,planner_ausc,BC_3SEED,R_BALANCED_P8,0.0,0.0,0.0,0.975,24,6,5000,ec9e3bcc4bb6cbabe76d6d2f612d42a2272f1581a37ed78e25fd49439515c3b2
