budget_to_sufficiency,dataset_id,final_task_loss,method,normalized_measurement_saving,outer_domain,reached,reference_budget,reference_loss,reference_method,specimen_id,stop_index,task,threshold_loss
0.08504176818656457,74t7kcdgkr,0.0013680612457327296,ORACLE_FIELD,0.6598329272537418,74t7kcdgkr,True,0.25,0.0013514919850857472,RANDOM,c8-2,74,FIELD,0.0014190665843400346
0.08032712479827865,74t7kcdgkr,0.0013772573592576254,ORACLE_FIELD,0.6786915008068855,74t7kcdgkr,True,0.25,0.0013766095570061502,RANDOM,c8-3,73,FIELD,0.0014454400348564577
0.09728012372243142,74t7kcdgkr,0.0010568658697152175,ORACLE_FIELD,0.6108795051102743,74t7kcdgkr,True,0.25,0.0010632754281277039,RANDOM,c8-4,80,FIELD,0.0011164391995340892
0.05162721893491124,74t7kcdgkr,0.0007698817634154025,ORACLE_FIELD,0.7934911242603551,74t7kcdgkr,True,0.25,0.000809129878960313,RANDOM,c8-5,67,FIELD,0.0008495863729083286
0.06678657880580957,74t7kcdgkr,0.0013272727048678605,ORACLE_FIELD,0.7328536847767617,74t7kcdgkr,True,0.25,0.0014494673828916573,RANDOM,c8-6,69,FIELD,0.0015219407520362402
0.09768985602813496,74t7kcdgkr,0.0004929922588043123,ORACLE_FIELD,0.6092405758874602,74t7kcdgkr,True,0.25,0.00047526110220189304,RANDOM,c8-6t,78,FIELD,0.0004990241573119877
0.08466759484859032,74t7kcdgkr,0.0011874491675647166,ORACLE_FIELD,0.6613296206056387,74t7kcdgkr,True,0.25,0.001146238434359432,RANDOM,c8-7,79,FIELD,0.0012035503560774037
0.05214932126696833,74t7kcdgkr,0.0009101366628335893,ORACLE_FIELD,0.7914027149321267,74t7kcdgkr,True,0.25,0.0008789287759993423,RANDOM,c8-8,70,FIELD,0.0009228752147993095
0.08568633915814924,74t7kcdgkr,0.0004846018444327852,ORACLE_FIELD,0.657254643367403,74t7kcdgkr,True,0.25,0.00046761455788905097,RANDOM,c8-8t,77,FIELD,0.0004909952857835036
0.08592489241527702,74t7kcdgkr,0.0012742114314179792,ORACLE_FIELD,0.656300430338892,74t7kcdgkr,True,0.25,0.0012533472009117472,RANDOM,c8-9,77,FIELD,0.0013160145609573347
