scan_id,processed_path,processed_sha256,processed_width,processed_height,raw_paths,raw_file_count,pairing_status
10MHz_CW_2020-01-28T200834_1.6mm_2.5J,Processed_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T200834_1.6mm_2.5J.tif,ab01ecf872a319c5a02329246b50dd631ae3e63b6e6c3715858628a925eaa695,560,420,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T200834_1.6mm_2.5J.csv,1,EXACT_STEM
10MHz_CW_2020-01-28T201135_1.6mm_8JA,Processed_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T201135_1.6mm_8JA.tif,4150ab25f231558bbe4327e57c0bce21864abdad70d0d37bfd49906e31809aee,560,420,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T201135_1.6mm_8JA.csv,1,EXACT_STEM
10MHz_CW_2020-01-28T202424_1.6mm_4J,Processed_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T202424_1.6mm_4J.tif,366b833d7028724d31de22a59281d44cde20eff8a1d318d8c50170c2f6f16262,560,420,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T202424_1.6mm_4J.csv,1,EXACT_STEM
10MHz_CW_2020-01-28T204201_1.6mm_12J,Processed_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T204201_1.6mm_12J.tif,b7aba554c3efc06931d2316fba3142b6925fe1d678c99200251d125577473b7c,560,420,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T204201_1.6mm_12J.csv,1,EXACT_STEM
10MHz_CW_2020-01-28T205552_1.6mm_8JB,Processed_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T205552_1.6mm_8JB.tif,555b03472b5dd1811a1c41f9e9c453d8a0d354492b5a30e7d005e27f70e48e7e,560,420,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T205552_1.6mm_8JB.csv,1,EXACT_STEM
10MHz_CW_2020-01-28T212344_1.6mm_12J,Processed_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T212344_1.6mm_12J.tif,392872802cbd7dc4ed857178a35d725af15036e9445dd9271aa03c27417de9ca,560,420,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T212344_1.6mm_12J.csv,1,EXACT_STEM
10MHz_CW_2020-01-28T213907_3.2mm_8JA_T2,Processed_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T213907_3.2mm_8JA_T2.tif,cedf38ea41cb3ca5197f9f27589271dad4067d5a0dfea17193814262153f103b,560,420,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T213907_3.2mm_8JA_T2.csv,1,EXACT_STEM
10MHz_CW_2020-01-28T215158_3.2mm_8JB_T2,Processed_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T215158_3.2mm_8JB_T2.tif,ab6b517c00c9f5e142a37e48bf9bcd509e3f5805a5ca6363de196a99df694a50,560,420,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T215158_3.2mm_8JB_T2.csv,1,EXACT_STEM
10MHz_CW_2020-01-28T221625 _3.2mm_12J_T2,Processed_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T221625 _3.2mm_12J_T2.tif,626c0b6b7f1410d5a6d67766f65081cdf630f1a5444b3d24b50ca653b5feb5e9,560,420,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T221625 _3.2mm_12J_T2.csv,1,EXACT_STEM
10MHz_CW_2020-01-28T222103 _3.2mm_20J_T2,Processed_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T222103 _3.2mm_20J_T2.tif,303c61637da0c99ceb9692de2f55f55029b49211edc14d330b269a99a8ae8540,560,420,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T222103 _3.2mm_20J_T2.csv,1,EXACT_STEM
2020-01-28T144635_W4,Processed_C_Scan_Impact_Damages_On_Diffrent_Specimens/Laminates/2020-01-28T144635_W4.tif,2b46db9cc81cf655a12c042067544ffa6738b288009b1e0efd3e31100e7dc1a1,560,420,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Laminates/2020-01-28T144635_W4.csv,1,EXACT_STEM
2020-01-28T152434_W3,Processed_C_Scan_Impact_Damages_On_Diffrent_Specimens/Laminates/2020-01-28T152434_W3.tif,e8da7079ec25cb959f0c7bb98649ff2ed380dffa77a816d3800cbd37657bea46,560,420,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Laminates/2020-01-28T152434_W3.csv,1,EXACT_STEM
2020-01-28T164149_AB,Processed_C_Scan_Impact_Damages_On_Diffrent_Specimens/Laminates/2020-01-28T164149_AB.tif,72d200216f5ce77bfac9085d857a6495899fc70adb3637850d0658344e11deb4,560,420,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Laminates/2020-01-28T164149_A.csv|Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Laminates/2020-01-28T164149_B.csv,2,EXPLICIT_A_B_COMPONENTS
2020-01-28T185250_SC1,Processed_C_Scan_Impact_Damages_On_Diffrent_Specimens/Laminates/2020-01-28T185250_SC1.tif,ecb940c77d186ae013b96e7d0742fa227fd6d6fba98169bac6ceefacefa97e34,560,420,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Laminates/2020-01-28T185250_SC1.csv,1,EXACT_STEM
2020-01-28T181443_Repaired_ABC_2D_colored,Processed_C_Scan_Impact_Damages_On_Diffrent_Specimens/Repaired_Patch/2020-01-28T181443_Repaired_ABC_2D_colored.tif,715aafac8703514cc0025f9cc7c9291794f17ce23f9c1db79dced07deba77eb7,789,420,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Repaired_Patch/2020-01-28T181443_Repaired_A.csv|Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Repaired_Patch/2020-01-28T181443_Repaired_B.csv|Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Repaired_Patch/2020-01-28T181443_Repaired_C.csv,3,EXPLICIT_A_B_C_COMPONENTS
WP2COMP1E_1.6_12J_T1,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_1.6_Impact_Damage/WP2COMP1E_1.6_12J_T1.png,4738f167fd5813c86a80f33aa35fb304c6fd3b4bd5ceffabecf83591728daa28,1579,466,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_1.6_Impact_Damage/WP2COMP1E_1.6_12J_T1.csv,1,EXACT_STEM
WP2COMP1E_1.6_2.5J_T2,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_1.6_Impact_Damage/WP2COMP1E_1.6_2.5J_T2.png,8ac85d0d3acf6011fa8c666d80bcc8c504eff06256f2f11f94f268305ba386e5,1579,466,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_1.6_Impact_Damage/WP2COMP1E_1.6_2.5J_T2.csv,1,EXACT_STEM
WP2COMP1E_1.6_4J_T4,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_1.6_Impact_Damage/WP2COMP1E_1.6_4J_T4.png,671339c1db79286261a16f6ac7c2f83290b9fc2799dfb1e59c1159e562416d34,1579,466,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_1.6_Impact_Damage/WP2COMP1E_1.6_4J_T4.csv,1,EXACT_STEM
WP2COMP1E_1.6_8JA_T1,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_1.6_Impact_Damage/WP2COMP1E_1.6_8JA_T1.png,e32f08e13ca72815d97988eb19c2179e13e6773f1af9ad5afc30f6691c36c3b2,1579,466,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_1.6_Impact_Damage/WP2COMP1E_1.6_8JA_T1.csv,1,EXACT_STEM
WP2COMP1E_1.6_8JB_T4,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_1.6_Impact_Damage/WP2COMP1E_1.6_8JB_T4.png,52ba0ddae06f41c3dd48d5ca989e9f707e5d5f21a06ebf13c129d736b24035df,1579,466,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_1.6_Impact_Damage/WP2COMP1E_1.6_8JB_T4.csv,1,EXACT_STEM
WP2COMP1E_001_0J_T2,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_3.2_Impact_Damage/WP2COMP1E_001_0J_T2.png,d878408c421a34b155028e9cb2db8511bd57ef6e2771c9ddd88f71eb84d3ace4,1579,411,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_3.2_Impact_Damage/WP2COMP1E_001_0J_T2.csv,1,EXACT_STEM
WP2COMP1E_001_12J_T2,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_3.2_Impact_Damage/WP2COMP1E_001_12J_T2.png,1044a2a83f8621ff4b801c47f458c94076b13bdabc50b41ceefb41567504dde9,1579,411,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_3.2_Impact_Damage/WP2COMP1E_001_12J_T2.csv,1,EXACT_STEM
WP2COMP1E_001_20J_T1,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_3.2_Impact_Damage/WP2COMP1E_001_20J_T1.png,44c40543464d953e0aa808ef0ccafe6390c5d65ee40c2c9824f6dd4df821dd68,1579,411,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_3.2_Impact_Damage/WP2COMP1E_001_20J_T1.csv,1,EXACT_STEM
WP2COMP1E_001_4J_T1,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_3.2_Impact_Damage/WP2COMP1E_001_4J_T1.png,b80c7b245a2c31c186222e2eae0002f5cf19cfe1ab227f54684b3dbcfaa5ecde,1579,411,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_3.2_Impact_Damage/WP2COMP1E_001_4J_T1.csv,1,EXACT_STEM
WP2COMP1E_001_8JA_T2,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_3.2_Impact_Damage/WP2COMP1E_001_8JA_T2.png,33fe4d6ca4bd622ac6c145079c169ad6e6ac2cb4b96e9c80e550a2ad799e8bb5,1579,411,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_3.2_Impact_Damage/WP2COMP1E_001_8JA_T2.csv,1,EXACT_STEM
WP2COMP1E_001_8JB_T2,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_3.2_Impact_Damage/WP2COMP1E_001_8JB_T2.png,f0083c7df15943d2bd63c4f233e5edb4707acda0acc7145ebe812082041c6cad,1579,411,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_3.2_Impact_Damage/WP2COMP1E_001_8JB_T2.csv,1,EXACT_STEM
