raw_id,frequency,category,raw_path,sha256,bytes,data_type,frame_count,waveform_buckets,focal_law_count,tensor_shape,indexed_spatial_locations,physical_spacing_status
10MHz_CW_2020-01-28T200834_1.6mm_2.5J,10MHz,Coupons,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T200834_1.6mm_2.5J.csv,0b17c68cea7df29d0ced60ae9463b08449e43fe2cbc8bdefe2ff30b21b712251,24747994,Amplitude,100,504,57,100x504x57,5700,coordinate vector and spacing absent
10MHz_CW_2020-01-28T201135_1.6mm_8JA,10MHz,Coupons,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T201135_1.6mm_8JA.csv,e7bf5e4305272e3fbc1e945ffa90e7d761623d3e7fdb5d49062fcc8744217fcf,24864599,Amplitude,100,504,57,100x504x57,5700,coordinate vector and spacing absent
10MHz_CW_2020-01-28T202424_1.6mm_4J,10MHz,Coupons,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T202424_1.6mm_4J.csv,c1e0e7be24f582d404b6a7e63585a54600680fb17d9c1328a6f6a487fc371b3c,24723095,Amplitude,100,504,57,100x504x57,5700,coordinate vector and spacing absent
10MHz_CW_2020-01-28T204201_1.6mm_12J,10MHz,Coupons,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T204201_1.6mm_12J.csv,f3d3d88fc5b3584c628025f3d6a3e6817c7ef4c6dae3f796d525570300fcd433,24992040,Amplitude,100,504,57,100x504x57,5700,coordinate vector and spacing absent
10MHz_CW_2020-01-28T205552_1.6mm_8JB,10MHz,Coupons,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T205552_1.6mm_8JB.csv,bd4a3b16d26f781dde64715e0cd3bffa545499fd3858cadd06b60bd23c1df6bd,25097940,Amplitude,100,504,57,100x504x57,5700,coordinate vector and spacing absent
10MHz_CW_2020-01-28T212344_1.6mm_12J,10MHz,Coupons,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T212344_1.6mm_12J.csv,44c98be0fb0ceb5e28d4e38f9eccb4d619fd079b5ce6ebff68b8436768ba23a4,25010253,Amplitude,100,504,57,100x504x57,5700,coordinate vector and spacing absent
10MHz_CW_2020-01-28T213907_3.2mm_8JA_T2,10MHz,Coupons,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T213907_3.2mm_8JA_T2.csv,07f7e7d39404a58071598aac44a996cbbeace7c18212199a5910f65568b40ed1,24420819,Amplitude,100,504,57,100x504x57,5700,coordinate vector and spacing absent
10MHz_CW_2020-01-28T215158_3.2mm_8JB_T2,10MHz,Coupons,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T215158_3.2mm_8JB_T2.csv,28a3c7b0645c6b36ffe189bb8d5c542ccf615306442cc01d47c54cc13e30aefe,24440030,Amplitude,100,504,57,100x504x57,5700,coordinate vector and spacing absent
10MHz_CW_2020-01-28T221625 _3.2mm_12J_T2,10MHz,Coupons,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T221625 _3.2mm_12J_T2.csv,060869c2c3859ed02a3453bf75709dfed5cc1b8c6e2fa59aa9194494cf7fa61c,24399230,Amplitude,100,504,57,100x504x57,5700,coordinate vector and spacing absent
10MHz_CW_2020-01-28T222103 _3.2mm_20J_T2,10MHz,Coupons,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Coupons/10MHz_CW_2020-01-28T222103 _3.2mm_20J_T2.csv,74a350e0bb4b521db5b70c7cf8d88cdedfb576a5dac58ec1a09c5e82dbac31bb,24532707,Amplitude,100,504,57,100x504x57,5700,coordinate vector and spacing absent
2020-01-28T144635_W4,10MHz,Laminates,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Laminates/2020-01-28T144635_W4.csv,f46daf2e5e1d7bd6e888d189df1a1a5739fb5cffb426748a970e9a38b9cb0c19,49648970,Amplitude,200,504,57,200x504x57,11400,coordinate vector and spacing absent
2020-01-28T152434_W3,10MHz,Laminates,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Laminates/2020-01-28T152434_W3.csv,62e552c255eca462a0b875bf35c7e4f1c05fcac035e2d5b24c551969e504e473,49884932,Amplitude,200,504,57,200x504x57,11400,coordinate vector and spacing absent
2020-01-28T164149_A,10MHz,Laminates,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Laminates/2020-01-28T164149_A.csv,6aa03f0502e70d2da1f3ee4897dd3d2fcb55920544534b3851e5e1343da9af25,24659507,Amplitude,100,504,57,100x504x57,5700,coordinate vector and spacing absent
2020-01-28T164149_B,10MHz,Laminates,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Laminates/2020-01-28T164149_B.csv,d47598741f9383944860b88b819cf8d3f3c266cb5ad3b17f4073507365e621f6,24502704,Amplitude,100,504,57,100x504x57,5700,coordinate vector and spacing absent
2020-01-28T185250_SC1,10MHz,Laminates,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Laminates/2020-01-28T185250_SC1.csv,1b4e76cd1c2e792b34ac8f97c4047545e29c5153c439adfee5367a3399a96a84,48811337,Amplitude,200,504,57,200x504x57,11400,coordinate vector and spacing absent
2020-01-28T181443_Repaired_A,10MHz,Repaired_Patch,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Repaired_Patch/2020-01-28T181443_Repaired_A.csv,bed57be46fcd8d505258b3bdc4f9c53c30e818c23f6754c6ecef82f5abd8c493,49203250,Amplitude,200,504,57,200x504x57,11400,coordinate vector and spacing absent
2020-01-28T181443_Repaired_B,10MHz,Repaired_Patch,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Repaired_Patch/2020-01-28T181443_Repaired_B.csv,697cdc1f4a07e8a20a0e639ebfd1866913c37580b98575d0862f9b92daab6d3e,49436621,Amplitude,200,504,57,200x504x57,11400,coordinate vector and spacing absent
2020-01-28T181443_Repaired_C,10MHz,Repaired_Patch,Raw_CSV_C_Scan_Impact_Damages_On_Diffrent_Specimens/Repaired_Patch/2020-01-28T181443_Repaired_C.csv,2be72bcbda0b572447586a6232bc1e1761110b228c25fa1a3c3d9038524fefdc,49223848,Amplitude,200,504,57,200x504x57,11400,coordinate vector and spacing absent
WP2COMP1E_1.6_12J_T1,5MHz,Coupons,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_1.6_Impact_Damage/WP2COMP1E_1.6_12J_T1.csv,f15dd093e5b3cf0976033c00258d471d539c5904914e89068c1ffa9b4df47000,37106342,Amplitude,150,504,57,150x504x57,8550,150 mm scan stated; exact coordinate vector absent
WP2COMP1E_1.6_2.5J_T2,5MHz,Coupons,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_1.6_Impact_Damage/WP2COMP1E_1.6_2.5J_T2.csv,174316b6845488e84013bb1153313d0a87444ec01967004d51582bd88a2d8e07,37129990,Amplitude,150,504,57,150x504x57,8550,150 mm scan stated; exact coordinate vector absent
WP2COMP1E_1.6_4J_T4,5MHz,Coupons,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_1.6_Impact_Damage/WP2COMP1E_1.6_4J_T4.csv,75638dc7e57a51051d05768035f3483d6cb69a9f27199608a401c108fac59572,37063360,Amplitude,150,504,57,150x504x57,8550,150 mm scan stated; exact coordinate vector absent
WP2COMP1E_1.6_8JA_T1,5MHz,Coupons,Wheel_ProbeV2_5MHz__C_Scan_Impact_Damages_On_Diffrent_Coupons/2018-05-09_1.6_Impact_Damage/WP2COMP1E_1.6_8JA_T1.csv,b92a62267516d242665a70c6011a4208f4020c34fa84e06a55229e461002c11d,37118662,Amplitude,150,504,57,150x504x57,8550,150 mm scan stated; exact coordinate vector absent
