outer_domain,method,specimen_count,spearman,ndcg_5,ndcg_10,recall_5,recall_10,regret_1,mean_budgeted_regret
74t7kcdgkr,global_mechanical,45,0.007376239178612707,0.5965674254887581,0.6524108529996085,0.18222222222222226,0.24000000000000002,0.015942248662032928,0.04621460169927116
74t7kcdgkr,o1_candidate_mlp_huber,45,0.04231474476184571,0.5953693318193446,0.6573223471207603,0.14222222222222222,0.2111111111111111,0.012254671975961919,0.0443122412166483
74t7kcdgkr,o1_candidate_ridge,45,-0.024066989375361496,0.6637503441935151,0.704150985852181,0.3111111111111111,0.2866666666666667,0.008715520240255747,0.04602678641568996
74t7kcdgkr,o2_global_candidate,45,-0.023627544713340897,0.6507472989801792,0.6986148096539504,0.2977777777777778,0.2911111111111111,0.009234168553678203,0.04622403970754269
74t7kcdgkr,o3_a5_mlp_huber,45,-0.020385381468293953,0.5715465782378779,0.6205372708742076,0.08888888888888889,0.1511111111111111,0.014844027913060177,0.04999858117949815
74t7kcdgkr,o3_a5_ridge,45,-0.023647898488565383,0.6576336742591028,0.7035402271200869,0.3022222222222223,0.29555555555555557,0.00915000133513136,0.046492891030926596
74t7kcdgkr,observed_uncertainty,45,-0.026936202038057595,0.6188713272888346,0.6645206340276957,0.23555555555555555,0.24666666666666665,0.011894662415271028,0.04690794694480083
74t7kcdgkr,random_median,45,-0.0018925751792239743,0.5549730944232873,0.6095659502704274,0.0,0.1366666666666667,0.01503867360184587,0.049338482444133705
cgtnjyggtm,global_mechanical,49,-0.03374168348658144,0.5797278806448816,0.6208889190479646,0.036734693877551024,0.10204081632653061,0.025797932916442154,0.09653959924534973
cgtnjyggtm,o1_candidate_mlp_huber,49,0.012708380055318826,0.6037658586163024,0.6524242166963926,0.1183673469387755,0.1795918367346939,0.02460148731201876,0.09637573527032704
cgtnjyggtm,o1_candidate_ridge,49,-0.0547852657546535,0.5807077318658548,0.6270502721604428,0.028571428571428574,0.10612244897959185,0.02548893742697793,0.09554922889384836
cgtnjyggtm,o2_global_candidate,49,0.021634148164760406,0.6115181414069447,0.6682958678930917,0.15918367346938778,0.21428571428571427,0.028475264205112837,0.09032119274299646
cgtnjyggtm,o3_a5_mlp_huber,49,0.03441261119832548,0.6100855424492955,0.6555301762729806,0.061224489795918366,0.1163265306122449,0.02510007362112366,0.0895867747704359
cgtnjyggtm,o3_a5_ridge,49,-0.058133363235404044,0.5807513805073685,0.6272941415948738,0.028571428571428574,0.10816326530612244,0.025479849880605344,0.09611123572940825
cgtnjyggtm,observed_uncertainty,49,0.015740636914106296,0.6226841822381549,0.6757353489234718,0.21632653061224488,0.22448979591836735,0.029538806801300155,0.09682892330458567
cgtnjyggtm,random_median,49,-0.0036382410106899896,0.5872601865947132,0.6380771743232717,0.0,0.13571428571428573,0.024943870788422095,0.09590274737594415
w68dtmpfyf,global_mechanical,43,0.0330948121645796,0.6870528918783186,0.7208390678759536,0.12093023255813953,0.16511627906976745,0.017450789812021875,0.07701541498082379
w68dtmpfyf,o1_candidate_mlp_huber,43,0.05301984836868556,0.6930546064398077,0.7368935978368668,0.08372093023255814,0.1558139534883721,0.016328624906624168,0.06897981054014196
w68dtmpfyf,o1_candidate_ridge,43,-0.01594790868046682,0.6839038959187619,0.7301511133464149,0.10232558139534885,0.1558139534883721,0.016027272811222546,0.0722361893472283
w68dtmpfyf,o2_global_candidate,43,-0.08438218757986199,0.6025685495952948,0.6706376496337911,0.25116279069767444,0.2302325581395349,0.019863921932404084,0.09582468548663826
w68dtmpfyf,o3_a5_mlp_huber,43,0.04088295425504728,0.6937009199899716,0.7352170807038197,0.04186046511627907,0.11860465116279072,0.0163519944578071,0.07655792189367679
w68dtmpfyf,o3_a5_ridge,43,-0.009397095152909107,0.6920303090116722,0.7320913700871001,0.08372093023255814,0.1511627906976744,0.016027272811222546,0.07211855587888202
w68dtmpfyf,observed_uncertainty,43,-0.022291081012011247,0.6138261841333302,0.6825682766425398,0.16744186046511628,0.19069767441860463,0.02374364857767982,0.08991344804957523
w68dtmpfyf,random_median,43,-0.0015503875968992248,0.6848209005290788,0.7268150711351191,0.0,0.14418604651162792,0.016346330910892198,0.0793932854366155
xcmzfsbd9t,global_mechanical,59,-0.0438174400113886,0.6213091429639898,0.6634128218956605,0.10847457627118645,0.1593220338983051,0.02424401364961991,0.10875936679901141
xcmzfsbd9t,o1_candidate_mlp_huber,59,0.040200954203581045,0.6104744381521671,0.6659191374987073,0.17627118644067796,0.22033898305084745,0.02713437311980436,0.10474341560704456
xcmzfsbd9t,o1_candidate_ridge,59,0.03967287169783003,0.6267835953948975,0.6765310896975716,0.10847457627118645,0.16610169491525426,0.024903732896065983,0.10971017951899047
xcmzfsbd9t,o2_global_candidate,59,-0.08192181245686218,0.6074725696879327,0.655539061219304,0.28135593220338984,0.27796610169491526,0.02924916106552666,0.12161573999400133
xcmzfsbd9t,o3_a5_mlp_huber,59,-0.00898431894986851,0.6203885040165262,0.667151264315232,0.1016949152542373,0.13728813559322034,0.02436236685146001,0.10661027881343438
xcmzfsbd9t,o3_a5_ridge,59,0.010642407100324993,0.5952465481278151,0.6620195330167993,0.16271186440677965,0.2033898305084746,0.030749284536092707,0.11156681564940682
xcmzfsbd9t,observed_uncertainty,59,-0.010938227042412471,0.61100026588722,0.6710155363356105,0.21016949152542375,0.2711864406779661,0.028976284867385606,0.11174124662617956
xcmzfsbd9t,random_median,59,-0.0018146294560116671,0.621434079853665,0.6692562339514049,0.0,0.138135593220339,0.024206572515009975,0.10766692798079039
yfxyg8jm46,global_mechanical,42,-0.06794871794871794,0.5447117391504437,0.5949247826934597,0.1285714285714286,0.12380952380952381,0.02351671205937262,0.09088943676003824
yfxyg8jm46,o1_candidate_mlp_huber,42,-0.02259833420547706,0.5423138928738768,0.6119923711445574,0.09047619047619049,0.1523809523809524,0.024106365971613267,0.08568451790891753
yfxyg8jm46,o1_candidate_ridge,42,0.004335644514215942,0.5521443754355677,0.6057939206255674,0.023809523809523808,0.11428571428571428,0.022391515686294477,0.08963576130667704
yfxyg8jm46,o2_global_candidate,42,0.04644601430315715,0.6798926962780433,0.7185728080748858,0.4,0.3642857142857143,0.018189548720500676,0.07231972520616121
yfxyg8jm46,o3_a5_mlp_huber,42,-0.02764150532007674,0.5515482365036212,0.6034824375040632,0.08095238095238096,0.11428571428571428,0.023242712414534086,0.0869957988789505
yfxyg8jm46,o3_a5_ridge,42,0.0233189429618001,0.5522943292105893,0.608582330300421,0.01904761904761905,0.12619047619047621,0.022428794038079205,0.08749647446218865
yfxyg8jm46,observed_uncertainty,42,0.008219954648526076,0.6551409416192129,0.6941507175000753,0.30952380952380953,0.27142857142857146,0.019960385196454575,0.07711546466800268
yfxyg8jm46,random_median,42,0.006949895342752485,0.5504513909792544,0.6081534985609897,0.0,0.1488095238095238,0.02272317113924081,0.08364213118473846
ykhs7s2dck,global_mechanical,38,0.014938789280894543,0.6108763038274645,0.6731450377685682,0.08421052631578947,0.17105263157894737,0.01396520091155471,0.06014312263231748
ykhs7s2dck,o1_candidate_mlp_huber,38,-0.02416738962791594,0.5854989702664636,0.6419555456780119,0.08421052631578947,0.16052631578947368,0.015374741843167672,0.06170773443190569
ykhs7s2dck,o1_candidate_ridge,38,-0.0037063813379602808,0.6026156737241293,0.6447856020327114,0.07894736842105263,0.12105263157894738,0.015118965628737102,0.06266919435156239
