outer_domain,nominal_checkpoint,specimen_count,mean_exact_acquired_cost,mean_effective_budget,real_mae,positions_only_mae,shuffled_mae,static_mae,reconstruction_mae,full_field_mae,real_minus_static_mae,real_minus_positions_only_mae,real_minus_shuffled_mae,real_minus_reconstruction_mae,real_change_from_initial_mae,full_field_utility_recovery_fraction
74t7kcdgkr,0.03125,45,10429.977777777778,0.031185615457384668,0.09970848883148571,0.1392183800910449,0.11831603216121171,0.14439115757880003,0.0592205824612365,0.052003607090763716,-0.044682668747314316,-0.039509891259559185,-0.018607543329726,0.04048790637024921,0.0,0.4836438298372298
74t7kcdgkr,0.0625,45,20229.65777777778,0.060460019506402694,0.10008813098904201,0.13865705471771494,0.11847180131083043,0.14439115757880003,0.05578144900729994,0.052003607090763716,-0.044303026589758016,-0.03856892372867293,-0.01838367032178842,0.04430668198174207,0.0003796421575563008,0.479534594820706
74t7kcdgkr,0.09375,45,30652.244444444445,0.09171584121061985,0.10023255137289508,0.1383002138464973,0.11860757736155286,0.14439115757880003,0.05534537630654597,0.052003607090763716,-0.04415860620590495,-0.038067662473602215,-0.018375025988657784,0.04488717506634911,0.0005240625414093675,0.47797139303550695
74t7kcdgkr,0.125,45,41327.65333333333,0.12354392569432286,0.10024650151118383,0.13804383988941404,0.1187352425810963,0.14439115757880003,0.05660310786301231,0.052003607090763716,-0.044144656067616195,-0.03779733837823021,-0.018488741069912468,0.043643393648171526,0.0005380126796981216,0.4778203971684766
74t7kcdgkr,0.1875,45,62267.79555555555,0.18598780152873015,0.10005266486985906,0.13768131517612495,0.11896738517855342,0.14439115757880003,0.058242693648186794,0.052003607090763716,-0.04433849270894097,-0.03762865030626589,-0.018914720308694358,0.041809971221672265,0.00034417603837334776,0.47991847900202267
74t7kcdgkr,0.25,45,82996.47111111111,0.24824579388923082,0.09973740132018537,0.13741723001048645,0.11920451620751318,0.14439115757880003,0.06210016846704744,0.052003607090763716,-0.04465375625861466,-0.03767982869030108,-0.019467114887327816,0.03763723285313793,0.000028912488699656125,0.4833308819503454
cgtnjyggtm,0.03125,49,8431.718367346939,0.01853328578381567,0.13997762129600333,0.11665559513883494,0.12109376552444065,0.12591999544659294,0.11647974773711647,0.12486849958988919,0.014057625849410393,0.023322026157168385,0.01888385577156268,0.023497873558886856,0.0,-13.369169036460617
cgtnjyggtm,0.0625,49,27786.395918367343,0.06107571363527277,0.14003861098781958,0.11660128197625722,0.12122240836169941,0.12591999544659294,0.11239375945292474,0.12486849958988919,0.014118615541226648,0.02343732901156237,0.018816202626120174,0.02764485153489485,0.000060989691816254465,-13.427171824990328
cgtnjyggtm,0.09375,49,41713.208163265306,0.09168745612323399,0.1401214318265219,0.11650409315097773,0.12120723039570618,0.12591999544659294,0.1128963225329608,0.12486849958988919,0.014201436379928961,0.023617338675544164,0.018914201430815722,0.027225109293561103,0.00014381053051856774,-13.505936603923402
cgtnjyggtm,0.125,49,56042.477551020405,0.12318381701510146,0.14021714392729387,0.11638497455465391,0.12119351919292348,0.12591999544659294,0.11277951820645256,0.12486849958988919,0.014297148480700933,0.02383216937263996,0.019023624734370387,0.02743762572084131,0.00023952263129053963,-13.596961309500475
cgtnjyggtm,0.1875,49,84528.77551020408,0.185797945950553,0.14041364813644894,0.11614693258598555,0.12112391236729422,0.12591999544659294,0.11454695821999009,0.12486849958988919,0.014493652689856001,0.02426671555046339,0.019289735769154714,0.02586668991645885,0.000436026840445608,-13.783841940462802
cgtnjyggtm,0.25,49,112690.2163265306,0.24769802467640537,0.1406174458820151,0.11594615057050854,0.1210239178742976,0.12591999544659294,0.11667179243423986,0.12486849958988919,0.014697450435422171,0.024671295311506566,0.019593528007717506,0.023945653447775245,0.0006398245860117779,-13.977658914887256
w68dtmpfyf,0.03125,43,8433.990697674419,0.018538280465269633,0.08965034747296498,0.048498912082159035,0.09189905875952846,0.07899111350274729,0.09938503201157443,0.09660573834513045,0.010659233970217688,0.04115143539080594,-0.0022487112865634817,-0.009734684538609456,0.0,0.6051354522504582
w68dtmpfyf,0.0625,43,27782.46046511628,0.06106706333688598,0.09006072678651392,0.048386853383730784,0.09143726247854225,0.07899111350274729,0.10286585148814928,0.09660573834513045,0.011069613283766627,0.04167387340278313,-0.0013765356920283356,-0.012805124701635362,0.0004103793135489392,0.6284330993602343
w68dtmpfyf,0.09375,43,41688.12558139535,0.09163232351114484,0.0903027499651974,0.04836594673195283,0.0911715230488991,0.07899111350274729,0.10475004700322733,0.09660573834513045,0.011311636462450106,0.041936803233244564,-0.0008687730837017016,-0.014447297038029938,0.0006524024922324179,0.6421729990656847
w68dtmpfyf,0.125,43,56016.31627906977,0.12312631339503191,0.09054885635850235,0.048358007936252556,0.0909558590955942,0.07899111350274729,0.10295982355424874,0.09660573834513045,0.01155774285575506,0.042190848422249794,-0.0004070027370918494,-0.012410967195746386,0.0008985088855373718,0.6561447069792582
w68dtmpfyf,0.1875,43,84458.2976744186,0.18564303258472054,0.09101106291988036,0.048387682342637676,0.09052690221107007,0.07899111350274729,0.10243786644179327,0.09660573834513045,0.012019949417133066,0.04262338057724268,0.0004841607088102856,-0.011426803521912915,0.0013607154469153782,0.6823846391670773
w68dtmpfyf,0.25,43,112612.47906976743,0.24752715478572906,0.091468179000354,0.048439001054308886,0.0900943851370271,0.07899111350274729,0.10740161650511391,0.09660573834513045,0.012477065497606715,0.04302917794604512,0.0013737938633269081,-0.01593343750475991,0.0018178315273890272,0.7083355796250179
xcmzfsbd9t,0.03125,59,6307.250847457627,0.018531684524186076,0.11962483242680703,0.08894305015955413,0.15731341856691827,0.14789499226556352,0.06519158440550604,0.0751151275587624,-0.028270159838756484,0.030681782267252905,-0.03768858614011124,0.05443324802130099,0.0,0.3884338058698631
xcmzfsbd9t,0.0625,59,20806.772881355933,0.06127443803618907,0.11923023767114488,0.0887447798410965,0.15730552930379552,0.14789499226556352,0.0730982105045383,0.0751151275587624,-0.02866475459441864,0.030485457830048385,-0.03807529163265064,0.04613202716660658,-0.00039459475566215596,0.3938555630722405
xcmzfsbd9t,0.09375,59,31217.352542372882,0.09191314205510775,0.11889257700876905,0.08865667400186548,0.15714674205944443,0.14789499226556352,0.07534111230341359,0.0751151275587624,-0.029002415256794464,0.03023590300690357,-0.03825416505067537,0.04355146470535547,-0.0007322554180379803,0.3984950421882861
xcmzfsbd9t,0.125,59,41955.908474576274,0.1233537385865288,0.11848056002693533,0.08859230610425778,0.15693819660923142,0.14789499226556352,0.07510775035880507,0.0751151275587624,-0.02941443223862819,0.02988825392267755,-0.03845763658229609,0.04337280966813026,-0.001144272399871707,0.4041561818935269
xcmzfsbd9t,0.1875,59,63237.27118644068,0.1858372278869011,0.11755475498099215,0.08849637841800455,0.15642067293886255,0.14789499226556352,0.07361119301316994,0.0751151275587624,-0.030340237284571372,0.029058376562987598,-0.03886591795787041,0.0439435619678222,-0.0020700774458148885,0.4168768024892487
xcmzfsbd9t,0.25,59,84337.2847457627,0.2480426742444471,0.11659719564173607,0.08843117382230575,0.15584568107573335,0.14789499226556352,0.0758303011210222,0.0751151275587624,-0.03129779662382745,0.028166021819430315,-0.03924848543399728,0.04076689452071387,-0.003027636785070967,0.4300337291078083
yfxyg8jm46,0.03125,42,8430.97619047619,0.018531654446590155,0.15079508790188748,0.14338007969277564,0.13755870920349939,0.14629592133716765,0.12946624392559178,0.12743074387350148,0.004499166564719825,0.00741500820911184,0.01323637869838809,0.021328843976295697,0.0,-0.23849055082493129
yfxyg8jm46,0.0625,42,27785.699999999997,0.061074183976261125,0.1501136372816325,0.14271728604247155,0.13737999347191637,0.14629592133716765,0.11316869025440084,0.12743074387350148,0.003817715944464839,0.0073963512391609365,0.012733643809716116,0.03694494702723165,-0.0006814506202549864,-0.20236840876888956
yfxyg8jm46,0.09375,42,41720.514285714286,0.09170351529995446,0.14986588178976162,0.14265914641178712,0.1373213131341878,0.14629592133716765,0.10995251224040345,0.12743074387350148,0.003569960452593973,0.007206735377974505,0.012544568655573823,0.039913369549358174,-0.0009292061121258521,-0.18923545561496158
yfxyg8jm46,0.125,42,56013.54761904762,0.12312022775919906,0.14967728130159333,0.1426864158895887,0.13730216819272595,0.14629592133716765,0.1093083582427503,0.12743074387350148,0.0033813599644256787,0.006990865412004638,0.01237511310886738,0.04036892305884303,-0.0011178066002941467,-0.17923817419359492
yfxyg8jm46,0.1875,42,84506.80476190476,0.18574965328476706,0.14937052422106337,0.14288748392163755,0.1373891160592014,0.14629592133716765,0.10830850921372462,0.12743074387350148,0.0030746028838957162,0.006483040299425813,0.011981408161861967,0.04106201500733875,-0.0014245636808241091,-0.16297768148841002
yfxyg8jm46,0.25,42,112596.85238095238,0.24749280664018547,0.149158144365638,0.14324509230298052,0.13749763594059147,0.14629592133716765,0.11257470565052319,0.12743074387350148,0.002862223028470362,0.005913052062657492,0.01166050842504654,0.036583438715114824,-0.0016369435362494633,-0.15171991008210378
ykhs7s2dck,0.03125,38,8433.768421052631,0.01853779189153233,0.15238773534674008,0.10803874438024497,0.14662033565058805,0.18016138078469449,0.06460544901604828,0.06179111148763879,-0.02777364543795441,0.04434899096649511,0.005767399696152031,0.0877822863306918,0.0,0.2346336255116152
ykhs7s2dck,0.0625,38,27746.24736842105,0.06098746536635026,0.15206760332716696,0.10848239197339563,0.14833530883919122,0.18016138078469449,0.06366331800967741,0.06179111148763879,-0.02809377745752753,0.04358521135377133,0.0037322944879757403,0.08840428531748955,-0.00032013201957312165,0.23733812235422808
