specimen_id,dataset_id,first_learner,second_learner,pair,candidate_count,topk_count,spearman,topk_overlap,topk_jaccard,best_action_agreement,normalized_topk_centroid_distance,topk_mean_radial_difference
c8-10t,74t7kcdgkr,huber,shallow_mlp,huber__shallow_mlp,64,7,-0.371474358974359,0.142857142857143,0.076923076923077,false,0.187599758273982,0.438120966070056
c8-10t,74t7kcdgkr,ridge,huber,ridge__huber,64,7,0.97312271062271,1,1,true,0,0
c8-10t,74t7kcdgkr,ridge,shallow_mlp,ridge__shallow_mlp,64,7,-0.292490842490842,0.142857142857143,0.076923076923077,false,0.187599758273982,0.438120966070056
c8-11,74t7kcdgkr,huber,shallow_mlp,huber__shallow_mlp,64,7,-0.227260223730057,0.142857142857143,0.076923076923077,false,0.206616905421598,0.350215708596697
c8-11,74t7kcdgkr,ridge,huber,ridge__huber,64,7,0.912800293416468,0.857142857142857,0.75,true,0.01443075063646,0.014236688227831
c8-11,74t7kcdgkr,ridge,shallow_mlp,ridge__shallow_mlp,64,7,-0.180726205758298,0.142857142857143,0.076923076923077,false,0.192530227184829,0.364452396824528
c8-12,74t7kcdgkr,huber,shallow_mlp,huber__shallow_mlp,64,7,0.155128205128205,0.571428571428571,0.4,false,0.116344431132565,0.066145781170091
c8-12,74t7kcdgkr,ridge,huber,ridge__huber,64,7,0.953891941391941,1,1,true,0,0
c8-12,74t7kcdgkr,ridge,shallow_mlp,ridge__shallow_mlp,64,7,0.156456043956044,0.571428571428571,0.4,false,0.116344431132565,0.066145781170091
c8-12t,74t7kcdgkr,huber,shallow_mlp,huber__shallow_mlp,64,7,0.069505494505494,0.428571428571429,0.272727272727273,false,0.224025493878573,0.114588473323786
c8-12t,74t7kcdgkr,ridge,huber,ridge__huber,64,7,0.95224358974359,0.857142857142857,0.75,true,0.087778829255537,0.007860506268051
c8-12t,74t7kcdgkr,ridge,shallow_mlp,ridge__shallow_mlp,64,7,0.011675824175824,0.571428571428571,0.4,false,0.136902121071416,0.122448979591837
c8-13,74t7kcdgkr,huber,shallow_mlp,huber__shallow_mlp,64,7,0.467201283079391,0.428571428571429,0.272727272727273,false,0.204081632653061,0.10603520167715
c8-13,74t7kcdgkr,ridge,huber,ridge__huber,64,7,0.785937755512332,0.428571428571429,0.272727272727273,false,0.102040816326531,0.015276619464338
c8-13,74t7kcdgkr,ridge,shallow_mlp,ridge__shallow_mlp,64,7,0.30086285806164,0.142857142857143,0.076923076923077,false,0.228170201785693,0.121311821141488
c8-14,74t7kcdgkr,huber,shallow_mlp,huber__shallow_mlp,64,7,0.32051282051282,0.285714285714286,0.166666666666667,true,0.084145012767707,0.187667854738375
c8-14,74t7kcdgkr,ridge,huber,ridge__huber,64,7,0.922023809523809,0.714285714285714,0.555555555555556,true,0.032268139389473,0.040816326530612
c8-14,74t7kcdgkr,ridge,shallow_mlp,ridge__shallow_mlp,64,7,0.369551282051282,0.285714285714286,0.166666666666667,true,0.112707765481503,0.146851528207762
c8-15,74t7kcdgkr,huber,shallow_mlp,huber__shallow_mlp,64,7,-0.441849816849817,0,0,false,0.271129188889519,0.139917927963264
c8-15,74t7kcdgkr,ridge,huber,ridge__huber,64,7,0.163369963369963,0.142857142857143,0.076923076923077,false,0.225415530963005,0.029415425157867
c8-15,74t7kcdgkr,ridge,shallow_mlp,ridge__shallow_mlp,64,7,-0.188873626373626,0,0,false,0.393882838073853,0.169333353121131
c8-16,74t7kcdgkr,huber,shallow_mlp,huber__shallow_mlp,64,7,0.215202640748212,0.428571428571429,0.272727272727273,true,0.274563756062729,0.07263728700696
c8-16,74t7kcdgkr,ridge,huber,ridge__huber,64,7,0.884604804694663,0.714285714285714,0.555555555555556,true,0.136139429225779,0.028458137235429
c8-16,74t7kcdgkr,ridge,shallow_mlp,ridge__shallow_mlp,64,7,0.06785255822483,0.428571428571429,0.272727272727273,true,0.360768765911504,0.044179149771531
c8-17,74t7kcdgkr,huber,shallow_mlp,huber__shallow_mlp,64,7,0.230723443223443,0.142857142857143,0.076923076923077,false,0.356997054786447,0.055351605512652
c8-17,74t7kcdgkr,ridge,huber,ridge__huber,64,7,0.936858974358974,0.714285714285714,0.555555555555556,false,0.173769248631902,0
c8-17,74t7kcdgkr,ridge,shallow_mlp,ridge__shallow_mlp,64,7,0.057142857142857,0,0,false,0.529236835913875,0.055351605512652
c8-18,74t7kcdgkr,huber,shallow_mlp,huber__shallow_mlp,64,7,0.470100732600733,0.857142857142857,0.75,false,0.072153753182301,0.032955820262561
c8-18,74t7kcdgkr,ridge,huber,ridge__huber,64,7,0.921794871794872,1,1,false,0,0
c8-18,74t7kcdgkr,ridge,shallow_mlp,ridge__shallow_mlp,64,7,0.445833333333333,0.857142857142857,0.75,false,0.072153753182301,0.032955820262561
c8-19,74t7kcdgkr,huber,shallow_mlp,huber__shallow_mlp,64,7,-0.473809523809524,0.142857142857143,0.076923076923077,false,0.192530227184829,0.011389058501721
c8-19,74t7kcdgkr,ridge,huber,ridge__huber,64,7,0.928754578754579,0.714285714285714,0.555555555555556,false,0.040816326530612,0.104260280292149
c8-19,74t7kcdgkr,ridge,shallow_mlp,ridge__shallow_mlp,64,7,-0.346840659340659,0.285714285714286,0.166666666666667,false,0.216941751280299,0.092871221790427
c8-2,74t7kcdgkr,huber,shallow_mlp,huber__shallow_mlp,64,7,0.585119047619048,0.714285714285714,0.555555555555556,false,0.040816326530612,0.027948638733963
c8-2,74t7kcdgkr,ridge,huber,ridge__huber,64,7,0.953205128205128,1,1,true,0,0
c8-2,74t7kcdgkr,ridge,shallow_mlp,ridge__shallow_mlp,64,7,0.464194139194139,0.714285714285714,0.555555555555556,false,0.040816326530612,0.027948638733963
c8-20,74t7kcdgkr,huber,shallow_mlp,huber__shallow_mlp,64,7,-0.783104395604396,0,0,false,0.072153753182301,0.082580493318354
c8-20,74t7kcdgkr,ridge,huber,ridge__huber,64,7,0.967307692307692,0.857142857142857,0.75,true,0.020408163265306,0
c8-20,74t7kcdgkr,ridge,shallow_mlp,ridge__shallow_mlp,64,7,-0.748809523809524,0,0,false,0.072153753182301,0.082580493318354
c8-21,74t7kcdgkr,huber,shallow_mlp,huber__shallow_mlp,64,7,-0.093543956043956,0,0,false,0.077711970467999,0.143177173656537
c8-21,74t7kcdgkr,ridge,huber,ridge__huber,64,7,0.961904761904762,0.857142857142857,0.75,true,0.073582679091102,0.064267282237443
c8-21,74t7kcdgkr,ridge,shallow_mlp,ridge__shallow_mlp,64,7,-0.110027472527473,0,0,false,0.145027249015836,0.20744445589398
c8-22,74t7kcdgkr,huber,shallow_mlp,huber__shallow_mlp,64,7,0.320787545787546,0.285714285714286,0.166666666666667,false,0.136139429225779,0.146128380930293
c8-22,74t7kcdgkr,ridge,huber,ridge__huber,64,7,0.944688644688645,1,1,false,0,0
c8-22,74t7kcdgkr,ridge,shallow_mlp,ridge__shallow_mlp,64,7,0.236767399267399,0.285714285714286,0.166666666666667,false,0.136139429225779,0.146128380930293
c8-23,74t7kcdgkr,huber,shallow_mlp,huber__shallow_mlp,64,7,0.553205128205128,0.142857142857143,0.076923076923077,false,0.255306040881567,0.062679380381526
c8-23,74t7kcdgkr,ridge,huber,ridge__huber,64,7,0.905815018315018,0.714285714285714,0.555555555555556,true,0.188153968516181,0.119320296995886
