nominal_checkpoint,mean_exact_acquired_cost,mean_effective_budget,control_mode,real_equal_domain_mae,control_equal_domain_mae,equal_domain_real_minus_control_mae,improved_domain_count,domain_count,worst_domain_effect,sign_convention,ci95_lower,ci95_upper,fraction_below_zero
0.03125,8411.28038363093,0.020643052094796423,positions_only,0.1253573522126481,0.10745579359076894,0.017901558621879168,1,6,0.04434899096649511,negative_favors_real,0.009319065889861637,0.026232551314685264,0.0
0.0625,25356.205735173065,0.06098981397622697,positions_only,0.12526649117388663,0.10726494132244442,0.018001549851442204,1,6,0.04358521135377133,negative_favors_real,0.009407571545233947,0.026351405749619125,0.0
0.09375,38101.13557304082,0.09168744638171605,positions_only,0.12520126424363512,0.10720033887015416,0.018000925373480973,1,6,0.04307643442082125,negative_favors_real,0.009431465011151415,0.026340832800980565,0.0
0.125,51228.53650775352,0.12324202278755357,positions_only,0.12511358903999814,0.10716984216549796,0.01794374687450018,1,6,0.042557682495659346,negative_favors_real,0.009401428653455345,0.026314901221496587,0.0
0.1875,77249.55744808727,0.18579114008102315,positions_only,0.12487434470863745,0.10716915617188193,0.01770518853675553,1,6,0.04262338057724268,negative_favors_real,0.009192359904722626,0.026059533135758796,0.0
0.25,102979.59621972247,0.24776724916250056,positions_only,0.12462635598001069,0.10722340470304091,0.01740295127696979,1,6,0.04302917794604512,negative_favors_real,0.008897572272152546,0.025820105390812708,0.0
0.03125,8411.28038363093,0.020643052094796423,reconstruction,0.1253573522126481,0.08905810659284558,0.036299245619802516,1,6,0.0877822863306918,negative_favors_real,0.026746975605142036,0.04598368144697848,0.0
0.0625,25356.205735173065,0.06098981397622697,reconstruction,0.12526649117388663,0.08682854645283176,0.03843794472105489,1,6,0.08840428531748955,negative_favors_real,0.029111685559162073,0.04771472431114846,0.0
0.09375,38101.13557304082,0.09168744638171605,reconstruction,0.12520126424363512,0.08714086129123365,0.03806040295240148,1,6,0.08723259613781495,negative_favors_real,0.028746311563193704,0.047261029604925765,0.0
0.125,51228.53650775352,0.12324202278755357,reconstruction,0.12511358903999814,0.08692490741949521,0.03818868162050293,1,6,0.08672030482277783,negative_favors_real,0.028892357852442676,0.04736418442913935,0.0
0.1875,77249.55744808727,0.18579114008102315,reconstruction,0.12487434470863745,0.08718129601568798,0.03769304869294948,1,6,0.08490285756631773,negative_favors_real,0.028186338739577373,0.047180522957440754,0.0
0.25,102979.59621972247,0.24776724916250056,reconstruction,0.12462635598001069,0.09043464467562055,0.03419171130439013,1,6,0.08215048579435882,negative_favors_real,0.024500634636387335,0.04383884229641322,0.0
0.03125,8411.28038363093,0.020643052094796423,shuffled,0.1253573522126481,0.12880021997769778,-0.003442867765049653,3,6,0.01888385577156268,negative_favors_real,-0.010743790616352765,0.003262335895467188,0.8416
0.0625,25356.205735173065,0.06098981397622697,shuffled,0.12526649117388663,0.12902538396099586,-0.003758892787109227,3,6,0.018816202626120174,negative_favors_real,-0.011043009276624242,0.0029600893364517497,0.8604
0.09375,38101.13557304082,0.09168744638171605,shuffled,0.12520126424363512,0.12908993364371676,-0.003888669400081641,3,6,0.018914201430815722,negative_favors_real,-0.011179905937616818,0.002864306404062632,0.868
0.125,51228.53650775352,0.12324202278755357,shuffled,0.12511358903999814,0.1291434086507038,-0.004029819610705657,3,6,0.019023624734370387,negative_favors_real,-0.011308471343927913,0.0027105034349252967,0.8756
0.1875,77249.55744808727,0.18579114008102315,shuffled,0.12487434470863745,0.12921666370028193,-0.004342318991644456,3,6,0.019289735769154714,negative_favors_real,-0.01163693419083261,0.0023916677134166128,0.8946
0.25,102979.59621972247,0.24776724916250056,shuffled,0.12462635598001069,0.12925925824670723,-0.004632902266696537,3,6,0.019593528007717506,negative_favors_real,-0.011895024906980509,0.0021591893178998364,0.91
0.03125,8411.28038363093,0.020643052094796423,static,0.1253573522126481,0.13727576015259432,-0.011918407939946217,3,6,0.014057625849410393,negative_favors_real,-0.02036224113914946,-0.003743159946788454,0.9978
0.0625,25356.205735173065,0.06098981397622697,static,0.12526649117388663,0.13727576015259432,-0.01200926897870768,3,6,0.014118615541226648,negative_favors_real,-0.020482441107957536,-0.003842737648361459,0.9978
0.09375,38101.13557304082,0.09168744638171605,static,0.12520126424363512,0.13727576015259432,-0.012074495908959195,3,6,0.014201436379928961,negative_favors_real,-0.02057001167125957,-0.003918435560267149,0.9978
0.125,51228.53650775352,0.12324202278755357,static,0.12511358903999814,0.13727576015259432,-0.012162171112596168,3,6,0.014297148480700933,negative_favors_real,-0.020683357104526782,-0.004000911121908059,0.998
0.1875,77249.55744808727,0.18579114008102315,static,0.12487434470863745,0.13727576015259432,-0.012401415443956862,3,6,0.014493652689856001,negative_favors_real,-0.020946902844647636,-0.004226802607568706,0.9984
0.25,102979.59621972247,0.24776724916250056,static,0.12462635598001069,0.13727576015259432,-0.01264940417258363,3,6,0.014697450435422171,negative_favors_real,-0.02123824977843517,-0.004423353060590536,0.9984
