level,mechanism_source,stratifier,current_checkpoint,outer_domain,stratum,specimen_count,mean_feedback_benefit
specimen_auebc,real,best_action_turnover,,74t7kcdgkr,high,15,0.000003552054837
specimen_auebc,real,best_action_turnover,,74t7kcdgkr,low,15,0.000005985159242
specimen_auebc,real,best_action_turnover,,74t7kcdgkr,middle,15,0.000005416619467
specimen_auebc,real,best_action_turnover,,__equal_domain__,high,90,-0.00002137448212
specimen_auebc,real,best_action_turnover,,__equal_domain__,low,94,-0.000014144263297
specimen_auebc,real,best_action_turnover,,__equal_domain__,middle,92,-0.000009088894596
specimen_auebc,real,best_action_turnover,,cgtnjyggtm,high,16,0.000003278590175
specimen_auebc,real,best_action_turnover,,cgtnjyggtm,low,17,-0.00003711606821
specimen_auebc,real,best_action_turnover,,cgtnjyggtm,middle,16,0.00000770291219
specimen_auebc,real,best_action_turnover,,w68dtmpfyf,high,14,0.000008780363686
specimen_auebc,real,best_action_turnover,,w68dtmpfyf,low,15,-0.000002796278809
specimen_auebc,real,best_action_turnover,,w68dtmpfyf,middle,14,0.000003378743739
specimen_auebc,real,best_action_turnover,,xcmzfsbd9t,high,19,-0.000018357903327
specimen_auebc,real,best_action_turnover,,xcmzfsbd9t,low,20,0.000001272647455
specimen_auebc,real,best_action_turnover,,xcmzfsbd9t,middle,20,-0.000010395038921
specimen_auebc,real,best_action_turnover,,yfxyg8jm46,high,14,-0.0000863722392
specimen_auebc,real,best_action_turnover,,yfxyg8jm46,low,14,-0.000013744896043
specimen_auebc,real,best_action_turnover,,yfxyg8jm46,middle,14,-0.000020859673462
specimen_auebc,real,best_action_turnover,,ykhs7s2dck,high,12,-0.000039127758892
specimen_auebc,real,best_action_turnover,,ykhs7s2dck,low,13,-0.000038466143415
specimen_auebc,real,best_action_turnover,,ykhs7s2dck,middle,13,-0.000039776930587
specimen_auebc,real,mean_absolute_value_shift,,74t7kcdgkr,high,15,-0.000000291983893
specimen_auebc,real,mean_absolute_value_shift,,74t7kcdgkr,low,15,0.000008432666066
specimen_auebc,real,mean_absolute_value_shift,,74t7kcdgkr,middle,15,0.000006813151372
specimen_auebc,real,mean_absolute_value_shift,,__equal_domain__,high,90,-0.00002235796744
specimen_auebc,real,mean_absolute_value_shift,,__equal_domain__,low,94,-0.000014162647361
specimen_auebc,real,mean_absolute_value_shift,,__equal_domain__,middle,92,-0.00000815584176
specimen_auebc,real,mean_absolute_value_shift,,cgtnjyggtm,high,16,0.00000391313507
specimen_auebc,real,mean_absolute_value_shift,,cgtnjyggtm,low,17,-0.000010406249764
specimen_auebc,real,mean_absolute_value_shift,,cgtnjyggtm,middle,16,-0.000021310814803
specimen_auebc,real,mean_absolute_value_shift,,w68dtmpfyf,high,14,0.000011042454899
specimen_auebc,real,mean_absolute_value_shift,,w68dtmpfyf,low,15,-0.000011501407459
specimen_auebc,real,mean_absolute_value_shift,,w68dtmpfyf,middle,14,0.000010443576079
specimen_auebc,real,mean_absolute_value_shift,,xcmzfsbd9t,high,19,-0.000019348175205
specimen_auebc,real,mean_absolute_value_shift,,xcmzfsbd9t,low,20,-0.000010867109971
specimen_auebc,real,mean_absolute_value_shift,,xcmzfsbd9t,middle,20,0.000002685476788
specimen_auebc,real,mean_absolute_value_shift,,yfxyg8jm46,high,14,-0.000099229856349
specimen_auebc,real,mean_absolute_value_shift,,yfxyg8jm46,low,14,-0.000011259547219
specimen_auebc,real,mean_absolute_value_shift,,yfxyg8jm46,middle,14,-0.000010487405137
specimen_auebc,real,mean_absolute_value_shift,,ykhs7s2dck,high,12,-0.00003023337916
specimen_auebc,real,mean_absolute_value_shift,,ykhs7s2dck,low,13,-0.000049374235818
specimen_auebc,real,mean_absolute_value_shift,,ykhs7s2dck,middle,13,-0.00003707903486
specimen_auebc,teacher,best_action_turnover,,74t7kcdgkr,high,15,0.000000293380241
specimen_auebc,teacher,best_action_turnover,,74t7kcdgkr,low,15,0.000008239487938
specimen_auebc,teacher,best_action_turnover,,74t7kcdgkr,middle,15,0.000006420965366
specimen_auebc,teacher,best_action_turnover,,__equal_domain__,high,90,-0.000012974925644
specimen_auebc,teacher,best_action_turnover,,__equal_domain__,low,94,-0.000020679986339
specimen_auebc,teacher,best_action_turnover,,__equal_domain__,middle,92,-0.000011188745713
specimen_auebc,teacher,best_action_turnover,,cgtnjyggtm,high,16,-0.000020270671163
specimen_auebc,teacher,best_action_turnover,,cgtnjyggtm,low,17,-0.000014455270825
specimen_auebc,teacher,best_action_turnover,,cgtnjyggtm,middle,16,0.000007175076307
specimen_auebc,teacher,best_action_turnover,,w68dtmpfyf,high,14,0.000002312654832
specimen_auebc,teacher,best_action_turnover,,w68dtmpfyf,low,15,0.000008027069496
specimen_auebc,teacher,best_action_turnover,,w68dtmpfyf,middle,14,-0.000001749992019
specimen_auebc,teacher,best_action_turnover,,xcmzfsbd9t,high,19,-0.000009805735653
specimen_auebc,teacher,best_action_turnover,,xcmzfsbd9t,low,20,-0.000012751995573
specimen_auebc,teacher,best_action_turnover,,xcmzfsbd9t,middle,20,-0.000004494955185
specimen_auebc,teacher,best_action_turnover,,yfxyg8jm46,high,14,-0.000015745284837
specimen_auebc,teacher,best_action_turnover,,yfxyg8jm46,low,14,-0.000075771803503
specimen_auebc,teacher,best_action_turnover,,yfxyg8jm46,middle,14,-0.000029459720365
specimen_auebc,teacher,best_action_turnover,,ykhs7s2dck,high,12,-0.000034633897283
specimen_auebc,teacher,best_action_turnover,,ykhs7s2dck,low,13,-0.000037367405569
specimen_auebc,teacher,best_action_turnover,,ykhs7s2dck,middle,13,-0.000045023848379
specimen_auebc,teacher,mean_absolute_value_shift,,74t7kcdgkr,high,15,0.000015737403292
specimen_auebc,teacher,mean_absolute_value_shift,,74t7kcdgkr,low,15,0.000006333944063
specimen_auebc,teacher,mean_absolute_value_shift,,74t7kcdgkr,middle,15,-0.00000711751381
specimen_auebc,teacher,mean_absolute_value_shift,,__equal_domain__,high,90,-0.000006745511482
specimen_auebc,teacher,mean_absolute_value_shift,,__equal_domain__,low,94,-0.000023903310132
specimen_auebc,teacher,mean_absolute_value_shift,,__equal_domain__,middle,92,-0.000014256021302
specimen_auebc,teacher,mean_absolute_value_shift,,cgtnjyggtm,high,16,-0.000016197775939
specimen_auebc,teacher,mean_absolute_value_shift,,cgtnjyggtm,low,17,-0.000004686156021
specimen_auebc,teacher,mean_absolute_value_shift,,cgtnjyggtm,middle,16,-0.000007277503396
specimen_auebc,teacher,mean_absolute_value_shift,,w68dtmpfyf,high,14,0.000006526419298
specimen_auebc,teacher,mean_absolute_value_shift,,w68dtmpfyf,low,15,0.000004338643126
specimen_auebc,teacher,mean_absolute_value_shift,,w68dtmpfyf,middle,14,-0.000002011871089
specimen_auebc,teacher,mean_absolute_value_shift,,xcmzfsbd9t,high,19,-0.000009363957173
specimen_auebc,teacher,mean_absolute_value_shift,,xcmzfsbd9t,low,20,-0.000009530325183
specimen_auebc,teacher,mean_absolute_value_shift,,xcmzfsbd9t,middle,20,-0.000008136315131
specimen_auebc,teacher,mean_absolute_value_shift,,yfxyg8jm46,high,14,-0.000001994096324
specimen_auebc,teacher,mean_absolute_value_shift,,yfxyg8jm46,low,14,-0.000089953683229
specimen_auebc,teacher,mean_absolute_value_shift,,yfxyg8jm46,middle,14,-0.000029029029152
specimen_auebc,teacher,mean_absolute_value_shift,,ykhs7s2dck,high,12,-0.000035181062045
specimen_auebc,teacher,mean_absolute_value_shift,,ykhs7s2dck,low,13,-0.000049922283547
specimen_auebc,teacher,mean_absolute_value_shift,,ykhs7s2dck,middle,13,-0.000031963895236
state_checkpoint,real,best_action_turnover,0.0625,74t7kcdgkr,high,15,-0.000000040567242
state_checkpoint,real,best_action_turnover,0.0625,74t7kcdgkr,low,15,-0.000008414024875
