condition_id,nominal_density,interpolation,dataset_id,specimen_count,mae
full,1.0,,74t7kcdgkr,45,0.058736787700541755
full,1.0,,cgtnjyggtm,49,0.12469936856113768
full,1.0,,w68dtmpfyf,43,0.1059023306876731
full,1.0,,xcmzfsbd9t,59,0.090589419972691
full,1.0,,yfxyg8jm46,42,0.12702193559341912
full,1.0,,ykhs7s2dck,38,0.26398629662535694
nearest_0.5,0.5,nearest,74t7kcdgkr,45,0.0697146994338833
nearest_0.5,0.5,nearest,cgtnjyggtm,49,0.13035044939862242
nearest_0.5,0.5,nearest,w68dtmpfyf,43,0.10749847872057462
nearest_0.5,0.5,nearest,xcmzfsbd9t,59,0.09884977622365232
nearest_0.5,0.5,nearest,yfxyg8jm46,42,0.1270122417799027
nearest_0.5,0.5,nearest,ykhs7s2dck,38,0.27628055428955056
bilinear_0.5,0.5,bilinear,74t7kcdgkr,45,0.06026555953518342
bilinear_0.5,0.5,bilinear,cgtnjyggtm,49,0.12862056516513057
bilinear_0.5,0.5,bilinear,w68dtmpfyf,43,0.11099510351922671
bilinear_0.5,0.5,bilinear,xcmzfsbd9t,59,0.09284884865954306
bilinear_0.5,0.5,bilinear,yfxyg8jm46,42,0.12757127339293156
bilinear_0.5,0.5,bilinear,ykhs7s2dck,38,0.2659885289581152
bicubic_0.5,0.5,bicubic,74t7kcdgkr,45,0.05992841144914239
bicubic_0.5,0.5,bicubic,cgtnjyggtm,49,0.12785248575159314
bicubic_0.5,0.5,bicubic,w68dtmpfyf,43,0.10994292218103882
bicubic_0.5,0.5,bicubic,xcmzfsbd9t,59,0.08998841923159745
bicubic_0.5,0.5,bicubic,yfxyg8jm46,42,0.12766077668504602
bicubic_0.5,0.5,bicubic,ykhs7s2dck,38,0.268327356348441
nearest_0.25,0.25,nearest,74t7kcdgkr,45,0.061992015271406485
nearest_0.25,0.25,nearest,cgtnjyggtm,49,0.12777235197581688
nearest_0.25,0.25,nearest,w68dtmpfyf,43,0.10666575934354304
nearest_0.25,0.25,nearest,xcmzfsbd9t,59,0.09125536005179763
nearest_0.25,0.25,nearest,yfxyg8jm46,42,0.13115241203790856
nearest_0.25,0.25,nearest,ykhs7s2dck,38,0.28201844139860666
bilinear_0.25,0.25,bilinear,74t7kcdgkr,45,0.07183560109302765
bilinear_0.25,0.25,bilinear,cgtnjyggtm,49,0.128345992813242
bilinear_0.25,0.25,bilinear,w68dtmpfyf,43,0.10811793785890644
bilinear_0.25,0.25,bilinear,xcmzfsbd9t,59,0.09063290405187682
bilinear_0.25,0.25,bilinear,yfxyg8jm46,42,0.1324453256335303
bilinear_0.25,0.25,bilinear,ykhs7s2dck,38,0.2757045106032353
bicubic_0.25,0.25,bicubic,74t7kcdgkr,45,0.07219208439689682
bicubic_0.25,0.25,bicubic,cgtnjyggtm,49,0.127655027852652
bicubic_0.25,0.25,bicubic,w68dtmpfyf,43,0.1066260568081909
bicubic_0.25,0.25,bicubic,xcmzfsbd9t,59,0.08823023208800393
bicubic_0.25,0.25,bicubic,yfxyg8jm46,42,0.1330440843620071
bicubic_0.25,0.25,bicubic,ykhs7s2dck,38,0.27363933634460424
nearest_0.125,0.125,nearest,74t7kcdgkr,45,0.06677115295268626
nearest_0.125,0.125,nearest,cgtnjyggtm,49,0.13503578402843433
nearest_0.125,0.125,nearest,w68dtmpfyf,43,0.10598924264624868
nearest_0.125,0.125,nearest,xcmzfsbd9t,59,0.09431508825298043
nearest_0.125,0.125,nearest,yfxyg8jm46,42,0.12943704740739137
nearest_0.125,0.125,nearest,ykhs7s2dck,38,0.2726288654517242
bilinear_0.125,0.125,bilinear,74t7kcdgkr,45,0.06643178222065667
bilinear_0.125,0.125,bilinear,cgtnjyggtm,49,0.1373025403396786
bilinear_0.125,0.125,bilinear,w68dtmpfyf,43,0.11111913819170616
bilinear_0.125,0.125,bilinear,xcmzfsbd9t,59,0.10268059582848088
bilinear_0.125,0.125,bilinear,yfxyg8jm46,42,0.12512193506780167
bilinear_0.125,0.125,bilinear,ykhs7s2dck,38,0.2721173871196654
bicubic_0.125,0.125,bicubic,74t7kcdgkr,45,0.0680510412640805
bicubic_0.125,0.125,bicubic,cgtnjyggtm,49,0.1345504212403626
bicubic_0.125,0.125,bicubic,w68dtmpfyf,43,0.1103052945512562
bicubic_0.125,0.125,bicubic,xcmzfsbd9t,59,0.09861591568511353
bicubic_0.125,0.125,bicubic,yfxyg8jm46,42,0.12647437847418244
bicubic_0.125,0.125,bicubic,ykhs7s2dck,38,0.2761244816453685
