condition_id,nominal_density,interpolation,outer_domain,inner_domain,pca_dimension,mae,fit_domains_json,fit_sample_count,query_sample_count,pca_state_sha256,ridge_state_sha256,source_p3_state_sha256,state_sha256
nearest_0.5,0.5,nearest,74t7kcdgkr,ykhs7s2dck,32,0.400994072460949,"[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",193,38,5c606b13d070b5f44e33d03864996e6c6d04fe7ecdde19482ec541101f7c4309,9d925fec46cf96bff0a709192404e8653b4cd8eed469e365bfcad4023643fe34,633aac9f0eb5bd84e1ec889fc869713c1cfd33e80810f7df288cd6a04ffb18cf,90f9048caa753651af31f2eeeb892a727e604e7590f510730aa73b5b3f00cf99
nearest_0.5,0.5,nearest,cgtnjyggtm,74t7kcdgkr,8,0.12299229968165333,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",182,45,0b165e210c782ee5bf5429a15f03b1493d88973da3cd256eb66d78fb72d514af,3c709ecd26ae3837278a536d577365fbcfb57867dd0fc7615db40dde9c699e0e,bc9b05b9701569ff56920a741b365ab848a5d25347f5b5a51aa5048ac9669f17,ec00f7325948aa526f2eca6cf28023c23a2bb54949f1568e08b4b527cc5c7fc9
nearest_0.5,0.5,nearest,cgtnjyggtm,w68dtmpfyf,8,0.11828682835794194,"[""74t7kcdgkr"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",184,43,32068f90fbec667fa86703aea4c9375b92dee7160cb1cd147e74fe422db67768,f1abd1437dd2e143bc1da03c2907e25fb816f29d60eb3b68b5e704617c24866a,98556ceed250f1da6e4f304ef0d9fd7e6b8c29345bb200b01c401c115ac4c64d,650f39d0571157543ee5f923b9969b67c70262d34b77deaee618ccb73aa54538
nearest_0.5,0.5,nearest,cgtnjyggtm,xcmzfsbd9t,8,0.10696925501507443,"[""74t7kcdgkr"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",168,59,63cb1e115b995d914c4ca63ebf813e54e1685f49c91436748af1f538b0c5dbe0,8b84ce312c75369b80334cd51fa80724f104dd7a55259acd6eed1714e5e2d801,89b33d7fac78c73e8b303b785d5900cfa44850424e99b427bb0a3589b6e28ed4,f9b073fc6148763a8a79725da6e96a524476b80523d142918a9a0833cb75a9a1
nearest_0.5,0.5,nearest,cgtnjyggtm,yfxyg8jm46,8,0.14004754413994197,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",185,42,827064330a7058dd139fbaad2010e2aa87a3bbdf6e6755dc3899bf2ee3c71004,6038ea192f07e54a81de7876318bea6e08126831df4565a55e033877cd38d3c5,fa38aaadd219e53959a03b20904f3f9c75f4175ad60fe5e25e28c8f215db5754,29f0fb1e836be8e15088b5a835aaf916fcf53b7e656b7a8fd06cbc6017031542
nearest_0.5,0.5,nearest,cgtnjyggtm,ykhs7s2dck,8,0.33013273388281567,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",189,38,1133d9ece832ce5204af596073b5a74ed056d39713438facb8e8d80798cb4ed9,15d36ca604315f55fbdbe297c2ff90a9a6ef93a7e065042a2aae1002a01a34bb,e7e06a7b80860afa206017c5ba06000a2f78e37d5ca323044140052a22fdeccf,c99fdae32ff7393bb595c7eafb94a3bd002bf84af25372bd10ad61db3769b26d
nearest_0.5,0.5,nearest,cgtnjyggtm,74t7kcdgkr,16,0.09354492648287065,"[""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",182,45,aef3fe510818c5871fd38b432e3514af106e119039c9ea6362f938e57a9bc0ca,9ecb86c9e43dd15a44db8390f8b3c8bba9ba3231763085c178480bfde36fbd55,9fbb451fa2ee01914f5c71a3462cc96a1dd9b4d5baa6c574c65e32d148067276,16be613c5f8f48b587c2c581d642ea179871f9e9c1512ac6fffcb0d8f385c109
nearest_0.5,0.5,nearest,cgtnjyggtm,w68dtmpfyf,16,0.11259375068544387,"[""74t7kcdgkr"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",184,43,5d0aed7a3bd03fd14b4290797997e017d582e17c0ba3ddf0450197628be64fc5,4dede85c69bbc35ff72a182ba8464a3e151a50a59f710c5d5671316fffd60ce9,5f74d1bccb70bf2d41b96154507814c5953f545fe9d40e83910413b12c6c2143,bccaeae676a5ead6b64c1cd323aa69665aa284c15b78432cd7c85c5f052069d2
nearest_0.5,0.5,nearest,cgtnjyggtm,xcmzfsbd9t,16,0.08244150021882414,"[""74t7kcdgkr"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",168,59,accc80c6b9176b02a8ce94c4f5ad0a337bd607b351d5395ac0e84f6b0d922ecc,fd2a7d3b1ec8ee31e7d0444a5974ca609150cee94b86864b2e15ddd33c507fd2,4bc630d966c419ed6d6f6a9b3eade820b379adfab9c283c3c2d2f6c72adc9860,1f3f51ee581c42cfff02c1a9d72271265fc787e91863c648e2aa6a7dfd2f616a
nearest_0.5,0.5,nearest,cgtnjyggtm,yfxyg8jm46,16,0.14084659505468103,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",185,42,6652d7e87cf8226fcbf3d00f980a8b6c86884fc36a596bed1ccd398d56693482,fe81f1903038a3811a3b642065fd92e57cc0c56ab0b96fc9c6cfb8c289193751,5bcb87c81626c4917dd1f35aeb1037892e99ea07956131eccd22364d49d1ca05,c9d2b7e0f292919e673768360374329c0078eee050d983b862a265235a7a49b5
nearest_0.5,0.5,nearest,cgtnjyggtm,ykhs7s2dck,16,0.30685098773170033,"[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",189,38,b0d925aa351ee1f123b8e9750c07ec40c393e901e32621e4fee20a5870e8dd44,829438af130ce447904f88f7688e27e121b140b02a614f1ecbd585e708c7a095,974f3b30e16ded8d374ae6c5ad715383cd98fe4beb5de8bbc4d46b84f9bbde0b,da6541dc8a183f1cf54880996fa85a2768d5ec3897a53851efde05ba13a95912
