condition_id,nominal_density,interpolation,outer_domain,selected_pca_dimension,inner_equal_domain_mae,dimension_scores_json,outer_fit_domains_json,outer_fit_sample_count,source_p3_state_sha256,state_sha256
bilinear_0.5,0.5,bilinear,yfxyg8jm46,8,0.11020011369989471,"[[8,0.11020011369989471],[16,0.11488074285517276],[32,0.11951419423939713]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,47b75a81e63fb3de1338d999a44a877836c9be98642f9d365e4ad7e7c70597e9,12c917be9b4634d7c4d0e75aeb5a320f165afc9d054908464c2ecb6033fb43a1
bilinear_0.5,0.5,bilinear,ykhs7s2dck,8,0.10761596955071986,"[[8,0.10761596955071986],[16,0.11355810974773395],[32,0.11593870423052968]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,206ef577cc8568f0c3e29135394e2d406331d0e618375b5088cd04013565138b,ca7c6cce99261b12fca97d2e09ffe5c1ea5680c96739d15389c4096537685356
bicubic_0.5,0.5,bicubic,74t7kcdgkr,16,0.17730553588871162,"[[8,0.18131985524078484],[16,0.17730553588871162],[32,0.1833256511707772]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,3157181044ce8b52411ed6a256b664832c39989b1f02354951e11671905cf8d7,db9c21536e2197d5c072a7c098fbf9f5864b0639f70072d24fd218aeab0a7438
bicubic_0.5,0.5,bicubic,cgtnjyggtm,32,0.1333596953451905,"[[8,0.1634867954545382],[16,0.14887231011646973],[32,0.1333596953451905]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,4d8f7649658310c852f967544dc11072afbeff26a26acfc797eb044889ffecd5,8b48bd5051702b7a1dea6beb0d798af48071545bbac643efa23064542259af5c
bicubic_0.5,0.5,bicubic,w68dtmpfyf,8,0.11441535115337098,"[[8,0.11441535115337098],[16,0.11826720085534681],[32,0.12722971834823604]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,c65ae324a7ac3519abb742fe15bf83ca3f3dc613cc63b59d423e2414ff3168c5,4f5e44866fd9dd7155473b5ee032706252356674f47a0c848d54ae5012e69a7c
bicubic_0.5,0.5,bicubic,xcmzfsbd9t,32,0.1350136406399009,"[[8,0.15227536948105236],[16,0.1414889365859361],[32,0.1350136406399009]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,29ce4d67e785396f09f87ff6616390f06c8d7475c591dc947dc8c353f69270c0,032d169abf9a40a45a216a73f3df2a9fb0883077994febee7c767754e4985208
bicubic_0.5,0.5,bicubic,yfxyg8jm46,8,0.10940401191318261,"[[8,0.10940401191318261],[16,0.11522307553790205],[32,0.12118534585370049]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,7f821fba23b13c9591b0c9f1c71937a27799ccee1a4624ff2be3b7ca36f4315c,54299ffa98540bfd0d4a0bd44a568b1d1328a2e47f380c84c7779961ce1ff2d0
bicubic_0.5,0.5,bicubic,ykhs7s2dck,8,0.10830292771808399,"[[8,0.10830292771808399],[16,0.11352727832457092],[32,0.11600641319685634]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,add9e4e0d86af5d76e484c7943407a79b5588f2496c9ba93123b7f752556c7a6,a30e7e47be0d713f2785d70a0a09acd91c6b91f8ff6e5a8752ab50d3cf457282
nearest_0.25,0.25,nearest,74t7kcdgkr,16,0.17896611706578894,"[[8,0.18007629047666973],[16,0.17896611706578894],[32,0.18825201769499023]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,471db2a1708ab1c557a988b20d7a2cc9a999de6d71ebf8c50f56a94150497a67,54a825184508938bcc3a7e940aade9340f543fd69b9f2a0a2e7d3f26e22344b9
nearest_0.25,0.25,nearest,cgtnjyggtm,32,0.14709435935132298,"[[8,0.1704330886516057],[16,0.16022065688115533],[32,0.14709435935132298]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,bbb5f6d31f10de7da237715f16910c684106fbbd158c88bbc692dd8dc0e6ab37,6759e7a0f02dbe046182a994deb12af0cb919352351c394ce40ff82f98b6fd8c
nearest_0.25,0.25,nearest,w68dtmpfyf,8,0.1229104195505513,"[[8,0.1229104195505513],[16,0.12918221428069582],[32,0.13622343203075465]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,a2cc52657cd160f29e4b217946c01098095579dcf7b83ae97e42df0140ef0590,22aa61c3d80d24112359bd34673051e691c967af56abe83793ef7a6a67b79727
nearest_0.25,0.25,nearest,xcmzfsbd9t,32,0.13901021709330763,"[[8,0.1557605112417522],[16,0.158915045532138],[32,0.13901021709330763]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,52e54cdcc31e73a2c8ab7e487d7f79e2907642d1f46ff0eaf766bdcceeffabe4,33897f90f2e2e2762f948a9fe5ad4d509939a87b4c4febddf8ebda2d729e711c
nearest_0.25,0.25,nearest,yfxyg8jm46,8,0.10470323902378291,"[[8,0.10470323902378291],[16,0.11111235511484722],[32,0.12376791729813397]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,f9ce6de29748b79928ff7633419fb2cf7e789f6d8ee772dffbc98e366b7e6c34,35c8e61875009b0db814f2e86947e6d142ebc723fce8168cf67ebee239f9caed
nearest_0.25,0.25,nearest,ykhs7s2dck,8,0.10490390310689897,"[[8,0.10490390310689897],[16,0.1086609860555576],[32,0.11205952184479587]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,25e833a767053332353840414168fe7f80012dc065ad8e386cecc486bf666a10,3b681ebd51833c7135335f37f35e4e13a335cf8c3f244eb82fe4097e876ad5e7
bilinear_0.25,0.25,bilinear,74t7kcdgkr,8,0.1785322253328585,"[[8,0.1785322253328585],[16,0.18055508054719924],[32,0.18451422791501806]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,c4360eff2cd266c638dbb226145433ccd3adf3578a6b30710b171af39f417863,ed1ba17e0bc3e72de2218af703bb198d588d4d2e34c14856c227a63ab186b769
bilinear_0.25,0.25,bilinear,cgtnjyggtm,32,0.14297623691909195,"[[8,0.165918307789465],[16,0.1589774226219195],[32,0.14297623691909195]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,a88fc1e11ab62995766a8e63dcfaebd5128cd74960b586561ae9d68b64cd8a4c,9126a043acc28ee3fc73d26d829e8a48e9d201e6d604c0f1be5d44cce67e7e53
bilinear_0.25,0.25,bilinear,w68dtmpfyf,8,0.12175844830132418,"[[8,0.12175844830132418],[16,0.12644098016493982],[32,0.13163029204111606]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,ecb1ba7bf23eca36b9b33481ecdcf71321d0ca0e9a95783819b04705d7c5c659,f249a54416063822a9adf62ef405abe01f7671e0831ab8b3d8b643ad4ab4a639
bilinear_0.25,0.25,bilinear,xcmzfsbd9t,32,0.14120997908314836,"[[8,0.15486175934928115],[16,0.15622592922847356],[32,0.14120997908314836]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,e1dc815d6a003d7a6bbf35440cc6af2f5c27603c0e645e5851366696fb99032f,a13cc1a4add37c8041dc43c78d465407bd56f5be1dc5fca15d27d2ce9ac487c7
bilinear_0.25,0.25,bilinear,yfxyg8jm46,8,0.10226001625060935,"[[8,0.10226001625060935],[16,0.10971348822338609],[32,0.12029488913703985]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,6882a46565bc6a81d30b7b70b161dcd8c409bea1574957b88515a7144267d9da,ab60b508de913718478218252a2470dc95e9fe2725dd2b04db6cffe494dc1fec
bilinear_0.25,0.25,bilinear,ykhs7s2dck,8,0.10597008360371814,"[[8,0.10597008360371814],[16,0.10909358281710342],[32,0.11452123513027539]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,195b9e4b0f94900043c94b464cc990097263f7138b19fcce8695bafd529a1bd8,ba14c512dd2064636a5aeb6e437ea8f2536c29c901129aec0a2ec0f583733134
bicubic_0.25,0.25,bicubic,74t7kcdgkr,8,0.1776733970203293,"[[8,0.1776733970203293],[16,0.17893975283553568],[32,0.18500350885584163]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,5bbb34b0385b56c72c2dcfcedfe73e5be551acf2a44322cdcfe866aa9b8c1bd5,21c734e13d06689d00a1143836ea6d7641e60a33d552f04365cd8965dcd77208
bicubic_0.25,0.25,bicubic,cgtnjyggtm,32,0.14118497257208162,"[[8,0.17014705539702932],[16,0.16090990463872715],[32,0.14118497257208162]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,d7b16b881f7aef9d14f1b43fd7000b26a9ad31b15454b5c5f5aa1db2786afb67,c77dfcca8aaca49ac8da9b44f6d3f40cfd57a2370734324a375a8d4aae72ca44
bicubic_0.25,0.25,bicubic,w68dtmpfyf,8,0.12301908800175047,"[[8,0.12301908800175047],[16,0.12829698612325535],[32,0.13180694630176015]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,c8f2d7f6e1a41e794c07cdb46401f5e1b1ba5754493effa09971e881d90aa600,b88b70e639762b6b9c0139dd9ff0711d3027ec34cb6538b615b9e19ecc446052
bicubic_0.25,0.25,bicubic,xcmzfsbd9t,32,0.1344835618877002,"[[8,0.15381402030024688],[16,0.15671093554008916],[32,0.1344835618877002]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,74854c7ee1e2c546ff59098d253036aff4fd3e2a110fbdb8af2c1d8244a77635,05241b09d326b66fdbf030869149c1562d03097078569b2903348194c77e7f6a
bicubic_0.25,0.25,bicubic,yfxyg8jm46,8,0.10243726269930138,"[[8,0.10243726269930138],[16,0.11102043505462353],[32,0.12223404148127086]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,366103d7737843e349652dad466342acf8154e97df18810675a858099b5a9957,7404c3d0775d24b9d14e71b2ec43e434414b4f08dc5de2207ca4ca6714d47843
bicubic_0.25,0.25,bicubic,ykhs7s2dck,8,0.10520242256330684,"[[8,0.10520242256330684],[16,0.10742642512552032],[32,0.11240824555580724]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,2a6ce5a7cbf4ca040c37b25fb646ebb0d7171a7cc951abb97bc12b6e6b65d22a,3578be2dbf56e15c7d935173486e97cd25af4a9d7ebbc27da18715f0dec8c27a
nearest_0.125,0.125,nearest,74t7kcdgkr,8,0.17469797563218725,"[[8,0.17469797563218725],[16,0.18643640037341486],[32,0.20476350734241539]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,229ed7e10305c354886b264cc6c1ec6b4f2e01b50e98a00d173e5879d5228fb9,3c78b9a321e4bbe33c0839349876e64c335450db2bee9698e7acf34e6b205492
nearest_0.125,0.125,nearest,cgtnjyggtm,32,0.13443610586055943,"[[8,0.16442123981096352],[16,0.14735555496576722],[32,0.13443610586055943]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,b9dad66cf36285d0d402ab9d8b9df86cb5e1990153e161bdb8a80bd491904aaf,f962dc3a810df5b57d251b1ee617a89786a0a5e5996d7b3821f38fa4fd2bbe4b
nearest_0.125,0.125,nearest,w68dtmpfyf,8,0.1223674098900717,"[[8,0.1223674098900717],[16,0.12242778508135573],[32,0.13797170399822967]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,a6104514ffe915b6c186b9cdd8a68bb15ed49325098d99ed25c13d615ae15c73,7d83f1f8a08b2056c69019945e404ba40a9f9e19a92053a1906b20a4fa95a8b8
nearest_0.125,0.125,nearest,xcmzfsbd9t,32,0.14131991743522673,"[[8,0.15568560618550245],[16,0.15196076559098484],[32,0.14131991743522673]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,2902fbbea1376db045d6d98cd64c0e52d73019eadf690f0c5d7207dbb110c620,9cb587728b2cc5368b15aadf4a6fe92b81a8f3719e2d22b43a197d721318f2ff
nearest_0.125,0.125,nearest,yfxyg8jm46,8,0.10594734556400816,"[[8,0.10594734556400816],[16,0.1104372437839487],[32,0.12207683514173431]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,0b8816ee36db438ecca7117faac805aa01d3dcea19346dbe38f96378f891079f,1c3eb7e9528de90925bc6e831fc10430afa341e6e7c3e90c4f66a6ba79f031de
nearest_0.125,0.125,nearest,ykhs7s2dck,8,0.10572770494075603,"[[8,0.10572770494075603],[16,0.11417867487075403],[32,0.11694287135752049]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,6109577394b3fdc24844bea6b81662f9c0ed4bc162479e5ddbfeb5dd06fc750e,25e3e34ca39d2e208b2981a0dd3f5741bb2124cb9dc54a3a532083f777d8f27a
bilinear_0.125,0.125,bilinear,74t7kcdgkr,8,0.17999872351101348,"[[8,0.17999872351101348],[16,0.19681219284969337],[32,0.20248333146338598]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,a85328cad6c9031f58eda3930c6def1652f46c6a7f882c653485e3aa9f840d52,e49ff78850e7e16ac95d1308337ba5b539b7b91b7a8f7dd98ace3a2a1bc3eb8a
bilinear_0.125,0.125,bilinear,cgtnjyggtm,32,0.14874757628264063,"[[8,0.16318343056535742],[16,0.16087328948989013],[32,0.14874757628264063]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,cc9ce75e94673501da6de81c90cde651e67eb50c79eedbe6a0e59c74d8ead11e,74a2cbbcd1ac30de8e54479ad9001410ee8513e7d402b5bce8ffac1f7a956958
bilinear_0.125,0.125,bilinear,w68dtmpfyf,8,0.11977558866276758,"[[8,0.11977558866276758],[16,0.12707869803223276],[32,0.13077340902655127]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,9331ee694239c7705410b3ddbcac9ba040685f99b9e5a91399231c3bd7035989,103a88a103cdd5af5c9fdcfa6285291d5cd41cc8cd55e5cbe1594d8d56437193
bilinear_0.125,0.125,bilinear,xcmzfsbd9t,32,0.1523235289311727,"[[8,0.15267248987322135],[16,0.15549535493905822],[32,0.1523235289311727]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,ce67440bbacdd61b0c367f295f02e2da92ea64c3e28c1f174335934b1e5b2f06,735cd95643b3cafe38a034408f17fa18411986c1def1e14eec28aeda30a539d5
bilinear_0.125,0.125,bilinear,yfxyg8jm46,8,0.10859188407456796,"[[8,0.10859188407456796],[16,0.11418005149771433],[32,0.12896784973639425]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,303da06e2c3ad7aac4595c353fdf05054110194fe63564732ffd9645d9b72af1,8ef8d4d82d60a35728da65fa99e15e1c15cf32cb0630d3892f9f4663bc1034aa
bilinear_0.125,0.125,bilinear,ykhs7s2dck,8,0.1098674804884057,"[[8,0.1098674804884057],[16,0.11205892401623467],[32,0.11942738062052279]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,c3833c901db616bd7baa2474b439dca3a3fa991575f89f8e5cccc42dd3ce7534,c4c6ab9dff5c34a32ebc4a944edddc7e62d3c4a161ec1bc015f30edaf9825861
bicubic_0.125,0.125,bicubic,74t7kcdgkr,8,0.17761430971540035,"[[8,0.17761430971540035],[16,0.19212490659163883],[32,0.1977387920061937]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,808d165eb5980f9e742fbf8fa3e90f7c514c7d44360a4fd1f45d6e1efecfc7f7,8eeb95382a1f21038fdc0972a0b35b4defc5ce50760ce53fb697bbabfb0423b7
bicubic_0.125,0.125,bicubic,cgtnjyggtm,32,0.15125295890476204,"[[8,0.1652151577316831],[16,0.16049617680708456],[32,0.15125295890476204]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,8dea9b763dfe08d1f1089062e8c81a2c2d6988015a6b95d25ebacee5c4294b93,dbd822c6383ff37becb3af9c8c341dedf236b3b8fb91ec8ef17cd618255f2fe2
bicubic_0.125,0.125,bicubic,w68dtmpfyf,8,0.1217410521006765,"[[8,0.1217410521006765],[16,0.1307717658595323],[32,0.13048261698481015]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,e7cc3aaf028be2306c4bbe44f266b98ba7cc69a031cbd09784bdb578a4bd509c,d2337a0a69c119839b8ae29270baec220bf552d953bfea1bef0a2cd7f89fc696
bicubic_0.125,0.125,bicubic,xcmzfsbd9t,32,0.15196790249558315,"[[8,0.15391013890658928],[16,0.1558807252185299],[32,0.15196790249558315]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,f0f0ecafaf15ed10399893fcb05433459d07ca89951816bddda65998d6f15e14,1d6c67d63fc1a4fc069fd27b076b7073beb5da17575785d3012a656d704c420c
bicubic_0.125,0.125,bicubic,yfxyg8jm46,8,0.10838197518408152,"[[8,0.10838197518408152],[16,0.11487715893395123],[32,0.12439982852020981]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,bb1431ce468cc7a0c5312810e06c3a8a8ed98417ecf6b14760b074f26434fbfc,c52fc04cb3ff3346fbc7d9394060a4378e6d92af267cc69de19db81292e88463
bicubic_0.125,0.125,bicubic,ykhs7s2dck,8,0.11024719087834016,"[[8,0.11024719087834016],[16,0.11099616768234084],[32,0.12094905462093986]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,31b199a705d89f1edf814a71fa809dd9d4ff56ed30d2f2df2129b23eb4d7d893,70f27acdf4737ee1be8af145504103b5b1537047595fb59e3a287dd6c6ea78a3
