condition_id,nominal_density,interpolation,outer_domain,selected_pca_dimension,inner_equal_domain_mae,dimension_scores_json,outer_fit_domains_json,outer_fit_sample_count,source_p3_state_sha256,state_sha256
nearest_0.5,0.5,nearest,74t7kcdgkr,8,0.17818008999074386,"[[8,0.17818008999074386],[16,0.17946323480990364],[32,0.19754913907553512]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,acff79b936ddf194e765e7b672653eefd466b7b208dda86ec2c7791e96cba60a,328f5064b9ad8195d939de35ba912f5d6ca145ee787b953258e9d88f444f4f96
nearest_0.5,0.5,nearest,cgtnjyggtm,32,0.13616296875218806,"[[8,0.16368573221548546],[16,0.147255552034704],[32,0.13616296875218806]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,29683fbf84bc5850c1aa714b30c29c31b47668365469cbb280f72be0e3742d54,76a685e550072dfe72c161bc0318d98d003aa69689a2ddd9ca4b3f85d9235b39
nearest_0.5,0.5,nearest,w68dtmpfyf,16,0.11453325389111373,"[[8,0.11579611361853374],[16,0.11453325389111373],[32,0.13051034889293125]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,b6ced26cab73afdec379dd322e781ab66602b2fbd8c3b4987a8762cd1ce9f486,ccca1f393117b04c71e0533119ac3ccb173445a99baa2b58b3e782064846f32f
nearest_0.5,0.5,nearest,xcmzfsbd9t,32,0.14190285993192328,"[[8,0.1544376448633475],[16,0.1503915516491392],[32,0.14190285993192328]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,c1e822b8af1bb2270a79b6851836ffd4506e17b2110edae816d93721a8b2119d,22c642c3306e374706d2111d6e7752247eb7ad8f395e4625466d6792b4b81470
nearest_0.5,0.5,nearest,yfxyg8jm46,8,0.11204553292885225,"[[8,0.11204553292885225],[16,0.11403166174572181],[32,0.12745965654078512]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""ykhs7s2dck""]",234,fa951952e276106c4cbc64fc38b97dd9826568c4885222884878266b5b16ece4,114f4ab107b83246a8f82c8b1bddaf2b77d2787b4498340b92fb7780eb1b1d6c
nearest_0.5,0.5,nearest,ykhs7s2dck,8,0.10821003205471999,"[[8,0.10821003205471999],[16,0.11600190965746333],[32,0.11728362214781538]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46""]",238,5644c6507a1a18f8434d384bee7195e82d21a818c8ce3751b1c1bf16985111fd,05c8dcb1b39525e63e5486a2ca948dd5cfe939c181b594bc9f97cc0d4d92430f
bilinear_0.5,0.5,bilinear,74t7kcdgkr,16,0.17799359557515051,"[[8,0.18157162728856407],[16,0.17799359557515051],[32,0.18423997775065426]]","[""cgtnjyggtm"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",231,81c447c502de4759cd7a7ca9587446559aaa72727c99ef81c52314449dc79d8d,ada0f5b878a91b788ad037dcf2a5ca80896df1b47147b2e654261325a6739cc7
bilinear_0.5,0.5,bilinear,cgtnjyggtm,32,0.13174775949862666,"[[8,0.16274198477269233],[16,0.14877590054288126],[32,0.13174775949862666]]","[""74t7kcdgkr"",""w68dtmpfyf"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",227,eb0fe6903021b5b013735711a9dd95f0d8d0f3bc8b32f877d549a6c8ac25d0c3,5999a5e7daf3d13721e210d4bf59d2d86c471eede5c23334be1b1e86043fd7f6
bilinear_0.5,0.5,bilinear,w68dtmpfyf,8,0.11403751446020553,"[[8,0.11403751446020553],[16,0.11764993306202873],[32,0.12634930922619383]]","[""74t7kcdgkr"",""cgtnjyggtm"",""xcmzfsbd9t"",""yfxyg8jm46"",""ykhs7s2dck""]",233,e9ba21dff05f421a91005cfe4d7d6b135bbd40359397d278b54e9b0782baad65,33d0aecbcf9e1a2e3718bdf7df1f949c2ef0e257b4963fd5879722088deb3f62
bilinear_0.5,0.5,bilinear,xcmzfsbd9t,32,0.13248183101137467,"[[8,0.15240163055421282],[16,0.1416403503706714],[32,0.13248183101137467]]","[""74t7kcdgkr"",""cgtnjyggtm"",""w68dtmpfyf"",""yfxyg8jm46"",""ykhs7s2dck""]",217,49b21f3a8faa833533a63f3b51a1555e67477a2aa79ee25b2f8543747ae52fc8,a122fd64342bf2b0cdd6b36adde3e601033fdc7ea10ce4df1849cf94a9959603
