method,domain,mae,mae_mpa
equal_fusion,74t7kcdgkr,0.05123789388246482,14.214000582043958
equal_fusion,cgtnjyggtm,0.12774768308983708,55.40550192601065
equal_fusion,w68dtmpfyf,0.09753719363322771,38.379788326627114
equal_fusion,xcmzfsbd9t,0.07637551140153019,40.330372612192235
equal_fusion,yfxyg8jm46,0.12924226503555925,62.03514317116066
equal_fusion,ykhs7s2dck,0.061622701435239326,16.09425263417653
validation_weighted,74t7kcdgkr,0.051361108593106546,14.248181806838152
validation_weighted,cgtnjyggtm,0.12847760327522198,55.72207591983202
validation_weighted,w68dtmpfyf,0.09707296800936097,38.197120766528954
validation_weighted,xcmzfsbd9t,0.07685545851556734,40.583810469275804
validation_weighted,yfxyg8jm46,0.13226041469369032,63.483828290557476
validation_weighted,ykhs7s2dck,0.06179111148763878,16.13823697543915
stacking_ridge,74t7kcdgkr,0.053179060533874,14.75250327648075
stacking_ridge,cgtnjyggtm,0.1258181161340407,54.56862862154093
stacking_ridge,w68dtmpfyf,0.09880477341463481,38.87856670936852
stacking_ridge,xcmzfsbd9t,0.08358419260447998,44.13694350936133
stacking_ridge,yfxyg8jm46,0.1400665686431973,67.23071308664605
stacking_ridge,ykhs7s2dck,0.05764899437032995,15.056423329272167
stacking_nonnegative_ridge,74t7kcdgkr,0.05257827889631373,14.585839311612258
stacking_nonnegative_ridge,cgtnjyggtm,0.12607140870869998,54.67848425174643
stacking_nonnegative_ridge,w68dtmpfyf,0.09921386576495637,39.03953994661813
stacking_nonnegative_ridge,xcmzfsbd9t,0.08358419260448009,44.13694350936139
stacking_nonnegative_ridge,yfxyg8jm46,0.1383297278104872,66.39704486137123
stacking_nonnegative_ridge,ykhs7s2dck,0.0582096038387494,15.202839993970587
stacking_huber,74t7kcdgkr,0.05695501527464243,15.799997988230064
stacking_huber,cgtnjyggtm,0.1254864603126139,54.424786034275265
stacking_huber,w68dtmpfyf,0.09111411269278964,35.85237824113922
stacking_huber,xcmzfsbd9t,0.06993560577215369,36.92975651347103
stacking_huber,yfxyg8jm46,0.14655618386412464,70.34567094694974
stacking_huber,ykhs7s2dck,0.05511801817600002,14.395397938727722
stacking_selected,74t7kcdgkr,0.05695501527464243,15.799997988230064
stacking_selected,cgtnjyggtm,0.1254864603126139,54.424786034275265
stacking_selected,w68dtmpfyf,0.09921386576495637,39.03953994661813
stacking_selected,xcmzfsbd9t,0.06993560577215369,36.92975651347103
stacking_selected,yfxyg8jm46,0.14655618386412464,70.34567094694974
stacking_selected,ykhs7s2dck,0.05511801817600002,14.395397938727722
gmvr_selected,74t7kcdgkr,0.057234142748547885,15.877431266140697
gmvr_selected,cgtnjyggtm,0.12856722182019198,55.76094441705909
gmvr_selected,w68dtmpfyf,0.09801588368339914,38.56814747574028
gmvr_selected,xcmzfsbd9t,0.0760689331787212,40.168482842372356
gmvr_selected,yfxyg8jm46,0.13937584679731924,66.89917271485895
gmvr_selected,ykhs7s2dck,0.0647767930196073,16.918019616276396
