scheme,method,equal_group_mae,worst_group_mae
leave_ply_count_out,full,0.09795914047592547,0.11093486225570955
leave_ply_count_out,bilinear_50,0.10109334152650983,0.11153618710087394
leave_ply_count_out,bilinear_25,0.09969490878581515,0.11133752544976902
leave_ply_count_out,equal_fusion,0.09906832066988204,0.11104914372924644
leave_ply_count_out,validation_weighted,0.09845329764850767,0.110765632271428
leave_ply_count_out,stacking_selected,0.09294419325208081,0.10847983012122173
leave_ply_count_out,cooperative_selected,0.09143508088244945,0.11104914372924655
leave_ply_count_out,gmvr_selected,0.09120884837055054,0.11076563227142808
leave_layup_family_out,full,0.1872925033731498,0.24464555334534155
leave_layup_family_out,bilinear_50,0.18808657918969351,0.2474087012628691
leave_layup_family_out,bilinear_25,0.16976499193647399,0.19675078100519472
leave_layup_family_out,equal_fusion,0.18053556158259298,0.22740242778432557
leave_layup_family_out,validation_weighted,0.18808657918969351,0.2474087012628691
leave_layup_family_out,stacking_selected,0.1596371040023371,0.20176322268090943
leave_layup_family_out,cooperative_selected,0.15447118057808606,0.17527366577531178
leave_layup_family_out,gmvr_selected,0.15412321938392654,0.17948198165133508
