outer_domain,stacking_method,gmvr_lambda_consistency,gmvr_lambda_complementarity,gmvr_weights,gmvr_contributions,gmvr_candidates
74t7kcdgkr,huber,1.0,0.0,"[0.999999999999998, 1.1032854504819471e-15, 8.88178419700125e-16]","[0.745170775988097, 8.239972016783902e-16, 6.610003450249224e-16]","[[0.0, 0.09858581446155165], [0.001, 0.09863718883067427], [0.01, 0.09876431206262322], [0.1, 0.09878032765065095], [1.0, 0.09878192920945372]]"
cgtnjyggtm,huber,0.0,0.0,"[0.31054015319911976, 0.6894598468008802, 2.373395813016622e-19]","[0.23392913803753584, 0.5202397975695556, 1.7972855212792517e-19]","[[0.0, 0.07805217027062611], [0.001, 0.07820675768811834], [0.01, 0.07854113726963005], [0.1, 0.07860758883257778], [1.0, 0.07861504002576866]]"
w68dtmpfyf,nonnegative_ridge,1.0,0.0,"[0.0, 2.5887126188549404e-16, 0.9999999999999998]","[0.0, 1.8855250598832943e-16, 0.7258810765305427]","[[0.0, 0.08616685950812851], [0.001, 0.08625389550480426], [0.01, 0.08651528062505208], [0.1, 0.0865455720614852], [1.0, 0.0865486012051285]]"
xcmzfsbd9t,huber,1.0,1.0,"[0.3333784774148852, 0.3333360366211107, 0.33328548596400404]","[0.2611688216842495, 0.2614261613479549, 0.261743236852117]","[[0.0, 0.09838355329180806], [0.001, 0.09766214566995832], [0.01, 0.09759925756463461], [0.1, 0.09759296875410217], [1.0, 0.09759233987304891]]"
yfxyg8jm46,huber,0.0,0.0,"[0.42014682891265365, 0.0, 0.5798531710873464]","[0.33039162519211285, 0.0, 0.4537651903260307]","[[0.0, 0.07969066205747063], [0.001, 0.0797853670520666], [0.01, 0.07986836512797717], [0.1, 0.07987841647123978], [1.0, 0.0798794282728061]]"
ykhs7s2dck,huber,0.1,0.0,"[0.9999999999999999, 7.632783294297951e-17, 0.0]","[0.740730919238649, 5.664012425363582e-17, 0.0]","[[0.0, 0.09036051106234602], [0.001, 0.09063672254734595], [0.01, 0.09070720830934706], [0.1, 0.09071564741798215], [1.0, 0.0907164980014534]]"
