axis,outer_group,condition_id,selected_pca_dimension,source_equal_group_mae,dimension_scores_json
wavelet,w68dtmpfyf,wavelet:haar:low_plus_boundary_details:level=3,8,0.08805191987743817,"[[8,0.08805191987743817],[16,0.09543246856418822],[32,0.10157609240624414]]"
wavelet,w68dtmpfyf,wavelet:db4:low_plus_boundary_details:level=1,8,0.08688133296956364,"[[8,0.08688133296956364],[16,0.0920180876256058],[32,0.09924268138446814]]"
wavelet,w68dtmpfyf,wavelet:db4:low_plus_boundary_details:level=2,8,0.08721107705174366,"[[8,0.08721107705174366],[16,0.0930268858386394],[32,0.09850255767473544]]"
wavelet,w68dtmpfyf,wavelet:db4:low_plus_boundary_details:level=3,8,0.09063011151928865,"[[8,0.09063011151928865],[16,0.09409914371545017],[32,0.09943616254098778]]"
wavelet,xcmzfsbd9t,wavelet:db2:low_only:level=0,8,0.09896227978066927,"[[8,0.09896227978066927],[16,0.10348881997965012],[32,0.11294360786032878]]"
wavelet,xcmzfsbd9t,wavelet:db2:low_only:level=1,8,0.09846203690296872,"[[8,0.09846203690296872],[16,0.10386227225460865],[32,0.113478681922392]]"
wavelet,xcmzfsbd9t,wavelet:db2:low_only:level=2,8,0.10245963693866153,"[[8,0.10245963693866153],[16,0.10799896153308439],[32,0.11285751148736142]]"
wavelet,xcmzfsbd9t,wavelet:db2:low_only:level=3,8,0.1058081136127057,"[[8,0.1058081136127057],[16,0.10626986314089937],[32,0.11169015403668651]]"
wavelet,xcmzfsbd9t,wavelet:haar:low_only:level=1,8,0.0986271103986572,"[[8,0.0986271103986572],[16,0.10363170462138813],[32,0.11387275835403532]]"
wavelet,xcmzfsbd9t,wavelet:haar:low_only:level=2,8,0.09827395379092965,"[[8,0.09827395379092965],[16,0.10264997974878365],[32,0.11066860585148863]]"
wavelet,xcmzfsbd9t,wavelet:haar:low_only:level=3,32,0.10886757859630432,"[[8,0.11493265098579127],[16,0.11333253000730456],[32,0.10886757859630432]]"
wavelet,xcmzfsbd9t,wavelet:db4:low_only:level=1,8,0.09852077597627368,"[[8,0.09852077597627368],[16,0.1038992675682652],[32,0.1121883875522773]]"
wavelet,xcmzfsbd9t,wavelet:db4:low_only:level=2,8,0.10191382565980929,"[[8,0.10191382565980929],[16,0.10690628098627615],[32,0.11508532698421266]]"
wavelet,xcmzfsbd9t,wavelet:db4:low_only:level=3,8,0.10931158226306711,"[[8,0.10931158226306711],[16,0.11143722799359017],[32,0.11110040720004832]]"
wavelet,xcmzfsbd9t,wavelet:db2:low_plus_boundary_details:level=1,8,0.09896227978066927,"[[8,0.09896227978066927],[16,0.10348881997965012],[32,0.11294360786032878]]"
wavelet,xcmzfsbd9t,wavelet:db2:low_plus_boundary_details:level=2,8,0.09846204309071124,"[[8,0.09846204309071124],[16,0.10386172683300236],[32,0.11347764213606751]]"
