condition_id,value,coarse_rank,primary_eligible,wavelet,level,mode,normalized_retention_index,equal_domain_mae,ci_low,ci_high,full_equal_domain_mae,relative_gap,noninferior_025,noninferior_05,noninferior_075
wavelet:db2:low_only:level=0,0.0,0,true,db2,0,low_only,1.0,0.08963580465761434,0.08050113663254264,0.09925960962486584,0.08963580465761434,0.0,true,true,true
wavelet:db2:low_only:level=1,1.0,1,true,db2,1,low_only,0.6666666666666667,0.09035659934478674,0.08104304024926769,0.10018462072616763,0.08963580465761434,0.008041370186006017,true,true,true
wavelet:db2:low_only:level=2,2.0,2,true,db2,2,low_only,0.33333333333333337,0.09362017117160915,0.08399587827892696,0.103659445257578,0.08963580465761434,0.04445061356021805,false,true,true
wavelet:db2:low_only:level=3,3.0,3,true,db2,3,low_only,0.0,0.09563167268396168,0.08584443664778126,0.10597254083535994,0.08963580465761434,0.06689143974609267,false,false,true
wavelet:haar:low_only:level=1,1.0,1,false,haar,1,low_only,0.6666666666666667,0.0898662436110997,0.08071948348917146,0.09950439474599987,0.08963580465761434,0.0025708359998058475,true,true,true
wavelet:haar:low_only:level=2,2.0,2,false,haar,2,low_only,0.33333333333333337,0.09055376442950798,0.08172923344975505,0.09980897357811216,0.08963580465761434,0.010240994381653759,true,true,true
wavelet:haar:low_only:level=3,3.0,3,false,haar,3,low_only,0.0,0.10510795533350337,0.09507908252303925,0.11556198331343971,0.08963580465761434,0.17261127665433088,false,false,false
wavelet:db4:low_only:level=1,1.0,1,false,db4,1,low_only,0.6666666666666667,0.08974150235566049,0.08052547361846447,0.09947549733684043,0.08963580465761434,0.001179190597439142,true,true,true
wavelet:db4:low_only:level=2,2.0,2,false,db4,2,low_only,0.33333333333333337,0.0922544842055079,0.08267376343567755,0.10229158654698807,0.08963580465761434,0.029214659899537282,false,true,true
wavelet:db4:low_only:level=3,3.0,3,false,db4,3,low_only,0.0,0.09941427233610516,0.08972437265191172,0.10955928339835647,0.08963580465761434,0.10909109050609903,false,false,false
wavelet:db2:low_plus_boundary_details:level=1,1.0,1,false,db2,1,low_plus_boundary_details,0.6666666666666667,0.08963580465761434,0.08050113663254264,0.09925960962486584,0.08963580465761434,0.0,true,true,true
wavelet:db2:low_plus_boundary_details:level=2,2.0,2,false,db2,2,low_plus_boundary_details,0.33333333333333337,0.09035649424131774,0.08104288088460766,0.10018449530680197,0.08963580465761434,0.008040197624780076,true,true,true
wavelet:db2:low_plus_boundary_details:level=3,3.0,3,false,db2,3,low_plus_boundary_details,0.0,0.09362017117160915,0.08399587827892696,0.103659445257578,0.08963580465761434,0.04445061356021805,false,true,true
wavelet:haar:low_plus_boundary_details:level=1,1.0,1,false,haar,1,low_plus_boundary_details,0.6666666666666667,0.08963580465761434,0.08050113663254264,0.09925960962486584,0.08963580465761434,0.0,true,true,true
wavelet:haar:low_plus_boundary_details:level=2,2.0,2,false,haar,2,low_plus_boundary_details,0.33333333333333337,0.08988177159532405,0.08074096854560325,0.09951770523133886,0.08963580465761434,0.0027440701698305263,true,true,true
wavelet:haar:low_plus_boundary_details:level=3,3.0,3,false,haar,3,low_plus_boundary_details,0.0,0.09056039375702467,0.08173348811843696,0.0998177093339677,0.08963580465761434,0.010314952857756146,true,true,true
wavelet:db4:low_plus_boundary_details:level=1,1.0,1,false,db4,1,low_plus_boundary_details,0.6666666666666667,0.08963580465761434,0.08050113663254264,0.09925960962486584,0.08963580465761434,0.0,true,true,true
wavelet:db4:low_plus_boundary_details:level=2,2.0,2,false,db4,2,low_plus_boundary_details,0.33333333333333337,0.08974150235566049,0.08052547361846447,0.09947549733684043,0.08963580465761434,0.001179190597439142,true,true,true
wavelet:db4:low_plus_boundary_details:level=3,3.0,3,false,db4,3,low_plus_boundary_details,0.0,0.0922544842055079,0.08267376343567755,0.10229158654698807,0.08963580465761434,0.029214659899537282,false,true,true
