axis,condition_id,dataset_id,specimen_count,mae
sampling,sampling:density=1,74t7kcdgkr,45,0.052003607090763716
sampling,sampling:density=1,cgtnjyggtm,49,0.12486849958988919
sampling,sampling:density=1,w68dtmpfyf,43,0.09660573834513045
sampling,sampling:density=1,xcmzfsbd9t,59,0.07511512755876237
sampling,sampling:density=1,yfxyg8jm46,42,0.1274307438735015
sampling,sampling:density=1,ykhs7s2dck,38,0.06179111148763878
sampling,sampling:density=0.75,74t7kcdgkr,45,0.05158021807051683
sampling,sampling:density=0.75,cgtnjyggtm,49,0.12713992705117957
sampling,sampling:density=0.75,w68dtmpfyf,43,0.09716029352242293
sampling,sampling:density=0.75,xcmzfsbd9t,59,0.07433649343074042
sampling,sampling:density=0.75,yfxyg8jm46,42,0.1257657753082634
sampling,sampling:density=0.75,ykhs7s2dck,38,0.061983554516039104
sampling,sampling:density=0.625,74t7kcdgkr,45,0.050271906873153034
sampling,sampling:density=0.625,cgtnjyggtm,49,0.12543843462510326
sampling,sampling:density=0.625,w68dtmpfyf,43,0.09833366688086352
sampling,sampling:density=0.625,xcmzfsbd9t,59,0.07687173458054868
sampling,sampling:density=0.625,yfxyg8jm46,42,0.12791851950441374
sampling,sampling:density=0.625,ykhs7s2dck,38,0.06129640361200971
sampling,sampling:density=0.5,74t7kcdgkr,45,0.051842501614072625
sampling,sampling:density=0.5,cgtnjyggtm,49,0.13040575293423998
sampling,sampling:density=0.5,w68dtmpfyf,43,0.09892212874336609
sampling,sampling:density=0.5,xcmzfsbd9t,59,0.07953266323366459
sampling,sampling:density=0.5,yfxyg8jm46,42,0.12815006464119583
sampling,sampling:density=0.5,ykhs7s2dck,38,0.06368780865044542
sampling,sampling:density=0.375,74t7kcdgkr,45,0.047870484459962656
sampling,sampling:density=0.375,cgtnjyggtm,49,0.13297303523247708
sampling,sampling:density=0.375,w68dtmpfyf,43,0.09763133861645594
sampling,sampling:density=0.375,xcmzfsbd9t,59,0.0801338608338813
sampling,sampling:density=0.375,yfxyg8jm46,42,0.1339792743071003
sampling,sampling:density=0.375,ykhs7s2dck,38,0.06246051940358005
