annotation_status,channels,dataset_id,exif_orientation,format,height_px,image_frame_physical_extent_status,metadata_keys,metadata_status,mode,orientation_status,physical_extent_status,published_specimen_height_mm,published_specimen_width_mm,sha256,specimen_boundary_status,specimen_boundary_visibility,specimen_id,visible_annotations,width_px
UNKNOWN,3,74t7kcdgkr,,PNG,1500,UNRESOLVED_NO_EXPORT_TRANSFORM,,UNKNOWN,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,b8f9a8588f11cc4ac4aa30103c458ba872d04f4a945161206450534968c15bd4,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-5,UNKNOWN_NOT_MACHINE_VERIFIED,1500
UNKNOWN,3,74t7kcdgkr,,PNG,1500,UNRESOLVED_NO_EXPORT_TRANSFORM,,UNKNOWN,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,bf5971dfb981f6c3302d850db26b26785c575f3d51249a5e6625919bd101845a,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-16,UNKNOWN_NOT_MACHINE_VERIFIED,1500
UNKNOWN,3,74t7kcdgkr,,PNG,1500,UNRESOLVED_NO_EXPORT_TRANSFORM,,UNKNOWN,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,e92e5a2864fe8746d82e66df08a6a286cc7c3b37663027dcc8654557484f559f,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-4,UNKNOWN_NOT_MACHINE_VERIFIED,1500
UNKNOWN,3,74t7kcdgkr,,PNG,1500,UNRESOLVED_NO_EXPORT_TRANSFORM,,UNKNOWN,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,efe859284f43600acf564be72ea5ac98068fc77d3731dfb37ec95a0fb38873af,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-14,UNKNOWN_NOT_MACHINE_VERIFIED,1500
UNKNOWN,3,74t7kcdgkr,,PNG,1500,UNRESOLVED_NO_EXPORT_TRANSFORM,,UNKNOWN,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,f67bfde9af68c49a48379af0901ad719d22b62c7a71e15278aab1bfe1183fd83,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-8,UNKNOWN_NOT_MACHINE_VERIFIED,1500
UNKNOWN,3,74t7kcdgkr,,PNG,1500,UNRESOLVED_NO_EXPORT_TRANSFORM,,UNKNOWN,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,fba37c14b99ff92f65675a2c8fb574d3cd7fb506cfd8178361e624381c9bfc0d,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-2,UNKNOWN_NOT_MACHINE_VERIFIED,1500
UNKNOWN,3,74t7kcdgkr,,PNG,1679,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,3180ac8f58ece64ab33ba77aff88e3d4a5dca55a350cd9738feab53d772e1b79,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-10t,UNKNOWN_NOT_MACHINE_VERIFIED,1679
UNKNOWN,3,74t7kcdgkr,,PNG,1679,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,47e954202acbcb218b708527073ed58754a255f35ea468285ae9594635378883,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-8t,UNKNOWN_NOT_MACHINE_VERIFIED,1679
UNKNOWN,3,74t7kcdgkr,,PNG,1679,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,4c531a8d3c33e8cb668f779c975753a699d433e760201dd9b35f09da601cc9cc,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-6t,UNKNOWN_NOT_MACHINE_VERIFIED,1679
UNKNOWN,3,74t7kcdgkr,,PNG,1679,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,870ebb51c5ebc4165e5c35563664017e287b7318ff5032aa1e23b25e76b19e8d,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-12t,UNKNOWN_NOT_MACHINE_VERIFIED,1679
UNKNOWN,3,74t7kcdgkr,,PNG,1680,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,4a9fdaef1fcff524d1a20b72110e209c00b7006406662cf2d2b3e9ee87581284,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-9t,UNKNOWN_NOT_MACHINE_VERIFIED,1680
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,04bf38f0af77606bb6c58205ba4b04119eea06c06dce5c9d3b08c10c0b4abc28,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-25,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,10b9fe62ebd5840c5a592b4f2fb96692ad6d80e90f51c3d47acfe5ece07f2200,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-39,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,1eb1caa9ea96baa33c52e4f3411c714991996620639480a3bf638acfb347b504,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-19,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,2026cfc1c6ab67bd5747beb82f865ba504312de6c6bc3da8a35ac98428b7306c,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-22,UNKNOWN_NOT_MACHINE_VERIFIED,3357
UNKNOWN,3,74t7kcdgkr,,PNG,3357,UNRESOLVED_NO_EXPORT_TRANSFORM,dpi;gamma;srgb,OBSERVED,RGB,UNKNOWN_NO_SOURCE_TRANSFORM,UNKNOWN,80.0,80.0,24e38e280270b8ecc32da327dc06f0f1c88be32a8481e4885a2a07d203d3cc22,UNKNOWN,UNKNOWN_NOT_MACHINE_VERIFIED,c8-24,UNKNOWN_NOT_MACHINE_VERIFIED,3357
