cscan_frame,dataset_id,evidence_class,offset_x,offset_y,orientation,reason,scale_x,scale_y,source_frame,specimen_id,status,transform_sha256
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-27,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-28,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-29,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-3,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-30,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-32,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-33,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-34,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-35,UNRESOLVED,
REGISTERED_CSCAN_CROP_NATIVE_RASTER,74t7kcdgkr,NONE_AUTHORIZED,,,UNRESOLVED_8_WAY_AMBIGUITY,NO_SOURCE_SUPPORTED_CROSS_INSTRUMENT_TRANSFORM,,,IMPACTED_SURFACE_NATIVE_RASTER,c8-36,UNRESOLVED,
