artifact,specimen_id,dataset_id,method,protocol,cell_index,cell_row,cell_column,step,nominal_checkpoint,effective_budget,value,value_percentile,mae,q05,q95,native_row,native_column,red,green,blue
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,0,242,241,237
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,4,130,125,131
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,10,128,128,120
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,14,130,126,125
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,20,127,128,122
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,24,127,127,127
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,30,127,128,123
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,36,130,127,120
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,42,130,127,122
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,46,130,126,125
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,52,128,126,129
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,56,128,128,118
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,62,128,126,131
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,66,135,131,132
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,72,142,137,133
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,78,131,125,125
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,84,130,127,122
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,88,130,126,125
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,94,139,134,138
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,98,130,127,120
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,104,130,127,118
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,108,145,142,135
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,114,131,126,130
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,120,139,135,132
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,126,127,123,122
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,130,132,128,127
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,136,131,127,124
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,140,131,128,123
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,146,130,126,127
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,150,132,128,127
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,156,131,127,126
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,162,131,127,124
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,168,132,128,127
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,173,132,128,129
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,179,129,129,119
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,185,129,127,128
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,191,126,125,121
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,195,131,128,123
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,201,128,124,121
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,207,133,129,130
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,213,129,126,119
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,217,129,126,121
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,223,131,127,124
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,227,129,127,128
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,233,129,128,126
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,237,130,129,125
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,243,131,127,126
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,249,131,127,126
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,255,132,128,127
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,259,120,118,105
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,265,151,147,148
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,275,131,132,126
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,285,134,132,120
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,291,133,129,128
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,297,132,128,129
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,307,136,131,125
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,317,129,124,120
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,327,129,128,124
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,333,129,128,126
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,0,339,132,129,120
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,0,210,209,205
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,4,248,250,228
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,10,255,253,250
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,14,255,254,250
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,20,254,253,255
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,24,254,253,255
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,30,254,253,255
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,36,255,253,254
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,42,255,253,254
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,46,255,254,250
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,52,255,255,245
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,56,254,255,249
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,62,251,255,249
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,66,233,235,232
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,72,253,254,249
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,78,254,253,255
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,84,253,254,255
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,88,253,254,255
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,94,254,255,253
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,98,253,254,255
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,104,253,254,255
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,108,246,246,254
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,114,252,254,253
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,120,234,236,231
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,126,254,255,255
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,130,254,253,255
O1,c8-2,74t7kcdgkr,,,,,,,0.03125,0.03132613992342499,,,,,,4,136,252,252,255
