scope,specimen_id,dataset_id,target,prediction,absolute_error,draw_count,mean_normalized_std,p99_normalized_std,high_uncertainty_fraction,cai_prediction_std,draw_minimum,draw_maximum,target_in_draw_range,registered_endpoint
posthoc_descriptive,c8-2,74t7kcdgkr,0.590679796318227,0.6499051146016932,0.05922531828346622,8,0.027647635081783556,0.046101778622607725,8.138020833333333e-05,0.011404869708448163,0.6318627162427283,0.666613200963644,False,False
posthoc_descriptive,c8-3,74t7kcdgkr,0.768169240075059,0.7518319984547194,0.01633724162033967,8,0.018853261422485373,0.04257502322764167,0.0,0.006099568348517315,0.7396765167483029,0.7607080841205255,False,False
posthoc_descriptive,c8-4,74t7kcdgkr,0.67133902411276,0.8142941965941828,0.14295517248142275,8,0.017143736631709202,0.05560887035257628,0.0005696614583333334,0.011028945617554482,0.8003996930005914,0.8335847651156405,False,False
posthoc_descriptive,c8-5,74t7kcdgkr,0.709797857464799,0.8009573474918359,0.09115949002703694,8,0.015301292839366328,0.030846761771990572,8.138020833333333e-05,0.011067995367456448,0.7848981499823181,0.8219239226873716,False,False
posthoc_descriptive,c8-6,74t7kcdgkr,0.665812493429908,0.7888160103103742,0.12300351688046618,8,0.018449475981295496,0.041550376934165204,8.138020833333333e-05,0.003552544862650009,0.7811987690744046,0.7939321958799052,False,False
posthoc_descriptive,c8-6t,74t7kcdgkr,0.72023542705518,0.6876169799108773,0.03261844714430262,8,0.01350040804871619,0.03125882401435016,0.0,0.006148414801956285,0.6786558377978439,0.6975299603811481,False,False
posthoc_descriptive,c8-7,74t7kcdgkr,0.614975641331092,0.7246871525414258,0.10971151121033385,8,0.01690625921183547,0.056496826154310946,0.00048828125,0.007304553531291012,0.7178358922625641,0.7418584645426683,False,False
posthoc_descriptive,c8-8,74t7kcdgkr,0.657871087693968,0.7145408014089722,0.05666971371500429,8,0.018180838018641277,0.039650142242594257,8.138020833333333e-05,0.009471518404798037,0.7006359160563715,0.7342800150408361,False,False
posthoc_descriptive,c8-8t,74t7kcdgkr,0.779954142004722,0.811715729063665,0.03176158705894294,8,0.019543648297918364,0.03028846778513309,0.0,0.006127119552705,0.8030136357702098,0.8216030594718566,False,False
posthoc_descriptive,c8-9,74t7kcdgkr,0.724871977585279,0.7085881815306498,0.01628379605462915,8,0.018148607522997625,0.04726262783587209,0.0,0.00758564882358261,0.6952721010397849,0.7198361271842911,False,False
posthoc_descriptive,c8-9t,74t7kcdgkr,0.685375232578153,0.6157472455502779,0.0696279870278751,8,0.01742466220247989,0.03806173069255227,0.0,0.011393743594243002,0.595621720939749,0.6304383253106112,False,False
posthoc_descriptive,c8-10t,74t7kcdgkr,0.735989858984761,0.6300077098665356,0.10598214911822534,8,0.011273860488633764,0.022695006235101206,8.138020833333333e-05,0.009971406214007527,0.6158540364019339,0.6451467210507869,False,False
posthoc_descriptive,c8-11,74t7kcdgkr,0.709153046091097,0.7562131341700827,0.04706008807898576,8,0.015397055231784959,0.05626294373556689,0.0003255208333333333,0.005125909243913353,0.7501882304879661,0.7634834941877774,False,False
posthoc_descriptive,c8-12,74t7kcdgkr,0.713637224113957,0.7562320540628391,0.042594829948882085,8,0.021308831333820128,0.03626157504454852,8.138020833333333e-05,0.006096255949638037,0.7437924933546035,0.76344948426486,False,False
posthoc_descriptive,c8-12t,74t7kcdgkr,0.930552712894455,0.9132898684011173,0.017262844493337703,8,0.015838889048536812,0.026024647218348563,8.138020833333333e-05,0.005679542656290669,0.9057226753935611,0.9249648130150131,False,False
posthoc_descriptive,c8-13,74t7kcdgkr,0.960865051801075,0.969287130449603,0.008422078648528064,8,0.015959611286740446,0.05495962961772537,0.0004069010416666667,0.007167159857548471,0.9579782169758647,0.9777738489774525,True,False
posthoc_descriptive,c8-14,74t7kcdgkr,0.955238217270527,0.9643180986785564,0.0090798814080294,8,0.02855126756363745,0.044881067422644576,0.000244140625,0.007819680518388224,0.9529932243031985,0.9753864925394702,True,False
posthoc_descriptive,c8-15,74t7kcdgkr,0.99383571597615,0.929032764147964,0.06480295182818596,8,0.01717798416954475,0.03862903449540181,8.138020833333333e-05,0.006943355056899204,0.9171856808486624,0.9407557592474951,False,False
