dataset_id,p1_surface_mae,p1_full_field_mae,p1_surface_minus_full_field,p2_D0_mae,p2_MSPD_mae,p2_D0_minus_MSPD
74t7kcdgkr,0.14026076733200757,0.058736787700541755,0.08152397963146582,0.14797845462602477,0.15717955823333765,-0.009201103607312883
cgtnjyggtm,0.12215155937309541,0.12469936856113768,-0.0025478091880422743,0.17367654937816115,0.13883020197459106,0.034846347403570094
w68dtmpfyf,0.12411388685633379,0.10590233068767310,0.018211556168660686,0.09740370338086550,0.11424985330967555,-0.016846149928810047
xcmzfsbd9t,0.10065290445265158,0.090589419972691015,0.010063484479960569,0.13620362954108067,0.13619358039160245,0.000010049149478219555
yfxyg8jm46,0.16338072761187408,0.12702193559341912,0.036358792018454961,0.16941220318005484,0.15752099423618829,0.011891208943866555
ykhs7s2dck,0.47816484074436777,0.26398629662535683,0.21417854411901094,0.16549937522567651,0.14758586203555568,0.017913513190120828
