schema_version,task,metric,treatment,comparator,estimate,ci_lower,ci_upper,physical_specimen_count,domain_count,bootstrap_replicates,proxy_scope,formal_estimate
1,LOCATE,ausc_any,L_CTG,R_BALANCED,-0.2167273564882922,-0.33755604322579,-0.08945550369111774,24,6,5000,SAME_READER_SELF_CONSISTENCY,
1,LOCATE,ausc_any,L_CTG,L_BC,-0.396863046646867,-0.4790536006579709,-0.3050486656679152,24,6,5000,SAME_READER_SELF_CONSISTENCY,
1,CHARACTERIZE,ausc_any,L_CTG,R_BALANCED,-0.15809508102152697,-0.2199551194074304,-0.09837919155281301,24,6,5000,SAME_READER_SELF_CONSISTENCY,
1,CHARACTERIZE,ausc_any,L_CTG,L_BC,-0.23898392827630768,-0.3052281530719421,-0.17432245677023647,24,6,5000,SAME_READER_SELF_CONSISTENCY,
