figure_id,panel,method,outer_domain,epoch,nominal_checkpoint,x_value,y_value,y_lower,y_upper,value_name
A5_error_budget,P-B,center_first,,,0.03125,3.125,0.10431704919385637,,,equal_domain_mae
A5_error_budget,P-B,center_first,,,0.0625,6.25,0.10034401103409198,,,equal_domain_mae
A5_error_budget,P-B,center_first,,,0.09375,9.375,0.0939757502431142,,,equal_domain_mae
A5_error_budget,P-B,center_first,,,0.125,12.5,0.09346008486522712,,,equal_domain_mae
A5_error_budget,P-B,center_first,,,0.1875,18.75,0.08920962546863827,,,equal_domain_mae
A5_error_budget,P-B,center_first,,,0.25,25.0,0.09049950562983522,,,equal_domain_mae
A5_error_budget,P-B,observed_gradient,,,0.03125,3.125,0.10026509116277295,,,equal_domain_mae
A5_error_budget,P-B,observed_gradient,,,0.0625,6.25,0.09692537935922561,,,equal_domain_mae
A5_error_budget,P-B,observed_gradient,,,0.09375,9.375,0.09213642610534432,,,equal_domain_mae
A5_error_budget,P-B,observed_gradient,,,0.125,12.5,0.09164305350791796,,,equal_domain_mae
A5_error_budget,P-B,observed_gradient,,,0.1875,18.75,0.08956677953462211,,,equal_domain_mae
A5_error_budget,P-B,observed_gradient,,,0.25,25.0,0.09297789101576903,,,equal_domain_mae
A5_error_budget,P-B,observed_uncertainty,,,0.03125,3.125,0.10118892865041929,,,equal_domain_mae
A5_error_budget,P-B,observed_uncertainty,,,0.0625,6.25,0.09591917512904963,,,equal_domain_mae
A5_error_budget,P-B,observed_uncertainty,,,0.09375,9.375,0.09210492941001858,,,equal_domain_mae
A5_error_budget,P-B,observed_uncertainty,,,0.125,12.5,0.09049766918818479,,,equal_domain_mae
A5_error_budget,P-B,observed_uncertainty,,,0.1875,18.75,0.08945981249166297,,,equal_domain_mae
A5_error_budget,P-B,observed_uncertainty,,,0.25,25.0,0.09237940511777669,,,equal_domain_mae
A5_error_budget,P-B,imitation_policy,,,0.03125,3.125,0.09716473121697244,,,equal_domain_mae
A5_error_budget,P-B,imitation_policy,,,0.0625,6.25,0.08986699537750031,,,equal_domain_mae
A5_error_budget,P-B,imitation_policy,,,0.09375,9.375,0.09177959813715712,,,equal_domain_mae
A5_error_budget,P-B,imitation_policy,,,0.125,12.5,0.09033852959392276,,,equal_domain_mae
A5_error_budget,P-B,imitation_policy,,,0.1875,18.75,0.09097949444144737,,,equal_domain_mae
A5_error_budget,P-B,imitation_policy,,,0.25,25.0,0.09277147694141824,,,equal_domain_mae
A5_error_budget,P-B,uniform,,,0.03125,3.125,0.09838443694915028,,,equal_domain_mae
A5_error_budget,P-B,uniform,,,0.0625,6.25,0.0948415401772027,,,equal_domain_mae
A5_error_budget,P-B,uniform,,,0.09375,9.375,0.09587551896628616,,,equal_domain_mae
A5_error_budget,P-B,uniform,,,0.125,12.5,0.09461627653258498,,,equal_domain_mae
A5_error_budget,P-B,uniform,,,0.1875,18.75,0.09020137290363867,,,equal_domain_mae
A5_error_budget,P-B,uniform,,,0.25,25.0,0.09000720724583768,,,equal_domain_mae
A5_error_budget,P-B,random_median,,,0.03125,3.125,0.09907711558669288,0.09810797483683201,0.10106258754975887,equal_domain_mae
A5_error_budget,P-B,random_median,,,0.0625,6.25,0.09488502159684802,0.0936513796239161,0.09719389417258842,equal_domain_mae
A5_error_budget,P-B,random_median,,,0.09375,9.375,0.0955205482818337,0.09357202824891153,0.09802215255586426,equal_domain_mae
A5_error_budget,P-B,random_median,,,0.125,12.5,0.09436754296661382,0.0925585366647234,0.09637084364255127,equal_domain_mae
A5_error_budget,P-B,random_median,,,0.1875,18.75,0.09250571369805213,0.09005931296094054,0.0962833765099785,equal_domain_mae
A5_error_budget,P-B,random_median,,,0.25,25.0,0.09427199369127115,0.09170603848444857,0.09839304932018439,equal_domain_mae
A5_error_budget,P-B,global_mechanical_mask,,,0.03125,3.125,0.09993977933250185,,,equal_domain_mae
A5_error_budget,P-B,global_mechanical_mask,,,0.0625,6.25,0.09446366676153874,,,equal_domain_mae
A5_error_budget,P-B,global_mechanical_mask,,,0.09375,9.375,0.09643250387049113,,,equal_domain_mae
A5_error_budget,P-B,global_mechanical_mask,,,0.125,12.5,0.09848826022895428,,,equal_domain_mae
