figure_id,panel_id,path,source_png,width_px,height_px,aspect_ratio,sha256,bytes
figure1,full,figure1/figure1_panel_full.png,figure1_task_relevant_acquisition_framework.png,2125,915,2.32240437,3942e2283963ac9f3e1788d8ea36f012866c4185d9ea2cdf569506e7858b3413,108247
figure2,a,figure2/figure2_panel_a.png,figure2_information_characterization.png,776,660,1.17575758,489c8b312365ab114b7e192525319c8cc64a8e4f804d2f99281de7e183be52fd,49694
figure2,b,figure2/figure2_panel_b.png,figure2_information_characterization.png,687,548,1.25364964,b2f93a2b643df01be11417392eeb1659ee0a12efc84a4ae9212170c49940980d,142943
figure2,c,figure2/figure2_panel_c.png,figure2_information_characterization.png,603,664,0.90813253,5fe2c3949d10c19603a0e934c2e483aec31074665c628118b4e2700e13966280,29591
figure2,d,figure2/figure2_panel_d.png,figure2_information_characterization.png,518,548,0.94525547,ff5c168023221bcf74295f016276801a84b43da8b6ede7aa05f42dfe52e372fb,87139
figure2,e,figure2/figure2_panel_e.png,figure2_information_characterization.png,552,635,0.86929134,1490b565f2703e85573953ff07097ccb9b659e231c8f7830431d34091b30646c,96768
figure2,f,figure2/figure2_panel_f.png,figure2_information_characterization.png,518,548,0.94525547,ffe2f164e24e2fbd2a1a733f066593ef52f6e132dca361da83a3021a7faec0bf,79440
figure3,a,figure3/figure3_panel_a.png,figure3_state_conditioned_value.png,518,554,0.93501805,6a13629c4549b5063abc98a77c413b8ceb935a0e8bedd3c59e5d498fd2e15ea5,86871
figure3,b,figure3/figure3_panel_b.png,figure3_state_conditioned_value.png,530,686,0.77259475,1f8143afad6986aa0aed8d6d9c0ee42871c1af578207c507adee6ad74af1d9ae,109960
figure3,c,figure3/figure3_panel_c.png,figure3_state_conditioned_value.png,517,553,0.93490054,99539a05ba20c05460731fb5069d1699406ea23ee0b59434b34d59333d9c56ff,196107
figure3,d,figure3/figure3_panel_d.png,figure3_state_conditioned_value.png,697,681,1.02349486,25a9d79545ad3e8a797f6fe58f38d5efb9eabab9ef1a37a4a709cff900847639,51598
figure3,e,figure3/figure3_panel_e.png,figure3_state_conditioned_value.png,687,677,1.01477105,580cbcd00696dc653ebb856f33ac415b55f244e6ff23c7ceaaa89ce57c258466,41420
figure3,f,figure3/figure3_panel_f.png,figure3_state_conditioned_value.png,587,677,0.86706056,5f80a2f1c70d4ad23e5b5e95848ab5f36544e2cc80e0eb469a342d9d10328d71,30655
figure4,a,figure4/figure4_panel_a.png,figure4_valuation_planning_realization.png,1113,679,1.63917526,9c9b30dd5967c108d795b2be0bd5f37d7d8266e140fd3bebbe74d482720311b3,49697
figure4,b,figure4/figure4_panel_b.png,figure4_valuation_planning_realization.png,872,680,1.28235294,fe33d4f001c6fd44fa50f77fc80c2a7d67b34d8e15d5310f857e29d58eb4cb5b,34941
figure4,c,figure4/figure4_panel_c.png,figure4_valuation_planning_realization.png,1108,679,1.63181149,c9a70555cc3b79abcb215a172f9b2369c24c235faf493bb0b0bf078ee0dc7450,48171
figure4,d,figure4/figure4_panel_d.png,figure4_valuation_planning_realization.png,888,679,1.30780560,3960de7dba9f875a480bc2a5b3ff9fbec40ceba1138ec394fca073a75fa9ef1f,36617
