mode,domain_count,domain_balanced_auebc,worst_domain_auebc
positions_only,6,0.10721436651870499,0.14288203612567402
real,6,0.1250432019430529,0.15135789863933666
reconstruction,6,0.08768187176917998,0.11408306703849991
shuffled,6,0.12912482993024202,0.15677142876015063
static,6,0.13727576015259432,0.18016138078469449
