outer_domain,specimen_id,mode,nominal_checkpoint,mean_exact_acquired_cost,mean_effective_budget,mae,trajectory_count,state_count
74t7kcdgkr,c8-10t,positions_only,0.03125,14161.0,0.031126497417298605,0.025300982635479974,5,5
74t7kcdgkr,c8-10t,positions_only,0.0625,27378.8,0.06017979997801957,0.026777623104388713,5,5
74t7kcdgkr,c8-10t,positions_only,0.09375,41646.4,0.09154060885811628,0.02810356808353869,5,5
74t7kcdgkr,c8-10t,positions_only,0.125,55977.6,0.12304121332014506,0.029316936291923536,5,5
74t7kcdgkr,c8-10t,positions_only,0.1875,84553.2,0.18585163204747773,0.031582036768772984,5,5
74t7kcdgkr,c8-10t,positions_only,0.25,112623.2,0.2475507198593252,0.03377635231240961,5,5
74t7kcdgkr,c8-10t,real,0.03125,14161.0,0.031126497417298605,0.1612292959759618,5,5
74t7kcdgkr,c8-10t,real,0.0625,27378.8,0.06017979997801957,0.16239680603804604,5,5
74t7kcdgkr,c8-10t,real,0.09375,41646.4,0.09154060885811628,0.16253753870359142,5,5
74t7kcdgkr,c8-10t,real,0.125,55977.6,0.12304121332014506,0.16218001380626582,5,5
74t7kcdgkr,c8-10t,real,0.1875,84553.2,0.18585163204747773,0.16082264370301955,5,5
74t7kcdgkr,c8-10t,real,0.25,112623.2,0.2475507198593252,0.15913069817066738,5,5
74t7kcdgkr,c8-10t,reconstruction,0.03125,14161.0,0.031126497417298605,0.2633762401652566,5,5
74t7kcdgkr,c8-10t,reconstruction,0.0625,27378.8,0.06017979997801957,0.25474370257640166,5,5
74t7kcdgkr,c8-10t,reconstruction,0.09375,41646.4,0.09154060885811628,0.246535655748017,5,5
74t7kcdgkr,c8-10t,reconstruction,0.125,55977.6,0.12304121332014506,0.25075355529472054,5,5
74t7kcdgkr,c8-10t,reconstruction,0.1875,84553.2,0.18585163204747773,0.2593523832575331,5,5
74t7kcdgkr,c8-10t,reconstruction,0.25,112623.2,0.2475507198593252,0.2728978285114042,5,5
74t7kcdgkr,c8-10t,shuffled,0.03125,14161.0,0.031126497417298605,0.05738690424446702,5,5
74t7kcdgkr,c8-10t,shuffled,0.0625,27378.8,0.06017979997801957,0.05782753537166676,5,5
74t7kcdgkr,c8-10t,shuffled,0.09375,41646.4,0.09154060885811628,0.05864253839218061,5,5
74t7kcdgkr,c8-10t,shuffled,0.125,55977.6,0.12304121332014506,0.05959036747823317,5,5
74t7kcdgkr,c8-10t,shuffled,0.1875,84553.2,0.18585163204747773,0.06157465660359325,5,5
74t7kcdgkr,c8-10t,shuffled,0.25,112623.2,0.2475507198593252,0.06359604870662346,5,5
74t7kcdgkr,c8-10t,static,0.03125,14161.0,0.031126497417298605,0.12520817977565069,5,5
74t7kcdgkr,c8-10t,static,0.0625,27378.8,0.06017979997801957,0.12520817977565069,5,5
74t7kcdgkr,c8-10t,static,0.09375,41646.4,0.09154060885811628,0.12520817977565069,5,5
74t7kcdgkr,c8-10t,static,0.125,55977.6,0.12304121332014506,0.12520817977565069,5,5
74t7kcdgkr,c8-10t,static,0.1875,84553.2,0.18585163204747773,0.12520817977565069,5,5
74t7kcdgkr,c8-10t,static,0.25,112623.2,0.2475507198593252,0.12520817977565069,5,5
74t7kcdgkr,c8-11,positions_only,0.03125,3720.0,0.03126681011296396,0.08826090911395734,5,5
74t7kcdgkr,c8-11,positions_only,0.0625,7199.6,0.06051304464766003,0.08689783775295926,5,5
74t7kcdgkr,c8-11,positions_only,0.09375,11016.8,0.0925968262506724,0.08616322741505741,5,5
74t7kcdgkr,c8-11,positions_only,0.125,14798.0,0.1243780258203335,0.08576429183393493,5,5
74t7kcdgkr,c8-11,positions_only,0.1875,22171.6,0.18635355029585798,0.08547891332428878,5,5
74t7kcdgkr,c8-11,positions_only,0.25,29651.8,0.24922505379236148,0.08558605631362168,5,5
74t7kcdgkr,c8-11,real,0.03125,3720.0,0.03126681011296396,0.18834574669968052,5,5
74t7kcdgkr,c8-11,real,0.0625,7199.6,0.06051304464766003,0.1885711810913463,5,5
74t7kcdgkr,c8-11,real,0.09375,11016.8,0.0925968262506724,0.1881780069501475,5,5
74t7kcdgkr,c8-11,real,0.125,14798.0,0.1243780258203335,0.18759256815567366,5,5
74t7kcdgkr,c8-11,real,0.1875,22171.6,0.18635355029585798,0.18608318056095907,5,5
74t7kcdgkr,c8-11,real,0.25,29651.8,0.24922505379236148,0.1843654984571372,5,5
74t7kcdgkr,c8-11,reconstruction,0.03125,3720.0,0.03126681011296396,0.017759810439271884,5,5
74t7kcdgkr,c8-11,reconstruction,0.0625,7199.6,0.06051304464766003,0.04445375517369783,5,5
74t7kcdgkr,c8-11,reconstruction,0.09375,11016.8,0.0925968262506724,0.044475374265788514,5,5
