dataset_id,method,model_state_sha256,ndcg_10,next_action_regret,one_step_cai_utility,outer_domain,recall_5,spearman,specimen_id,top_10_percent_overlap,top_1_oracle_match,cai_auebc,p_a_cai_auebc
74t7kcdgkr,old_refit_diagnostic,bddfb1b67a1bcfa496aecc580a0738575ad6c81d6eaaa25dfe31d2feabb765b8,0.8106511546755613,0.00421130062261299,0.013548254939916626,74t7kcdgkr,0.6,0.36882624649735674,c8-11,0.5714285714285714,0.0,0.04301035545370613,0.07472506104766595
74t7kcdgkr,proposed,e04f480e5a79866e8063dd9b22342a87dae7c0aa8c49443f73904fa9dcf8fa2a,0.8258778363392564,0.00421130062261299,0.013548254939916626,74t7kcdgkr,0.6,0.34518471318150135,c8-11,0.5714285714285714,0.0,0.051938551728695964,0.07989652856592601
74t7kcdgkr,c0_mvd_m1_o2,1fe445c54ec43cb743cbfcccf67e5c186010fd43875f92a03b3013e7412c5fa9,0.8852578463746967,0.0,0.02844536389676544,74t7kcdgkr,1.0,0.15206043956043955,c8-12,0.7142857142857143,1.0,0.02604720389323904,0.017131576425412538
74t7kcdgkr,c1_center_prior,4a3dcc731fce138708ea3f9ca14556d94d634537a1f5e169cec51b4497c25e2f,0.586404520991233,0.033466778502615036,-0.0050214146058495945,74t7kcdgkr,0.6,0.12458890792658309,c8-12,0.42857142857142855,0.0,0.05384182173493026,0.01932880744522375
74t7kcdgkr,c2_global_context,4a12060f4523454c79e4ee047c97a9257b0bb4b33a4b898ba8753efaa0b7d202,0.8762923027351346,0.0,0.02844536389676544,74t7kcdgkr,0.8,0.13333333333333333,c8-12,0.7142857142857143,1.0,0.021521937654262052,0.020687814203189058
74t7kcdgkr,c3_shuffled_global,269a557c696ddd0d8ea53958392012be46f551c5f322942856fc1a4447b518b7,0.8762923027351346,0.0,0.02844536389676544,74t7kcdgkr,0.8,0.13333333333333333,c8-12,0.7142857142857143,1.0,0.021521937654262052,0.020687814203189058
74t7kcdgkr,c3_shuffled_surface,301523816c6246c3a7a28de6c929d9cbc9dcc32459c353fe142bbd4d8dc684dc,0.8852578463746967,0.0,0.02844536389676544,74t7kcdgkr,1.0,0.15206043956043955,c8-12,0.7142857142857143,1.0,0.02604720389323904,0.017131576425412538
74t7kcdgkr,c4_wrong_orientation,94787ce1628d4d8314bdfb5dfa10bb84c55daeedc20d673be61abe7dd25685a6,0.8852578463746967,0.0,0.02844536389676544,74t7kcdgkr,1.0,0.15206043956043955,c8-12,0.7142857142857143,1.0,0.02604720389323904,0.017131576425412538
74t7kcdgkr,c5_spatial_derangement,8aa6232c48f925ecd4fb3fd48293277d9a51d7e23344cc27766e5d277d7eea1f,0.8852578463746967,0.0,0.02844536389676544,74t7kcdgkr,1.0,0.15206043956043955,c8-12,0.7142857142857143,1.0,0.026047200465302723,0.017131592064354422
74t7kcdgkr,mechanical_oracle_diagnostic,bed84aecc69db248258ddf78030b2959034f6e13a693ca01cafd931e9bb029e5,1.0,0.0,0.02844536389676544,74t7kcdgkr,1.0,0.9999999999999998,c8-12,1.0,1.0,0.04844370482553594,0.011544631741123884
