alpha,candidate_id,family,feature_control,fit_domains,lambda,method,model_state_sha256,ndcg_10,next_action_regret,outer_domain,parameter_count,representation,role,selected,stage,validation_domain,validation_specimen_count
100.0,LOCAL,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.6198671616875353,0.019139726276654334,74t7kcdgkr,1034,LOCAL,source_validation,false,CORRECT_ROUTE,cgtnjyggtm,49
100.0,LOCAL,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.7107492486682238,0.015034953077231149,74t7kcdgkr,1034,LOCAL,source_validation,false,CORRECT_ROUTE,w68dtmpfyf,43
100.0,LOCAL,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.6318284447991785,0.024654669079545825,74t7kcdgkr,1034,LOCAL,source_validation,false,CORRECT_ROUTE,xcmzfsbd9t,59
100.0,LOCAL,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.619266790355381,0.019454205658247996,74t7kcdgkr,1034,LOCAL,source_validation,false,CORRECT_ROUTE,yfxyg8jm46,42
100.0,LOCAL,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.6788711893874039,0.00956012066162105,74t7kcdgkr,1034,LOCAL,source_validation,false,CORRECT_ROUTE,ykhs7s2dck,38
100.0,LOCAL_GLOBAL,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.6215289490582858,0.019139726276654334,74t7kcdgkr,1546,LOCAL_GLOBAL,source_validation,true,CORRECT_ROUTE,cgtnjyggtm,49
100.0,LOCAL_GLOBAL,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.7104033748654972,0.01559730415515551,74t7kcdgkr,1546,LOCAL_GLOBAL,source_validation,true,CORRECT_ROUTE,w68dtmpfyf,43
100.0,LOCAL_GLOBAL,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.6318147267480764,0.024654669079545825,74t7kcdgkr,1546,LOCAL_GLOBAL,source_validation,true,CORRECT_ROUTE,xcmzfsbd9t,59
100.0,LOCAL_GLOBAL,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.6181208773714546,0.01951932045911281,74t7kcdgkr,1546,LOCAL_GLOBAL,source_validation,true,CORRECT_ROUTE,yfxyg8jm46,42
100.0,LOCAL_GLOBAL,ridge,correct_registration,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,,,,0.680525034949857,0.009385344653328161,74t7kcdgkr,1546,LOCAL_GLOBAL,source_validation,true,CORRECT_ROUTE,ykhs7s2dck,38
