control,domain_effects,effect_id,effect_key,improved_domains,lower,point_estimate,proposed,resamples,seed,specimen_count,state_sha256,upper,value_column
c0_mvd_m1_o2,74t7kcdgkr:0.00031617353461361249|cgtnjyggtm:-0.0019438061011673453|w68dtmpfyf:0.0046094934299693311|xcmzfsbd9t:0.0007985709253173803|yfxyg8jm46:-0.0042843606428842355|ykhs7s2dck:-0.00047254460452333892,c0_minus_global_cai_auebc,c0_minus_global,3,-0.00119033670349159,-0.00016274557644576599,c2_global_context,100000,20260831,276,2d6ed35eb11c401a6adbeed987efb2bdff02b777ed3e400727fb76c472c1a33b,0.0008634693037827474,cai_auebc
c0_mvd_m1_o2,74t7kcdgkr:-7.8048871779115257e-10|cgtnjyggtm:-4.0431123084202764e-09|w68dtmpfyf:2.4306320900204768e-09|xcmzfsbd9t:5.9775140347294423e-09|yfxyg8jm46:1.0272950253361772e-09|ykhs7s2dck:2.4291591133972298e-09,c0_minus_proposed_cai_auebc,c0_minus_proposed,4,-1.4800368926610731e-9,1.1734998728786495e-9,proposed,100000,20260831,276,64620601b8de79928d83b805a16d341628f1d21cb1628a1ea2906b6795c5461f,3.835603117861021e-9,cai_auebc
c5_spatial_derangement,74t7kcdgkr:-3.4984972777559373e-09|cgtnjyggtm:-1.5032972372599529e-10|w68dtmpfyf:-1.2154572085970337e-09|xcmzfsbd9t:1.2572570927205002e-09|yfxyg8jm46:2.0649498248880874e-09|ykhs7s2dck:-1.4689183897020897e-10,spatial_derangement_minus_proposed_cai_auebc,deranged_minus_proposed,2,-1.3422620369005862e-9,-2.814948552400979e-10,proposed,100000,20260831,276,564152c2b64e58ba1dd4b42518991097d9e0d117eccb35acf9fe18f65ce82281,7.755378908360074e-10,cai_auebc
c2_global_context,74t7kcdgkr:-0.00031617431510233025|cgtnjyggtm:0.001943802058055037|w68dtmpfyf:-0.0046094909993372405|xcmzfsbd9t:-0.00079856494780334566|yfxyg8jm46:0.0042843616701792615|ykhs7s2dck:0.00047254703368245236,global_minus_proposed_cai_auebc,global_minus_proposed,3,-0.0008634671448473198,0.00016274674994563905,proposed,100000,20260831,276,d5fb1fe446d2af7e75b8d43325ed178e7c42613932e2c99dcb1ca1eca51287c0,0.0011903380132574342,cai_auebc
c3_shuffled_global,74t7kcdgkr:0|cgtnjyggtm:-0.00019225651324616773|w68dtmpfyf:0|xcmzfsbd9t:-1.5322232979233944e-05|yfxyg8jm46:0|ykhs7s2dck:0,shuffled_global_minus_global_cai_auebc,shuffled_global_minus_global,0,-0.0000961636017059072,-0.000034596457704233617,c2_global_context,100000,20260831,276,9d85e0b1eb0ebe170a845583917f940546658b9c2d08a99e2ce86fbb4c4ccddc,6.239387226593895e-8,cai_auebc
c3_shuffled_surface,74t7kcdgkr:-7.8048871779115257e-10|cgtnjyggtm:-4.0431123084202764e-09|w68dtmpfyf:2.4306320900204768e-09|xcmzfsbd9t:5.9775140347294423e-09|yfxyg8jm46:1.0272950253361772e-09|ykhs7s2dck:2.4291591133972298e-09,shuffled_minus_proposed_cai_auebc,shuffled_minus_proposed,4,-1.4800368926610731e-9,1.1734998728786495e-9,proposed,100000,20260831,276,dff0853963b3ce551dd1530f1e44088ea070044c8090e865bc0184ef9045a8e5,3.835603117861021e-9,cai_auebc
c4_wrong_orientation,74t7kcdgkr:-7.8048871779115257e-10|cgtnjyggtm:-4.0431123084202764e-09|w68dtmpfyf:2.4306320900204768e-09|xcmzfsbd9t:5.9775140347294423e-09|yfxyg8jm46:1.0272950253361772e-09|ykhs7s2dck:2.4291591133972298e-09,wrong_orientation_minus_proposed_cai_auebc,wrong_minus_proposed,4,-1.4800368926610731e-9,1.1734998728786495e-9,proposed,100000,20260831,276,4561110a64b802f9d61b40d33d5309147a50e42086ce80d559d8c888846d5d3e,3.835603117861021e-9,cai_auebc
