pathway,dataset_id,response,metric_unit,internal_block,specimens,mae,rmse,standardized_mae,standardized_rmse
A_surface_only,74t7kcdgkr,cai_damaged_to_intact_strength_ratio,1,primary,45,0.14026076733200757,0.1713413642160714,0.6251165131906804,0.7636370326603994
A_surface_only,cgtnjyggtm,cai_damaged_to_intact_strength_ratio,1,primary,49,0.12215155937309556,0.17747038225040943,0.5963806196463388,0.8664637363498408
A_surface_only,w68dtmpfyf,cai_damaged_to_intact_strength_ratio,1,primary,43,0.12411388685633384,0.15298231061445258,0.5666843300010435,0.6984929759948003
A_surface_only,xcmzfsbd9t,cai_damaged_to_intact_strength_ratio,1,primary,59,0.10065290445265138,0.12978275964799507,0.4812641962001218,0.6205463800799506
A_surface_only,yfxyg8jm46,cai_damaged_to_intact_strength_ratio,1,primary,42,0.16338072761187447,0.17846773539494784,0.8159753129566683,0.8913246278808736
A_surface_only,ykhs7s2dck,cai_damaged_to_intact_strength_ratio,1,primary,38,0.4781648407443689,0.5351527785474225,2.139843344556138,2.394871002461745
B_measured_internal,74t7kcdgkr,cai_damaged_to_intact_strength_ratio,1,primary,45,0.13943765312631576,0.1749374234679661,0.6214480441525647,0.7796640091523391
B_measured_internal,cgtnjyggtm,cai_damaged_to_intact_strength_ratio,1,primary,49,0.12156670636792441,0.18024486522780625,0.5935251915256002,0.8800095959831529
B_measured_internal,w68dtmpfyf,cai_damaged_to_intact_strength_ratio,1,primary,43,0.1262355325320966,0.16465981950916841,0.5763714277845565,0.751810630221061
B_measured_internal,xcmzfsbd9t,cai_damaged_to_intact_strength_ratio,1,primary,59,0.0991533977857016,0.12936066839900207,0.4740944192851816,0.6185281829223586
B_measured_internal,yfxyg8jm46,cai_damaged_to_intact_strength_ratio,1,primary,42,0.16245840035367257,0.17663563986120256,0.8113689173054774,0.8821745601319672
B_measured_internal,ykhs7s2dck,cai_damaged_to_intact_strength_ratio,1,primary,38,0.4863747737642769,0.5442322492284766,2.1765837508657144,2.435502691062481
C_predicted_internal,74t7kcdgkr,cai_damaged_to_intact_strength_ratio,1,primary,45,0.10617470678324231,0.1287555559436817,0.4732011934333491,0.5738398963333966
C_predicted_internal,cgtnjyggtm,cai_damaged_to_intact_strength_ratio,1,primary,49,0.1458038960833727,0.19994893548648227,0.711858435040203,0.9762107880983673
C_predicted_internal,w68dtmpfyf,cai_damaged_to_intact_strength_ratio,1,primary,43,0.12054370762867005,0.1517561459058394,0.5503834576743698,0.6928945023350744
C_predicted_internal,xcmzfsbd9t,cai_damaged_to_intact_strength_ratio,1,primary,59,0.08845542454413785,0.11631728494483959,0.4229428750642838,0.5561622384130233
C_predicted_internal,yfxyg8jm46,cai_damaged_to_intact_strength_ratio,1,primary,42,0.1637820483807614,0.17977267783025305,0.8179796365067902,0.8978419254079613
C_predicted_internal,ykhs7s2dck,cai_damaged_to_intact_strength_ratio,1,primary,38,0.48883019124324506,0.5419627511054497,2.1875720300170998,2.425346422679215
D_train_deranged_internal,74t7kcdgkr,cai_damaged_to_intact_strength_ratio,1,primary,45,0.14062043654836398,0.1735132555531011,0.6267194929169965,0.7733167539784734
D_train_deranged_internal,cgtnjyggtm,cai_damaged_to_intact_strength_ratio,1,primary,49,0.12234242964793242,0.17690576586519022,0.5973125056849901,0.8637071094888522
D_train_deranged_internal,w68dtmpfyf,cai_damaged_to_intact_strength_ratio,1,primary,43,0.12294632924317135,0.15194657156170946,0.561353447047402,0.6937639556891269
D_train_deranged_internal,xcmzfsbd9t,cai_damaged_to_intact_strength_ratio,1,primary,59,0.11060820233960642,0.14293907050243781,0.5288646947803888,0.6834522783523727
D_train_deranged_internal,yfxyg8jm46,cai_damaged_to_intact_strength_ratio,1,primary,42,0.16561779929254192,0.1815222240428407,0.8271479603761088,0.9065797155942047
D_train_deranged_internal,ykhs7s2dck,cai_damaged_to_intact_strength_ratio,1,primary,38,0.4663996321886376,0.5236205720352831,2.087192666212443,2.3432630353961756
