outer_domain,metric,specimen_count,low_count,middle_count,high_count,low_upper,middle_lower,middle_upper,high_lower,low_middle_tie,middle_high_tie,tie_break,level,mechanism_source,stratifier,current_checkpoint
74t7kcdgkr,mechanism_metric,45,15,15,15,0.05,0.05,0.25,0.25,true,true,specimen_id,specimen_auebc,real,best_action_turnover,
cgtnjyggtm,mechanism_metric,49,17,16,16,0.05,0.05,0.15,0.15,true,true,specimen_id,specimen_auebc,real,best_action_turnover,
w68dtmpfyf,mechanism_metric,43,15,14,14,0.05,0.05,0.05,0.1,true,false,specimen_id,specimen_auebc,real,best_action_turnover,
xcmzfsbd9t,mechanism_metric,59,20,20,19,0.2,0.2,0.45,0.5,true,false,specimen_id,specimen_auebc,real,best_action_turnover,
yfxyg8jm46,mechanism_metric,42,14,14,14,0.1,0.1,0.15,0.15,true,true,specimen_id,specimen_auebc,real,best_action_turnover,
ykhs7s2dck,mechanism_metric,38,13,13,12,0,0,0.05,0.05,true,true,specimen_id,specimen_auebc,real,best_action_turnover,
74t7kcdgkr,mechanism_metric,45,15,15,15,0.003188423656314,0.003194721378544,0.00504624446759,0.005079979100271,false,false,specimen_id,specimen_auebc,real,mean_absolute_value_shift,
cgtnjyggtm,mechanism_metric,49,17,16,16,0.003637101300074,0.003692069591589,0.007289083007627,0.007313748496975,false,false,specimen_id,specimen_auebc,real,mean_absolute_value_shift,
w68dtmpfyf,mechanism_metric,43,15,14,14,0.001335136671768,0.001336723863598,0.00141354253245,0.001417581469655,false,false,specimen_id,specimen_auebc,real,mean_absolute_value_shift,
xcmzfsbd9t,mechanism_metric,59,20,20,19,0.001597107600711,0.001651033634157,0.001959044498929,0.001980590179355,false,false,specimen_id,specimen_auebc,real,mean_absolute_value_shift,
yfxyg8jm46,mechanism_metric,42,14,14,14,0.001386932633318,0.001391586060327,0.002025745727212,0.002203550111011,false,false,specimen_id,specimen_auebc,real,mean_absolute_value_shift,
ykhs7s2dck,mechanism_metric,38,13,13,12,0.006781743139216,0.006808892542313,0.007060886698099,0.007071396191082,false,false,specimen_id,specimen_auebc,real,mean_absolute_value_shift,
74t7kcdgkr,mechanism_metric,45,15,15,15,0.5,0.5,0.7,0.7,true,false,specimen_id,specimen_auebc,teacher,best_action_turnover,
cgtnjyggtm,mechanism_metric,49,17,16,16,0.55,0.6,0.8,0.8,false,true,specimen_id,specimen_auebc,teacher,best_action_turnover,
w68dtmpfyf,mechanism_metric,43,15,14,14,0.6,0.6,0.8,0.8,false,true,specimen_id,specimen_auebc,teacher,best_action_turnover,
xcmzfsbd9t,mechanism_metric,59,20,20,19,0.75,0.75,0.85,0.85,true,true,specimen_id,specimen_auebc,teacher,best_action_turnover,
yfxyg8jm46,mechanism_metric,42,14,14,14,0.65,0.65,0.75,0.75,true,true,specimen_id,specimen_auebc,teacher,best_action_turnover,
ykhs7s2dck,mechanism_metric,38,13,13,12,0.5,0.55,0.75,0.75,false,true,specimen_id,specimen_auebc,teacher,best_action_turnover,
74t7kcdgkr,mechanism_metric,45,15,15,15,0.000992045670487,0.000998427371875,0.001814668222388,0.001891185636549,false,false,specimen_id,specimen_auebc,teacher,mean_absolute_value_shift,
cgtnjyggtm,mechanism_metric,49,17,16,16,0.002023718789989,0.002043557746939,0.002633901833276,0.00265834962593,false,false,specimen_id,specimen_auebc,teacher,mean_absolute_value_shift,
w68dtmpfyf,mechanism_metric,43,15,14,14,0.001899301718031,0.001917230705559,0.002352625265607,0.002360754659374,false,false,specimen_id,specimen_auebc,teacher,mean_absolute_value_shift,
xcmzfsbd9t,mechanism_metric,59,20,20,19,0.002753490117568,0.002814772648789,0.003841328804439,0.004118722877194,false,false,specimen_id,specimen_auebc,teacher,mean_absolute_value_shift,
yfxyg8jm46,mechanism_metric,42,14,14,14,0.001927059704393,0.001954193278202,0.002401551970712,0.0024018285373,false,false,specimen_id,specimen_auebc,teacher,mean_absolute_value_shift,
ykhs7s2dck,mechanism_metric,38,13,13,12,0.001458298339302,0.001485663685404,0.002122662224371,0.002165900275411,false,false,specimen_id,specimen_auebc,teacher,mean_absolute_value_shift,
74t7kcdgkr,mechanism_metric,45,15,15,15,0,0,0,0,true,true,specimen_id,state_checkpoint,real,best_action_turnover,0.0625
cgtnjyggtm,mechanism_metric,49,17,16,16,0,0,0,0,true,true,specimen_id,state_checkpoint,real,best_action_turnover,0.0625
w68dtmpfyf,mechanism_metric,43,15,14,14,0,0,0,0,true,true,specimen_id,state_checkpoint,real,best_action_turnover,0.0625
xcmzfsbd9t,mechanism_metric,59,20,20,19,0,0,0.4,0.6,true,false,specimen_id,state_checkpoint,real,best_action_turnover,0.0625
yfxyg8jm46,mechanism_metric,42,14,14,14,0,0,0,0,true,true,specimen_id,state_checkpoint,real,best_action_turnover,0.0625
ykhs7s2dck,mechanism_metric,38,13,13,12,0,0,0,0,true,true,specimen_id,state_checkpoint,real,best_action_turnover,0.0625
74t7kcdgkr,mechanism_metric,45,15,15,15,0,0,0.2,0.2,true,true,specimen_id,state_checkpoint,real,best_action_turnover,0.09375
cgtnjyggtm,mechanism_metric,49,17,16,16,0,0,0,0,true,true,specimen_id,state_checkpoint,real,best_action_turnover,0.09375
w68dtmpfyf,mechanism_metric,43,15,14,14,0,0,0,0,true,true,specimen_id,state_checkpoint,real,best_action_turnover,0.09375
xcmzfsbd9t,mechanism_metric,59,20,20,19,0,0,0.6,0.6,true,true,specimen_id,state_checkpoint,real,best_action_turnover,0.09375
yfxyg8jm46,mechanism_metric,42,14,14,14,0,0,0,0.2,true,false,specimen_id,state_checkpoint,real,best_action_turnover,0.09375
ykhs7s2dck,mechanism_metric,38,13,13,12,0,0,0,0,true,true,specimen_id,state_checkpoint,real,best_action_turnover,0.09375
74t7kcdgkr,mechanism_metric,45,15,15,15,0,0,0.4,0.4,true,true,specimen_id,state_checkpoint,real,best_action_turnover,0.125
cgtnjyggtm,mechanism_metric,49,17,16,16,0,0,0.2,0.2,true,true,specimen_id,state_checkpoint,real,best_action_turnover,0.125
w68dtmpfyf,mechanism_metric,43,15,14,14,0,0,0,0,true,true,specimen_id,state_checkpoint,real,best_action_turnover,0.125
xcmzfsbd9t,mechanism_metric,59,20,20,19,0.2,0.2,0.6,0.6,true,true,specimen_id,state_checkpoint,real,best_action_turnover,0.125
yfxyg8jm46,mechanism_metric,42,14,14,14,0,0,0.2,0.2,true,true,specimen_id,state_checkpoint,real,best_action_turnover,0.125
ykhs7s2dck,mechanism_metric,38,13,13,12,0,0,0,0.2,true,false,specimen_id,state_checkpoint,real,best_action_turnover,0.125
74t7kcdgkr,mechanism_metric,45,15,15,15,0.2,0.2,0.4,0.4,true,true,specimen_id,state_checkpoint,real,best_action_turnover,0.1875
cgtnjyggtm,mechanism_metric,49,17,16,16,0.2,0.2,0.4,0.4,true,true,specimen_id,state_checkpoint,real,best_action_turnover,0.1875
w68dtmpfyf,mechanism_metric,43,15,14,14,0.2,0.2,0.2,0.2,true,true,specimen_id,state_checkpoint,real,best_action_turnover,0.1875
xcmzfsbd9t,mechanism_metric,59,20,20,19,0.4,0.6,0.6,0.6,false,true,specimen_id,state_checkpoint,real,best_action_turnover,0.1875
yfxyg8jm46,mechanism_metric,42,14,14,14,0.2,0.2,0.4,0.4,true,true,specimen_id,state_checkpoint,real,best_action_turnover,0.1875
ykhs7s2dck,mechanism_metric,38,13,13,12,0,0,0.2,0.2,true,true,specimen_id,state_checkpoint,real,best_action_turnover,0.1875
74t7kcdgkr,mechanism_metric,45,15,15,15,0.001287954498083,0.001289432188523,0.001863815616466,0.00189896412623,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.0625
cgtnjyggtm,mechanism_metric,49,17,16,16,0.001601787531203,0.001613587670342,0.003235400434989,0.003252585427627,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.0625
w68dtmpfyf,mechanism_metric,43,15,14,14,0.000443279934502,0.000446019154005,0.000490964741974,0.000492085271072,false,false,specimen_id,state_checkpoint,real,mean_absolute_value_shift,0.0625
