mode,nominal_checkpoint,domain_count,specimen_count,mean_exact_acquired_cost,mean_effective_budget,equal_domain_mae,worst_domain_mae
full_field,1.0,6,276,415839.11588198366,1.0,0.08963580465761434,0.12743074387350148
positions_only,0.03125,6,276,8411.28038363093,0.02064305209479642,0.10745579359076894,0.14338007969277564
positions_only,0.0625,6,276,25356.205735173062,0.060989813976226985,0.10726494132244442,0.14271728604247155
positions_only,0.09375,6,276,38101.13557304082,0.09168744638171607,0.10720033887015416,0.14265914641178712
positions_only,0.125,6,276,51228.53650775351,0.12324202278755354,0.10716984216549796,0.1426864158895887
positions_only,0.1875,6,276,77249.55744808727,0.18579114008102315,0.10716915617188193,0.14288748392163755
positions_only,0.25,6,276,102979.59621972246,0.24776724916250056,0.10722340470304088,0.14324509230298052
real,0.03125,6,276,8411.28038363093,0.02064305209479642,0.1253573522126481,0.15238773534674008
real,0.0625,6,276,25356.205735173062,0.060989813976226985,0.12526649117388663,0.15206760332716696
real,0.09375,6,276,38101.13557304082,0.09168744638171607,0.12520126424363512,0.1517923934986657
real,0.125,6,276,51228.53650775351,0.12324202278755354,0.12511358903999814,0.1515111911144802
real,0.1875,6,276,77249.55744808727,0.18579114008102315,0.12487434470863745,0.15084341312358088
real,0.25,6,276,102979.59621972246,0.24776724916250056,0.12462635598001069,0.15017976967013558
reconstruction,0.03125,6,276,8411.28038363093,0.02064305209479642,0.08905810659284559,0.12946624392559178
reconstruction,0.0625,6,276,25356.205735173062,0.060989813976226985,0.08682854645283174,0.11316869025440084
reconstruction,0.09375,6,276,38101.13557304082,0.09168744638171607,0.08714086129123365,0.1128963225329608
reconstruction,0.125,6,276,51228.53650775351,0.12324202278755354,0.08692490741949523,0.11277951820645256
reconstruction,0.1875,6,276,77249.55744808727,0.18579114008102315,0.08718129601568797,0.11454695821999009
reconstruction,0.25,6,276,102979.59621972246,0.24776724916250056,0.09043464467562057,0.11667179243423986
shuffled,0.03125,6,276,8411.28038363093,0.02064305209479642,0.12880021997769775,0.15731341856691827
shuffled,0.0625,6,276,25356.205735173062,0.060989813976226985,0.12902538396099586,0.15730552930379552
shuffled,0.09375,6,276,38101.13557304082,0.09168744638171607,0.12908993364371676,0.15714674205944443
shuffled,0.125,6,276,51228.53650775351,0.12324202278755354,0.1291434086507038,0.15693819660923142
shuffled,0.1875,6,276,77249.55744808727,0.18579114008102315,0.12921666370028193,0.15642067293886255
shuffled,0.25,6,276,102979.59621972246,0.24776724916250056,0.12925925824670723,0.15584568107573335
static,0.03125,6,276,8411.28038363093,0.02064305209479642,0.13727576015259432,0.18016138078469449
static,0.0625,6,276,25356.205735173062,0.060989813976226985,0.13727576015259432,0.18016138078469449
static,0.09375,6,276,38101.13557304082,0.09168744638171607,0.13727576015259432,0.18016138078469449
static,0.125,6,276,51228.53650775351,0.12324202278755354,0.13727576015259432,0.18016138078469449
static,0.1875,6,276,77249.55744808727,0.18579114008102315,0.13727576015259432,0.18016138078469449
static,0.25,6,276,102979.59621972246,0.24776724916250056,0.13727576015259432,0.18016138078469449
