config_id,family,alpha,loss,ranking_lambda,parameter_count,outer_domain,mode,validation_domain,fit_domains,validation_specimen_count,ndcg_10,spearman,model_state_sha256,selected,mean_ndcg_10,mean_spearman
ridge_alpha_10,ridge,10.0,value_regression,0.0,522,74t7kcdgkr,global_candidate,w68dtmpfyf,cgtnjyggtm|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,43,0.6762730188872856,-0.08134210750489819,10434d36f235505cf32b3820419b7078d05b873e9a6ee915a8f04bc0e5f7cac2,false,,
ridge_alpha_10,ridge,10.0,value_regression,0.0,522,74t7kcdgkr,global_candidate,xcmzfsbd9t,cgtnjyggtm|w68dtmpfyf|yfxyg8jm46|ykhs7s2dck,59,0.6706450606272659,-0.03077682487877058,4b31422445816752c2320ec9f9996af4b7d5a71fb8499ad12be12ec9a9806d98,false,,
ridge_alpha_10,ridge,10.0,value_regression,0.0,522,74t7kcdgkr,global_candidate,yfxyg8jm46,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|ykhs7s2dck,42,0.6424166851244847,-0.04007500436071863,bf274d5a9e7367c8c2e57be83b6364ae3d8631d51e16781d6cf8a84fee06ec50,false,,
ridge_alpha_10,ridge,10.0,value_regression,0.0,522,74t7kcdgkr,global_candidate,ykhs7s2dck,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46,38,0.6983596527163748,0.002754482359745507,1bebee45c0570b97b5040072f2ca202437e3f2a3f90927ac36174ccc4157190e,false,,
ridge_alpha_100,ridge,100.0,value_regression,0.0,522,74t7kcdgkr,global_candidate,cgtnjyggtm,w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,49,0.7172798297890982,0.021406144875532628,76c314e324d28a1b9e20ed6d814e05bee5c3bb8942449a28a3b5d437d0cbe57c,false,,
ridge_alpha_100,ridge,100.0,value_regression,0.0,522,74t7kcdgkr,global_candidate,w68dtmpfyf,cgtnjyggtm|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,43,0.67457818984243,-0.07975338614873496,29b78469794863386e85c61ef678fc47697db048142eb183b4440dfb87137522,false,,
ridge_alpha_100,ridge,100.0,value_regression,0.0,522,74t7kcdgkr,global_candidate,xcmzfsbd9t,cgtnjyggtm|w68dtmpfyf|yfxyg8jm46|ykhs7s2dck,59,0.6700905591766796,-0.030820912521229555,28a08d680c89fe1717e36c94365c80d4d03987bb9c76ef63e9d86a3cfba9b966,false,,
ridge_alpha_100,ridge,100.0,value_regression,0.0,522,74t7kcdgkr,global_candidate,yfxyg8jm46,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|ykhs7s2dck,42,0.6370331964707949,-0.04183237397523112,2ccfd64c687467c7526308a5f0db4fc80497e4e2141a24a1fd0fa464075bb66a,false,,
ridge_alpha_100,ridge,100.0,value_regression,0.0,522,74t7kcdgkr,global_candidate,ykhs7s2dck,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46,38,0.6953094295605143,-0.00414618276460382,fdf46e10522fc66a8ccbaf5eae40e7af63150a1f23df5af35f71050b4afe14ab,false,,
mlp_top1,mlp,,top1,0.0,37393,74t7kcdgkr,global_candidate,cgtnjyggtm,w68dtmpfyf|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,49,0.7359615630461305,0.08710099424385138,87d817d3e9ed83e33ed444ae0e2503f351fe273b19b4501dc33d7ad58776c5db,true,,
mlp_top1,mlp,,top1,0.0,37393,74t7kcdgkr,global_candidate,w68dtmpfyf,cgtnjyggtm|xcmzfsbd9t|yfxyg8jm46|ykhs7s2dck,43,0.6785361592720027,-0.06922331544424568,8a1568c54fdfae29d51edd26c2995aea96f00ce17c20ee625606ff37d35c967e,true,,
mlp_top1,mlp,,top1,0.0,37393,74t7kcdgkr,global_candidate,xcmzfsbd9t,cgtnjyggtm|w68dtmpfyf|yfxyg8jm46|ykhs7s2dck,59,0.6608235022860954,-0.056447569780339324,969feec674d7177ac6cdbf382e355f15c3923265c9e311552870ca0deec87999,true,,
mlp_top1,mlp,,top1,0.0,37393,74t7kcdgkr,global_candidate,yfxyg8jm46,cgtnjyggtm|w68dtmpfyf|xcmzfsbd9t|ykhs7s2dck,42,0.6900227883476805,0.01584794174079888,e6ac21d4d71df3bf9bd4961d631b6a4e484ec0de11d44699c4da3ee3bc5dfc36,true,,
