outer_domain,domain_id,mode,specimen_count,next_action_regret,one_step_cai_utility,spearman,ndcg,recall_at_k,statistical_unit
74t7kcdgkr,74t7kcdgkr,positions_only,45,0.010066446413956825,-0.0004265290905910649,0.010650019474683647,0.8825581201257431,0.1779555555555556,held_out_domain
74t7kcdgkr,74t7kcdgkr,real,45,0.00978879038836206,-0.00014887306499630014,0.0017727818305566245,0.8749153212024552,0.1025777777777778,held_out_domain
74t7kcdgkr,74t7kcdgkr,shuffled,45,0.009413261571588626,0.00022665575177713445,0.020145617066109463,0.8744669129329744,0.10062222222222224,held_out_domain
74t7kcdgkr,74t7kcdgkr,static,45,0.009109172406494904,0.0005307449168708549,0.013472344926484605,0.8742439224726611,0.10453333333333335,held_out_domain
cgtnjyggtm,cgtnjyggtm,positions_only,49,0.01495353043089928,-0.0008041123502987081,0.03567973916067641,0.8928868140248187,0.10579591836734695,held_out_domain
cgtnjyggtm,cgtnjyggtm,real,49,0.013960137234959693,0.00018928084564087824,0.03722475801155727,0.8901272239263609,0.06106122448979593,held_out_domain
cgtnjyggtm,cgtnjyggtm,shuffled,49,0.014062821021077062,0.00008659705952351096,0.03550430279749639,0.8889382264822204,0.05877551020408164,held_out_domain
cgtnjyggtm,cgtnjyggtm,static,49,0.0140792452201049,0.0000701728604956705,0.028327825755400066,0.888433167802695,0.05746938775510205,held_out_domain
w68dtmpfyf,w68dtmpfyf,positions_only,43,0.011292815535555292,-0.00009559492164156543,0.08927305759249012,0.9098873093414839,0.04781395348837209,held_out_domain
w68dtmpfyf,w68dtmpfyf,real,43,0.010892236710953651,0.00030498390296007546,0.08137044742895262,0.9096738734143984,0.04893023255813954,held_out_domain
w68dtmpfyf,w68dtmpfyf,shuffled,43,0.010614708081422475,0.0005825125324912519,0.0760478099971747,0.9103546457504369,0.04037209302325582,held_out_domain
w68dtmpfyf,w68dtmpfyf,static,43,0.011123333801313227,0.00007388681260049997,0.07267976501937401,0.909585029663194,0.04930232558139535,held_out_domain
xcmzfsbd9t,xcmzfsbd9t,positions_only,59,0.015844334970744473,-0.00002555324519257302,0.010500591464354515,0.8813224299712843,0.06061016949152542,held_out_domain
xcmzfsbd9t,xcmzfsbd9t,real,59,0.015632620978236818,0.00018616074731507933,0.0200261987671138,0.8807475413280812,0.0711864406779661,held_out_domain
xcmzfsbd9t,xcmzfsbd9t,shuffled,59,0.015798278656864,0.000020503068687897218,0.016997706654001098,0.8810474574333421,0.04189830508474577,held_out_domain
xcmzfsbd9t,xcmzfsbd9t,static,59,0.015799968028294104,0.000018813697257792107,0.03301367067106733,0.8809562008260063,0.05383050847457627,held_out_domain
yfxyg8jm46,yfxyg8jm46,positions_only,42,0.01255633249265319,-0.00038252478911930644,-0.01749438801518162,0.8793308192622101,0.05733333333333334,held_out_domain
yfxyg8jm46,yfxyg8jm46,real,42,0.012712639532983409,-0.0005388318294495232,0.011325839746077558,0.8791482335435747,0.04876190476190476,held_out_domain
yfxyg8jm46,yfxyg8jm46,shuffled,42,0.012010308654381492,0.00016349904915239358,0.09437445683788662,0.8884739277051681,0.09314285714285715,held_out_domain
yfxyg8jm46,yfxyg8jm46,static,42,0.012556461538146406,-0.00038265383461252086,-0.012245748621446229,0.8784977798844634,0.05028571428571429,held_out_domain
ykhs7s2dck,ykhs7s2dck,positions_only,38,0.010356508307779472,-0.00018776950258385695,0.007062446959113572,0.8803134127307253,0.043368421052631584,held_out_domain
ykhs7s2dck,ykhs7s2dck,real,38,0.01032822641541541,-0.00015948761021979485,-0.005829487922303931,0.880053613522047,0.046526315789473686,held_out_domain
ykhs7s2dck,ykhs7s2dck,shuffled,38,0.010303286366452395,-0.000134547561256779,0.014482730892809624,0.8812666880481004,0.05052631578947369,held_out_domain
ykhs7s2dck,ykhs7s2dck,static,38,0.01039042400417272,-0.00022168519897710452,0.008196775336581794,0.8802237015827239,0.03052631578947369,held_out_domain
