method,budget,full_reference_cost,partial_mae,full_mae,mae_gap_mpa,positive_excess_mpa,interpretation
VLM_MEAN_FEEDBACK,0.25,1.0,43.6108740234375,41.69001007080078,1.9208639526367222,1.9208639526367222,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
VLM_SPATIAL_FEEDBACK,0.0,1.0,58.55099456787109,41.69001007080078,16.860984497070312,16.860984497070312,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
VLM_SPATIAL_FEEDBACK,0.0625,1.0,45.51743743896484,41.69001007080078,3.8274273681640594,3.8274273681640594,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
VLM_SPATIAL_FEEDBACK,0.125,1.0,44.11356689453125,41.69001007080078,2.423556823730472,2.423556823730472,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
VLM_SPATIAL_FEEDBACK,0.1875,1.0,44.68454376220703,41.69001007080078,2.9945336914062466,2.9945336914062466,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
VLM_SPATIAL_FEEDBACK,0.25,1.0,44.285798950195314,41.69001007080078,2.595788879394533,2.595788879394533,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
VLM_SPATIAL_OPEN_LOOP,0.0,1.0,58.55099456787109,41.69001007080078,16.860984497070312,16.860984497070312,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
VLM_SPATIAL_OPEN_LOOP,0.0625,1.0,45.59236480712891,41.69001007080078,3.902354736328128,3.902354736328128,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
VLM_SPATIAL_OPEN_LOOP,0.125,1.0,46.14488677978515,41.69001007080078,4.454876708984372,4.454876708984372,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
VLM_SPATIAL_OPEN_LOOP,0.1875,1.0,46.107354431152345,41.69001007080078,4.417344360351564,4.417344360351564,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
VLM_SPATIAL_OPEN_LOOP,0.25,1.0,44.821927795410154,41.69001007080078,3.131917724609373,3.131917724609373,CROSS_COST_INFORMATION_TRADEOFF_NOT_NONINFERIORITY
