comparator,budget,mae_gain_mpa,rmse_gain_mpa,r2_main_minus_control,ci_low,ci_high,confidence,bootstrap_replicates,bootstrap_seed,inference_scope,simultaneous
CENTER_FIRST,0.0,0.0,0.0,0.0,0.0,0.0,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
CENTER_FIRST,0.0625,2.367697448730469,4.39949041563527,0.054863280631502365,-2.151136044580109,6.912289381962191,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
CENTER_FIRST,0.125,4.713663635253906,6.174586799914266,0.07719934235063008,1.445404493059431,7.982286783365101,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
CENTER_FIRST,0.1875,4.408985595703125,6.805618863138264,0.0851293584798849,1.3203457742655167,7.826128921508787,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
CENTER_FIRST,0.25,3.740770263671875,6.705682432646142,0.08253967557950004,0.4850077013288226,7.577308391571041,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
GEOMETRY_SPREAD,0.0,0.0,0.0,0.0,0.0,0.0,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
GEOMETRY_SPREAD,0.0625,4.703457641601562,7.321752500368021,0.0934333191060377,-1.3574374841054277,10.429481397890576,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
GEOMETRY_SPREAD,0.125,2.0754098510742187,2.663285245016283,0.03236816466167136,-1.2116484817193478,5.3032670051419,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
GEOMETRY_SPREAD,0.1875,1.870528564453125,2.874993859979895,0.03483829608454658,-1.3319792551248253,5.144224251673771,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
GEOMETRY_SPREAD,0.25,2.6241180419921877,3.760771422086947,0.04518933275446968,-0.48846615528573784,5.925251605669657,0.95,5000,2026091401,POSTHOC_SELECTED_VALID_CONDITIONAL,False
