target_id,target_type,target_mae,source_method,source_budget,grid,method,cost,attained_mae,status,later_recrosses_target,main_cost,absolute_saving,relative_saving,saving_status,actual_cost_mean,actual_cost_min,actual_cost_max,scope
ANCHOR_CENTER_FIRST_1,NONADAPTIVE_ANCHOR,47.885134887695315,CENTER_FIRST,0.0625,SECONDARY_EVENT_GRID,VLM_MEAN_FEEDBACK,0.03138806462248599,47.762078552246095,REACHED,True,0.03138806462248599,0.0,0.0,DEFINED,0.030236950844343715,0.015509396636993076,0.03138806462248599,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_1,NONADAPTIVE_ANCHOR,47.885134887695315,CENTER_FIRST,0.0625,SECONDARY_EVENT_GRID,VLM_SPATIAL_FEEDBACK,0.03138806462248599,46.50705078125,REACHED,False,0.03138806462248599,0.0,0.0,DEFINED,0.030861019423308444,0.015694032311242993,0.03138806462248599,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_1,NONADAPTIVE_ANCHOR,47.885134887695315,CENTER_FIRST,0.0625,SECONDARY_EVENT_GRID,VLM_SPATIAL_OPEN_LOOP,0.046897461259479065,46.489671020507814,REACHED,False,0.03138806462248599,0.015509396636993078,0.3307086614173229,DEFINED,0.045504654244774,0.03106508875739645,0.046897461259479065,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_1,NONADAPTIVE_ANCHOR,47.885134887695315,CENTER_FIRST,0.0625,SECONDARY_EVENT_GRID,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.03138806462248599,0.968611935377514,0.968611935377514,DEFINED,1.0,1.0,1.0,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125,PRIMARY_FIVE_BUDGETS,CENTER_FIRST,0.0625,47.885134887695315,REACHED,True,0.0625,0.0,0.0,DEFINED,0.06234995212770904,0.06139923424991298,0.06240685789647214,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125,PRIMARY_FIVE_BUDGETS,GEOMETRY_SPREAD,0.125,46.188976745605466,REACHED,False,0.0625,0.0625,0.5,DEFINED,0.12454835101389078,0.12316394013226592,0.12462908011869436,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125,PRIMARY_FIVE_BUDGETS,SERPENTINE,0.125,48.7731787109375,REACHED,False,0.0625,0.0625,0.5,DEFINED,0.12459220760978357,0.1242603550295858,0.12462908011869436,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125,PRIMARY_FIVE_BUDGETS,RANDOM,0.1875,48.107519653320296,REACHED,False,0.0625,0.125,0.6666666666666667,DEFINED,0.1866457941756575,0.1715976331360947,0.1875,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125,PRIMARY_FIVE_BUDGETS,LEARNED_STATIC_TRUE,0.0625,46.46498809814453,REACHED,False,0.0625,0.0,0.0,DEFINED,0.06240137920741666,0.0621301775147929,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125,PRIMARY_FIVE_BUDGETS,NO_VLM_SPATIAL_FEEDBACK,0.0625,43.32439086914062,REACHED,False,0.0625,0.0,0.0,DEFINED,0.057700425782035526,0.046897461259479065,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125,PRIMARY_FIVE_BUDGETS,VLM_MEAN_FEEDBACK,0.0625,46.4928271484375,REACHED,False,0.0625,0.0,0.0,DEFINED,0.05803692150967886,0.046897461259479065,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_FEEDBACK,0.0625,45.51743743896484,REACHED,False,0.0625,0.0,0.0,DEFINED,0.060459240801965394,0.046897461259479065,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125,PRIMARY_FIVE_BUDGETS,VLM_SPATIAL_OPEN_LOOP,0.0625,45.59236480712891,REACHED,False,0.0625,0.0,0.0,DEFINED,0.0592371596106823,0.04671282558522915,0.0625,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125,PRIMARY_FIVE_BUDGETS,FULL_SCAN_P_ALL,1.0,41.69001007080078,REACHED,False,0.0625,0.9375,0.9375,DEFINED,1.0,1.0,1.0,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125,SECONDARY_EVENT_GRID,CENTER_FIRST,0.06240685789647214,47.885134887695315,REACHED,True,0.03138806462248599,0.031018793273986156,0.4970414201183432,DEFINED,0.06234995212770904,0.06139923424991298,0.06240685789647214,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
ANCHOR_CENTER_FIRST_2,NONADAPTIVE_ANCHOR,48.827230529785155,CENTER_FIRST,0.125,SECONDARY_EVENT_GRID,GEOMETRY_SPREAD,0.0777316188592153,47.837416076660155,REACHED,False,0.03138806462248599,0.04634355423672931,0.5961995249406176,DEFINED,0.07768818199939892,0.07674904281239123,0.0777316188592153,POSTHOC_EMPIRICAL_NOT_DEPLOYABLE_STOP
